index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,NESTLEIND.NSE,2020-01-01,14819.0,14853.0,14556.2,14586.2,684.7674,2199500,-1.0,14556.2,,,,,,,,,,,,,,,,,,
1,NESTLEIND.NSE,2020-01-06,14542.0,14719.0,14120.4,14655.2,688.0067,5436860,,,,,,,,,,,,,,,,,,,,
2,NESTLEIND.NSE,2020-01-13,14748.0,15600.0,14601.0,15428.2,724.2961,8368860,,,,,,,,,,,,,1.0,15200.0,14719.0,4.0,,,,
3,NESTLEIND.NSE,2020-01-20,15230.2,15850.0,15200.0,15763.0,740.0137,5622960,,,,,,,,,,,,,,,,,,,,
4,NESTLEIND.NSE,2020-01-27,15700.0,15900.0,15184.4,15620.0,733.3004,5956040,,,,,,,,,,,,,,,,,,,,
5,NESTLEIND.NSE,2020-02-03,15589.0,16549.4,15530.0,16275.0,764.0502,9863400,,,,,,,,,,,,,1.0,15950.0,15900.0,8.0,,,,
6,NESTLEIND.NSE,2020-02-10,16300.0,16782.4,15950.0,16345.2,767.3458,11611340,,,,,,,,,,,,,,,,,,,,
7,NESTLEIND.NSE,2020-02-17,16413.0,16831.6,16373.0,16560.0,777.4299,7810660,,,,,,,,,,,,,,,,,,,,
8,NESTLEIND.NSE,2020-02-24,16499.0,16576.8,15680.0,15745.0,739.1687,10102860,,,,,,,,,,,,,,,,,,,,
9,NESTLEIND.NSE,2020-03-02,15950.0,16835.2,15901.0,16411.0,770.4349,9872340,1.0,16835.2,,1.0,16835.2,15.0,,,,,,,,,,,,,,
10,NESTLEIND.NSE,2020-03-09,16249.4,16350.0,14050.0,14990.2,703.7337,14639040,,,,,,,,,,,,,-1.0,15901.0,14931.0,12.0,,,,
11,NESTLEIND.NSE,2020-03-16,14800.0,14931.0,12577.0,14100.0,661.9421,20615700,,,,,,,,,,,,,,,,,,,,
12,NESTLEIND.NSE,2020-03-23,12750.4,15534.0,12200.0,15270.0,716.8692,20679260,-1.0,12200.0,,,,,1.0,15534.0,12200.0,41165180.0,208.0,51.948357,,,,,,,,
13,NESTLEIND.NSE,2020-03-30,14990.0,16456.0,14687.8,15070.0,707.48,14073620,,,,,,,,,,,,,,,,,,,,
14,NESTLEIND.NSE,2020-04-07,15575.0,17544.0,15426.0,16814.0,789.3542,14057120,,,,,,,,,,,,,,,,,,,,
15,NESTLEIND.NSE,2020-04-13,16845.0,18370.0,16330.2,17376.2,815.7474,13034440,1.0,18370.0,,,,,,,,,,,,,,,,,,
16,NESTLEIND.NSE,2020-04-20,17489.8,17800.0,16700.0,17380.0,815.9258,16068200,,,,,,,,,,,,,,,,,,,,
17,NESTLEIND.NSE,2020-04-27,17585.0,18023.0,17400.0,17899.0,840.2909,9862960,,,,,,,,,,,,,,,,,,,,
18,NESTLEIND.NSE,2020-05-04,17420.6,17820.0,16825.2,17756.8,833.6152,15468880,,,,,,,,,,,,,,,,,,,,
19,NESTLEIND.NSE,2020-05-11,17770.0,17920.0,16201.0,16397.0,769.7777,33337560,,,,,,,,,,,,,-1.0,16825.2,16595.0,21.0,,,,
20,NESTLEIND.NSE,2020-05-18,16441.0,16595.0,16108.6,16219.0,761.4212,14100500,-1.0,16108.6,-1.0,,16108.6,24.0,,,,,,,,,,,-1.0,16080.4,24.0,35.0
21,NESTLEIND.NSE,2020-05-26,16380.0,17600.0,16324.4,17530.0,822.9678,15739600,,,,,,,,,,,,,1.0,16956.6,16595.0,23.0,,,,
22,NESTLEIND.NSE,2020-06-01,17540.8,17749.0,16956.6,17067.8,801.2692,14266620,1.0,17749.0,,,,48.0,,,,,,,,,,,1.0,17756.8,28.0,47.0
23,NESTLEIND.NSE,2020-06-08,17250.0,17250.0,16300.0,16500.0,777.4701,15020100,,,,,,,,,,,,,-1.0,16956.6,16650.0,25.0,,,,
24,NESTLEIND.NSE,2020-06-15,16500.0,16650.0,16052.2,16100.0,758.6224,15743860,-1.0,16052.2,,-1.0,16052.2,38.0,,,,,,,,,,,,,,
25,NESTLEIND.NSE,2020-06-22,16290.0,16930.0,16065.0,16707.6,787.2521,17234980,,,,,,,,,,,,,,,,,,,,
26,NESTLEIND.NSE,2020-06-29,16740.0,17298.0,16540.0,16694.0,786.6113,18325860,,,,,,,,,,,,,,,,,,,,
27,NESTLEIND.NSE,2020-07-06,16755.0,17150.0,16628.0,16820.0,792.5483,13678440,,,,,,,,,,,,,,,,,,,,
