index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,NTPC.NSE,2020-01-01,119.05,122.15,118.25,119.35,94.4721,26078007,-1.0,118.25,,,,,,,,,,,,,,,,,,
1,NTPC.NSE,2020-01-06,119.0,121.8,116.5,120.3,95.2241,35827437,,,,,,,,,,,,,,,,,,,,
2,NTPC.NSE,2020-01-13,120.4,125.0,120.1,121.2,95.9365,34321462,,,,,,,,,,,,,,,,,,,,
3,NTPC.NSE,2020-01-20,121.0,121.75,111.5,114.75,90.831,67886429,,,,,,,,,,,,,-1.0,120.1,115.3,5.0,,,,
4,NTPC.NSE,2020-01-27,115.0,115.3,110.9,112.85,89.327,119290539,,,,,,,,,,,,,,,,,,,,
5,NTPC.NSE,2020-02-03,109.45,116.25,107.2,115.6,91.5038,65604332,,,,,,,,,,,,,,,,,,,,
6,NTPC.NSE,2020-02-10,115.8,118.9,111.9,112.7,89.2083,110984756,1.0,118.9,,,,,,,,,,,,,,,1.0,119.21667,80.0,89.0
7,NTPC.NSE,2020-02-17,113.1,113.75,103.8,111.35,88.1397,94194960,,,,,,,,,,,,,,,,,,,,
8,NTPC.NSE,2020-02-24,110.75,112.45,105.35,106.55,84.3402,85451005,,,,,,,,,,,,,,,,,,,,
9,NTPC.NSE,2020-03-02,109.35,111.0,102.7,105.15,83.232,75018172,,,,,,,,,,,,,-1.0,105.35,104.8,33.0,,,,
10,NTPC.NSE,2020-03-09,104.0,104.8,81.25,98.05,77.612,172576073,,,,,,,,,,,,,-1.0,102.7,96.0,15.0,,,,
11,NTPC.NSE,2020-03-16,96.0,96.0,74.9,81.25,64.3139,236892114,,,,,,,,,,,,,,,,,,,,
12,NTPC.NSE,2020-03-23,74.9,84.4,73.2,83.0,66.1139,147174362,-1.0,73.2,,,,,,,,,,,,,,,,,,
13,NTPC.NSE,2020-03-30,79.9,84.8,78.85,79.55,63.3658,78002539,,,,,,,,,,,,,,,,,,,,
14,NTPC.NSE,2020-04-07,81.6,88.35,80.1,87.1,69.3797,95081661,,,,,,,,,,,,,,,,,,,,
15,NTPC.NSE,2020-04-13,87.1,101.0,84.75,95.5,76.0708,95240670,1.0,101.0,,,,33.0,,,,,,,1.0,91.95,88.35,17.0,1.0,102.4,25.0,33.0
16,NTPC.NSE,2020-04-20,97.0,99.3,91.95,93.4,74.398,67294489,,,,,,,,,,,,,,,,,,,,
17,NTPC.NSE,2020-04-27,94.4,97.0,88.65,95.05,75.7123,79193804,,,,,,,,,,,,,,,,,,,,
