Company Name,symbol,series,ISIN,var_margin,mtf_margin,haircut,risk_score
360 ONE WAM Ltd.,360ONE,EQ,INE466L01038,0.077472527,0.219666667,0.422526818,0.239888671
3M India Ltd.,3MINDIA,EQ,INE470A01017,0.009120879,0.245,0.050655542,0.10159214
ABB India Ltd.,ABB,EQ,INE117A01022,0.041318681,0.109333333,0.225268176,0.12530673
ACC Ltd.,ACC,EQ,INE012A01025,0.010769231,0.250333333,0.060190703,0.107097756
ACME Solar Holdings Ltd.,ACMESOLAR,EQ,INE622W01025,0.078021978,1,,0.539010989
AIA Engineering Ltd.,AIAENG,EQ,INE212H01026,0.000879121,0.22,0.005959476,0.075612865
APL Apollo Tubes Ltd.,APLAPOLLO,EQ,INE702C01027,0.033406593,0.085666667,0.1829559,0.100676387
AU Small Finance Bank Ltd.,AUBANK,EQ,INE949L01017,0.035494505,0.092,0.194278903,0.107257803
AWL Agri Business Ltd.,AWL,EQ,INE699H01024,0.067362637,0.422333333,0.367699642,0.285798538
Aadhar Housing Finance Ltd.,AADHARHFC,EQ,INE883F01010,0.033516484,0.319333333,0.183551847,0.178800555
Aarti Industries Ltd.,AARTIIND,EQ,INE769A01020,0.058791209,0.396333333,0.321215733,0.258780092
Aavas Financiers Ltd.,AAVAS,EQ,INE216P01012,0.036373626,0.326666667,0.196662694,0.186567662
Abbott India Ltd.,ABBOTINDIA,EQ,INE358A01014,0.006483516,0.237,0.036352801,0.093278772
Action Construction Equipment Ltd.,ACE,EQ,INE731H01025,0.097472527,0.514,0.531585221,0.381019249
Adani Energy Solutions Ltd.,ADANIENSOL,EQ,INE931S01010,0.116923077,0.339666667,0.637067938,0.364552561
Adani Enterprises Ltd.,ADANIENT,EQ,INE423A01024,0.088461538,0.253,0.482121573,0.274527704
Adani Green Energy Ltd.,ADANIGREEN,EQ,INE364U01010,0.120549451,0.350666667,0.656734207,0.375983442
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,EQ,INE742F01042,0.050989011,0.139,0.278307509,0.15609884
Adani Power Ltd.,ADANIPOWER,EQ,INE814H01011,0.09043956,0.492333333,0.492848629,0.358540508
Adani Total Gas Ltd.,ATGL,EQ,INE399L01023,0.099120879,0.519,0.540524434,0.386215104
Aditya Birla Capital Ltd.,ABCAPITAL,EQ,INE674K01013,0.051648352,0.141,0.281883194,0.158177182
Aditya Birla Fashion and Retail Ltd.,ABFRL,EQ,INE647O01011,0.065934066,0.418,0.359952324,0.281295463
Aditya Birla Real Estate Ltd.,ABREL,EQ,INE055A01016,0.088791209,0.487666667,0.484505364,0.353654413
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,EQ,INE404A01024,0.04989011,0.369,0.272348033,0.230412714
Aegis Logistics Ltd.,AEGISLOG,EQ,INE208C01025,0.12021978,0.577333333,0.644815256,0.447456123
Afcons Infrastructure Ltd.,AFCONS,EQ,INE101I01011,0.026373626,0.297666667,0.144815256,0.156285183
Affle 3i Ltd.,AFFLE,EQ,INE00WC01027,0.050989011,0.372666667,0.278903456,0.234186378
