index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ONGC.NSE,2020-01-01,128.75,133.4,126.85,128.45,90.0476,38716325,1.0,133.4,,,,,,,,,,,,,,,,,,
1,ONGC.NSE,2020-01-06,129.7,129.8,122.8,124.15,87.0332,44725935,,,,,,,,,,,,,-1.0,126.85,125.7,3.0,,,,
2,ONGC.NSE,2020-01-13,124.25,125.7,123.8,125.4,87.9094,39768793,,,,,,,,,,,,,,,,,,,,
3,ONGC.NSE,2020-01-20,126.0,126.75,116.0,118.35,82.9672,78522295,,,,,,,,,,,,,-1.0,123.8,118.5,60.0,,,,
4,ONGC.NSE,2020-01-27,118.35,118.5,106.75,108.95,76.3775,143755118,,,,,,,,,,,,,-1.0,116.0,109.75,59.0,,,,
5,ONGC.NSE,2020-02-03,104.35,109.75,101.55,109.25,76.5878,78856331,,,,,,,,,,,,,,,,,,,,
6,ONGC.NSE,2020-02-10,109.15,109.15,103.0,103.3,72.4166,110428026,,,,,,,,,,,,,,,,,,,,
7,ONGC.NSE,2020-02-17,101.5,104.1,96.55,102.8,72.0661,122425993,,,,,,,,,,,,,,,,,,,,
8,ONGC.NSE,2020-02-24,102.5,102.5,89.5,91.95,64.4599,114648651,,,,,,,,,,,,,-1.0,96.55,95.0,49.0,,,,
9,ONGC.NSE,2020-03-02,94.0,95.0,87.65,88.5,62.0414,105720646,,,,,,,,,,,,,-1.0,89.5,82.5,11.0,,,,
10,ONGC.NSE,2020-03-09,82.15,82.5,50.0,65.9,46.198,299407369,-1.0,50.0,,,,,,,,,,,-1.0,87.65,86.8,22.0,,,,
11,ONGC.NSE,2020-03-16,63.5,86.8,57.5,72.35,50.7197,464685715,,,,,,,,,,,,,,,,,,,,
12,ONGC.NSE,2020-03-23,60.65,66.0,59.65,64.45,48.5358,183280226,,,,,,,,,,,,,,,,,,,,
13,ONGC.NSE,2020-03-30,61.05,71.0,60.1,69.85,52.6024,140462807,,,,,,,,,,,,,1.0,70.2,66.0,16.0,,,,
14,ONGC.NSE,2020-04-07,71.2,77.65,70.2,77.3,58.2128,80747546,,,,,,,,,,,,,1.0,72.65,71.0,16.0,,,,
