index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,PFC.NSE,2020-01-01,117.65,121.25,117.25,118.75,66.0673,12859505,-1.0,117.25,,,,,,,,,,,,,,,,,,
1,PFC.NSE,2020-01-06,117.3,122.8,111.8,121.65,67.6808,27739328,,,,,,,,,,,,,,,,,,,,
2,PFC.NSE,2020-01-13,122.35,125.5,121.2,121.95,67.8477,22128311,,,,,,,,,,,,,,,,,,,,
3,PFC.NSE,2020-01-20,116.95,118.35,103.85,116.35,64.7321,227287685,,,,,,,,,,,,,-1.0,121.2,120.3,5.0,,,,
4,PFC.NSE,2020-01-27,115.45,120.3,111.9,116.65,64.899,62403033,,,,,,,,,,,,,,,,,,,,
5,PFC.NSE,2020-02-03,110.45,126.0,108.35,125.35,69.7393,48502652,,,,,,,,,,,,,1.0,121.65,120.3,8.0,,,,
6,PFC.NSE,2020-02-10,125.65,130.7,121.65,126.65,70.4625,69743029,,,,,,,,,,,,,,,,,,,,
7,PFC.NSE,2020-02-17,127.4,133.4,123.15,132.25,73.5781,36914005,1.0,133.4,,,,,,,,,,,,,,,,,,
8,PFC.NSE,2020-02-24,131.65,133.15,108.65,109.45,61.5202,60737306,,,,,,,,,,,,,-1.0,123.15,115.5,48.0,,,,
9,PFC.NSE,2020-03-02,110.2,115.5,108.0,110.5,62.1104,62352108,,,,,,,,,,,,,,,,,,,,
10,PFC.NSE,2020-03-09,107.0,108.35,82.8,102.45,57.5857,42187501,,,,,,,,,,,,,-1.0,108.0,99.2,33.0,,,,
11,PFC.NSE,2020-03-16,96.45,99.2,84.3,91.75,51.5713,44778092,,,,,,,,,,,,,,,,,,,,
12,PFC.NSE,2020-03-23,84.5,96.75,78.5,88.25,49.604,34239223,-1.0,78.5,-1.0,,78.5,20.0,,,,,,,,,,,-1.0,78.3875,38.0,0.0
13,PFC.NSE,2020-03-30,87.8,94.25,85.15,86.25,48.4799,19131183,,,,,,,,,,,,,,,,,,,,
14,PFC.NSE,2020-04-07,89.0,94.65,86.5,90.7,50.9811,16298936,,,,,,,,,,,,,,,,,,,,
15,PFC.NSE,2020-04-13,91.0,97.8,86.7,93.65,52.6393,34518431,1.0,97.8,,,,,,,,,,,,,,,,,,
16,PFC.NSE,2020-04-20,94.6,95.0,85.3,91.05,51.1779,35572412,,,,,,,,,,,,,,,,,,,,
17,PFC.NSE,2020-04-27,91.5,97.4,90.2,95.4,53.6229,34523294,,,,,,,,,,,,,,,,,,,,
18,PFC.NSE,2020-05-04,93.2,93.85,83.35,84.05,47.2433,35993701,,,,,,,,,,,,,,,,,,,,
19,PFC.NSE,2020-05-11,84.9,92.7,81.65,84.15,47.2995,63647950,,,,,,,,,,,,,,,,,,,,
20,PFC.NSE,2020-05-18,84.15,84.7,74.7,74.85,42.0721,39683884,,,,,,,,,,,,,-1.0,81.65,79.4,22.0,,,,
21,PFC.NSE,2020-05-26,75.1,79.4,74.15,75.2,42.2688,57271436,-1.0,74.15,,,,,,,,,,,,,,,,,,
22,PFC.NSE,2020-06-01,76.2,87.2,75.85,86.05,48.3675,77844393,,,,,,,,,,,,,,,,,,,,
23,PFC.NSE,2020-06-08,87.75,89.45,79.4,83.6,46.9903,66480919,,,,,,,,,,,,,,,,,,,,
24,PFC.NSE,2020-06-15,83.5,86.85,81.3,85.2,47.8897,65972801,,,,,,,,,,,,,,,,,,,,
25,PFC.NSE,2020-06-22,86.0,91.95,85.4,90.1,50.6439,75606526,1.0,91.95,1.0,,91.95,33.0,,,,,,,,,,,,,,
26,PFC.NSE,2020-06-29,89.8,89.85,82.9,84.2,47.3276,35611781,,,,,,,,,,,,,,,,,,,,
27,PFC.NSE,2020-07-06,84.55,88.5,82.7,83.6,46.9903,58831228,,,,,,,,,,,,,,,,,,,,
28,PFC.NSE,2020-07-13,84.15,84.55,78.85,82.0,46.091,41184242,-1.0,78.85,,,,,1.0,84.55,78.85,211071870.0,0.0,25.184021,,,,,,,,
29,PFC.NSE,2020-07-20,82.8,86.5,82.1,82.7,46.4845,37351193,,,,,,,,,,,,,,,,,,,,
30,PFC.NSE,2020-07-27,82.35,86.05,80.3,80.85,45.4446,41553974,,,,,,,,,,,,,,,,,,,,
31,PFC.NSE,2020-08-03,81.0,87.9,80.55,85.45,48.0302,42462597,,,,,,,,,,,,,1.0,86.75,86.05,38.0,,,,
32,PFC.NSE,2020-08-10,87.85,96.65,86.75,91.25,51.2903,91241554,,,,,,,,,,,,,1.0,90.8,87.9,36.0,,,,
33,PFC.NSE,2020-08-17,92.1,103.95,90.8,101.05,56.7987,77367725,1.0,103.95,1.0,,103.95,47.0,,,,,,,,,,,,,,
34,PFC.NSE,2020-08-24,101.95,102.35,96.55,98.2,55.1968,63559513,,,,,,,,,,,,,,,,,,,,
35,PFC.NSE,2020-08-31,99.0,99.9,92.2,92.5,51.9929,45242152,,,,,,,,,,,,,-1.0,96.55,93.5,37.0,,,,
36,PFC.NSE,2020-09-07,92.95,93.5,87.4,92.15,51.7962,36180089,,,,,,,,,,,,,,,,,,,,
37,PFC.NSE,2020-09-14,94.0,95.95,91.55,93.4,52.4988,42791849,,,,,,,,,,,,,,,,,,,,
38,PFC.NSE,2020-09-21,94.0,94.0,82.05,85.35,47.974,44036124,-1.0,82.05,,,,,1.0,94.0,82.05,145145400.0,0.0,66.21801,-1.0,91.55,89.4,40.0,,,,
39,PFC.NSE,2020-09-28,86.6,89.4,85.5,88.65,49.8289,22955728,,,,,,,,,,,,,,,,,,,,
