index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,PIDILITIND.NSE,2020-01-01,1388.05,1412.0,1387.0,1397.0,1353.4036,702867,-1.0,1387.0,,,,,,,,,,,,,,,,,,
1,PIDILITIND.NSE,2020-01-06,1387.35,1432.85,1381.95,1416.7,1372.4888,5008347,,,,,,,,,,,,,1.0,1415.1,1412.0,3.0,,,,
2,PIDILITIND.NSE,2020-01-13,1419.9,1456.0,1415.1,1447.1,1401.9401,2034316,,,,,,,,,,,,,,,,,,,,
3,PIDILITIND.NSE,2020-01-20,1450.0,1465.0,1412.5,1457.5,1412.0156,1620883,,,,,,,,,,,,,,,,,,,,
4,PIDILITIND.NSE,2020-01-27,1458.2,1545.0,1451.0,1485.5,1439.1418,5353019,,,,,,,,,,,,,1.0,1485.5,1465.0,10.0,,,,
5,PIDILITIND.NSE,2020-02-03,1485.5,1579.9,1485.5,1553.9,1505.4072,3474133,,,,,,,,,,,,,1.0,1547.0,1545.0,8.0,,,,
6,PIDILITIND.NSE,2020-02-10,1558.9,1607.0,1547.0,1581.05,1531.7099,2022419,,,,,,,,,,,,,,,,,,,,
7,PIDILITIND.NSE,2020-02-17,1582.1,1606.0,1567.5,1574.95,1525.8003,1233495,,,,,,,,,,,,,,,,,,,,
8,PIDILITIND.NSE,2020-02-24,1576.0,1583.95,1495.6,1523.65,1476.1012,2497501,,,,,,,,,,,,,,,,,,,,
9,PIDILITIND.NSE,2020-03-02,1530.0,1661.2,1511.1,1649.0,1597.5394,5681046,,,,,,,,,,,,,,,,,,,,
10,PIDILITIND.NSE,2020-03-09,1669.0,1709.9,1355.05,1532.95,1491.6492,7817507,1.0,1709.9,,,,,-1.0,1709.9,1355.05,19291732.0,50.0,68.13102,,,,,,,,
11,PIDILITIND.NSE,2020-03-16,1502.0,1597.95,1328.0,1499.95,1459.5383,6421291,,,,,,,,,,,,,,,,,,,,
12,PIDILITIND.NSE,2020-03-23,1356.0,1463.0,1185.55,1305.0,1269.8407,5052935,-1.0,1185.55,,,,,,,,,,,,,,,,,,
