index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,PNB.NSE,2020-01-01,64.5,67.0,63.95,65.05,60.3568,49534995,1.0,67.0,,,,,,,,,,,,,,,,,,
1,PNB.NSE,2020-01-06,64.9,64.9,60.15,62.45,57.9444,103522736,,,,,,,,,,,,,,,,,,,,
2,PNB.NSE,2020-01-13,62.75,64.1,61.3,63.25,58.6867,71386174,,,,,,,,,,,,,,,,,,,,
3,PNB.NSE,2020-01-20,64.1,64.1,60.65,62.35,57.8516,70128492,,,,,,,,,,,,,,,,,,,,
4,PNB.NSE,2020-01-27,61.95,62.25,59.65,60.45,56.0887,63837335,,,,,,,,,,,,,-1.0,60.65,59.4,153.0,,,,
5,PNB.NSE,2020-02-03,58.8,59.4,56.1,58.8,54.5578,131638815,,,,,,,,,,,,,,,,,,,,
6,PNB.NSE,2020-02-10,58.75,58.9,54.0,54.2,50.2896,68213884,,,,,,,,,,,,,-1.0,56.1,54.35,151.0,,,,
7,PNB.NSE,2020-02-17,54.1,54.35,49.9,52.85,49.037,70030504,,,,,,,,,,,,,-1.0,54.0,51.85,151.0,,,,
8,PNB.NSE,2020-02-24,51.85,51.85,44.3,45.05,41.7998,108879043,,,,,,,,,,,,,-1.0,49.9,46.6,94.0,,,,
9,PNB.NSE,2020-03-02,46.3,46.6,40.95,42.35,39.2946,131931237,,,,,,,,,,,,,-1.0,44.3,41.5,49.0,,,,
10,PNB.NSE,2020-03-09,41.15,41.5,28.05,37.4,34.7017,144945076,-1.0,28.05,-1.0,,28.05,20.0,,,,,,,-1.0,40.95,39.4,49.0,,,,
11,PNB.NSE,2020-03-16,36.0,39.4,33.9,38.05,35.3048,169724499,,,,,,,,,,,,,,,,,,,,
12,PNB.NSE,2020-03-23,35.95,37.5,33.15,33.45,31.0367,130356762,,,,,,,,,,,,,,,,,,,,
