index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,POWERGRID.NSE,2020-01-01,187.7867,193.8489,187.4844,190.2044,61.3866,26652341,-1.0,187.4844,,,,,,,,,,,,,,,,,,
1,POWERGRID.NSE,2020-01-06,189.2089,191.68,185.2623,189.3511,61.1112,42664266,,,,,,,,,,,,,,,,,,,,
2,POWERGRID.NSE,2020-01-13,189.6,194.9689,189.0133,194.5423,62.7866,54042290,,,,,,,,,,,,,,,,,,,,
3,POWERGRID.NSE,2020-01-20,201.44,207.9289,190.24,194.0977,62.6431,365619818,,,,,,,,,,,,,,,,,,,,
4,POWERGRID.NSE,2020-01-27,193.5467,193.6,174.3823,179.7511,58.0129,166531920,,,,,,,,,,,,,,,,,,,,
5,POWERGRID.NSE,2020-02-03,178.2756,192.8533,174.88,187.6267,60.5546,72321140,,,,,,,,,,,,,,,,,,,,
6,POWERGRID.NSE,2020-02-10,187.9289,189.12,180.7289,181.4223,58.5522,121727108,,,,,,,,,,,,,,,,,,,,
7,POWERGRID.NSE,2020-02-17,182.3111,187.9289,177.92,186.5067,60.1932,96771592,,,,,,,,,,,,,,,,,,,,
8,POWERGRID.NSE,2020-02-24,186.2577,186.4533,176.5511,178.8623,57.726,106325580,,,,,,,,,,,,,,,,,,,,
9,POWERGRID.NSE,2020-03-02,181.0844,196.6577,179.1111,187.84,60.6235,76605838,1.0,196.6577,,,,,,,,,,,,,,,1.0,196.4622,47.0,53.0
10,POWERGRID.NSE,2020-03-09,182.2223,185.8667,147.3244,165.4577,53.3998,215251988,,,,,,,,,,,,,-1.0,179.1111,167.8756,15.0,,,,
11,POWERGRID.NSE,2020-03-16,160.0356,167.8756,120.3733,154.9689,53.4366,370565232,-1.0,120.3733,,,,,,,,,,,,,,,,,,
12,POWERGRID.NSE,2020-03-23,139.5023,163.84,139.5023,157.6711,54.3684,159491602,,,,,,,,,,,,,,,,,,,,
13,POWERGRID.NSE,2020-03-30,152.7467,159.5911,149.5467,153.9377,53.0811,82451837,,,,,,,,,,,,,,,,,,,,
14,POWERGRID.NSE,2020-04-07,158.6667,164.2844,152.9956,162.0623,55.8826,61831127,,,,,,,,,,,,,,,,,,,,
15,POWERGRID.NSE,2020-04-13,161.6177,170.7377,154.9689,165.3156,57.0044,89838966,1.0,170.7377,1.0,,170.7377,25.0,,,,,,,,,,,,,,
16,POWERGRID.NSE,2020-04-20,166.7377,166.7377,153.4933,156.8356,54.0803,123058481,,,,,,,,,,,,,,,,,,,,
17,POWERGRID.NSE,2020-04-27,159.1467,161.0844,153.7423,159.6977,55.0673,69109423,,,,,,,,,,,,,,,,,,,,
18,POWERGRID.NSE,2020-05-04,158.56,164.2311,155.3067,156.6933,54.0313,83217858,,,,,,,,,,,,,,,,,,,,
19,POWERGRID.NSE,2020-05-11,156.9956,169.4044,155.4133,157.4756,54.301,103083238,,,,,,,,,,,,,,,,,,,,
20,POWERGRID.NSE,2020-05-18,157.5289,158.3111,151.0756,153.5823,52.9585,112109198,-1.0,151.0756,,,,,1.0,158.3111,151.0756,323276960.0,0.0,29.005178,,,,,-1.0,151.7156,41.0,0.0
21,POWERGRID.NSE,2020-05-26,153.8844,156.3911,153.2444,155.2533,53.5347,130809754,,,,,,,,,,,,,,,,,,,,
22,POWERGRID.NSE,2020-06-01,156.2489,171.7689,155.4133,168.96,58.2611,149596660,,,,,,,,,,,,,1.0,163.2,156.3911,24.0,,,,
23,POWERGRID.NSE,2020-06-08,170.9333,175.7156,163.2,163.8933,56.514,72684725,,,,,,,,,,,,,,,,,,,,
24,POWERGRID.NSE,2020-06-15,162.8089,169.7956,156.0533,168.9067,58.2427,97476632,,,,,,,,,,,,,,,,,,,,
25,POWERGRID.NSE,2020-06-22,173.8311,186.2577,168.1777,176.6044,60.897,153115602,1.0,186.2577,1.0,,186.2577,33.0,,,,,,,,,,,1.0,187.06665,34.0,46.0
26,POWERGRID.NSE,2020-06-29,175.4133,177.6889,169.4044,175.0223,60.3515,72848059,,,,,,,,,,,,,,,,,,,,
27,POWERGRID.NSE,2020-07-06,175.8044,176.1067,166.3467,170.0977,58.6534,89318621,,,,,,,,,,,,,,,,,,,,
28,POWERGRID.NSE,2020-07-13,170.0977,171.6623,157.1911,160.9244,55.4902,71327346,-1.0,157.1911,,-1.0,157.1911,40.0,,,,,,,,,,,,,,
29,POWERGRID.NSE,2020-07-20,160.9244,180.5867,160.0,179.36,61.8472,121361838,,,,,,,,,,,,,1.0,173.0489,171.6623,31.0,,,,
30,POWERGRID.NSE,2020-07-27,178.6667,181.8133,173.0489,175.7156,60.5905,75518205,,,,,,,,,,,,,,,,,,,,
31,POWERGRID.NSE,2020-08-03,176.4089,176.8889,171.5733,173.3867,59.7875,49299283,,,,,,,,,,,,,,,,,,,,
32,POWERGRID.NSE,2020-08-10,174.2756,179.6977,170.6844,172.8533,59.6036,76807330,,,,,,,,,,,,,,,,,,,,
33,POWERGRID.NSE,2020-08-17,173.44,187.7333,173.0489,186.3467,64.2564,137672962,,,,,,,,,,,,,,,,,,,,
34,POWERGRID.NSE,2020-08-24,186.8977,187.8756,179.1644,179.6444,61.9453,70316613,1.0,187.8756,,1.0,187.8756,46.0,,,,,,,,,,,,,,
35,POWERGRID.NSE,2020-08-31,180.8356,182.6667,171.1823,172.5156,61.9916,100983172,,,,,,,,,,,,,-1.0,179.1644,175.8577,44.0,,,,
36,POWERGRID.NSE,2020-09-07,172.5156,175.8577,170.5423,172.6044,62.0235,93607273,,,,,,,,,,,,,,,,,,,,
37,POWERGRID.NSE,2020-09-14,174.9156,174.9156,164.8711,169.4044,60.8736,69759164,,,,,,,,,,,,,-1.0,170.5423,169.2089,43.0,,,,
38,POWERGRID.NSE,2020-09-21,168.5156,169.2089,156.1956,158.4177,56.9257,60309333,,,,,,,,,,,,,,,,,,,,
39,POWERGRID.NSE,2020-09-28,158.6667,166.9333,157.9733,162.2044,58.2864,59590195,,,,,,,,,,,,,,,,,,,,
40,POWERGRID.NSE,2020-10-05,161.6177,163.9823,154.4177,155.6977,55.9483,61897596,,,,,,,,,,,,,,,,,,,,
41,POWERGRID.NSE,2020-10-12,156.8889,160.4444,152.3556,156.64,56.2869,79424515,-1.0,152.3556,,,,,1.0,160.4444,152.3556,289019330.0,0.0,37.872,,,,,,,,
42,POWERGRID.NSE,2020-10-19,157.6356,168.9067,154.6133,167.68,60.254,137273869,,,,,,,,,,,,,1.0,166.8444,160.4444,82.0,,,,
43,POWERGRID.NSE,2020-10-26,167.5733,172.8,166.8444,168.5156,60.5542,114990984,,,,,,,,,,,,,1.0,169.4577,168.9067,82.0,,,,
44,POWERGRID.NSE,2020-11-02,170.0444,178.08,169.4577,175.8577,63.1925,79390596,,,,,,,,,,,,,1.0,176.4977,172.8,46.0,,,,
45,POWERGRID.NSE,2020-11-09,177.28,188.2311,176.4977,185.2623,66.5719,83758109,,,,,,,,,,,,,,,,,,,,
46,POWERGRID.NSE,2020-11-17,184.2844,194.3289,175.8044,189.0667,67.939,125870616,,,,,,,,,,,,,,,,,,,,
47,POWERGRID.NSE,2020-11-23,189.2089,196.2667,185.9556,189.6,68.1307,127746080,1.0,196.2667,1.0,,196.2667,53.0,,,,,,,,,,,,,,
48,POWERGRID.NSE,2020-12-01,192.0177,194.0977,186.7911,191.52,68.8206,70177849,,,,,,,,,,,,,,,,,,,,
49,POWERGRID.NSE,2020-12-07,190.2044,194.3823,188.32,190.2933,68.3798,85165212,,,,,,,,,,,,,,,,,,,,
50,POWERGRID.NSE,2020-12-14,193.1556,194.1333,188.5689,191.0756,71.9695,114795075,,,,,,,,,,,,,,,,,,,,
51,POWERGRID.NSE,2020-12-21,190.2044,190.4,181.7777,187.2356,70.5232,68325090,,,,,,,,,,,,,,,,,,,,
52,POWERGRID.NSE,2020-12-28,187.4311,189.8489,184.0889,186.7556,70.3424,60908681,,,,,,,,,,,,,,,,,,,,
53,POWERGRID.NSE,2021-01-04,187.2356,201.0311,183.5023,200.5867,75.5519,141495197,,,,,,,,,,,,,1.0,197.0489,189.8489,55.0,,,,
54,POWERGRID.NSE,2021-01-11,201.0311,204.48,197.0489,200.0533,75.3511,93527691,,,,,,,,,,,,,,,,,,,,
55,POWERGRID.NSE,2021-01-18,198.3289,199.0756,190.2044,191.3777,72.0834,95889198,,,,,,,,,,,,,-1.0,197.0489,193.9377,57.0,,,,
56,POWERGRID.NSE,2021-01-25,191.6267,193.9377,180.3377,181.7777,68.4675,57756009,,,,,,,,,,,,,,,,,,,,
57,POWERGRID.NSE,2021-02-01,181.7777,206.9511,179.8577,204.0889,76.8711,145978728,-1.0,179.8577,,,,,,,,,,,1.0,202.72,193.9377,67.0,,,,
58,POWERGRID.NSE,2021-02-08,203.5023,215.8223,202.72,209.5644,78.9335,135935468,,,,,,,,,,,,,1.0,208.48,206.9511,60.0,,,,
59,POWERGRID.NSE,2021-02-15,210.8977,234.8444,208.48,228.8356,86.192,208463169,1.0,234.8444,1.0,,234.8444,75.0,,,,,,,,,,,,,,
60,POWERGRID.NSE,2021-02-22,229.0667,230.5067,208.1244,211.1823,79.5428,124282544,,,,,,,,,,,,,,,,,,,,
61,POWERGRID.NSE,2021-03-01,214.3467,226.8089,214.24,217.0489,81.7525,109224730,,,,,,,,,,,,,,,,,,,,
62,POWERGRID.NSE,2021-03-08,214.6844,220.64,210.1511,216.8533,84.4455,57168710,,,,,,,,,,,,,,,,,,,,
63,POWERGRID.NSE,2021-03-15,217.7956,228.7289,215.9644,226.8623,88.3431,141998181,,,,,,,,,,,,,,,,,,,,
64,POWERGRID.NSE,2021-03-22,231.0044,231.0044,209.0667,211.4844,82.3548,137492766,,,,,,,,,,,,,,,,,,,,
65,POWERGRID.NSE,2021-03-30,213.7423,220.4444,211.5377,215.52,83.9263,85252390,,,,,,,,,,,,,,,,,,,,
66,POWERGRID.NSE,2021-04-05,212.0711,215.8223,204.9777,205.28,79.9387,94870288,,,,,,,,,,,,,,,,,,,,
