index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,RECLTD.NSE,2020-01-01,143.2933,145.9467,141.5467,143.0,66.2517,10249546,-1.0,141.5467,,,,,,,,,,,,,,,,,,
1,RECLTD.NSE,2020-01-06,142.0,144.6533,136.7067,142.2533,65.9058,20555372,,,,,,,,,,,,,,,,,,,,
2,RECLTD.NSE,2020-01-13,143.0533,144.4,138.9467,141.0,65.3251,23264423,,,,,,,,,,,,,,,,,,,,
3,RECLTD.NSE,2020-01-20,140.8,142.5067,129.7067,141.4533,65.5351,29584601,,,,,,,,,,,,,,,,,,,,
4,RECLTD.NSE,2020-01-27,140.8533,149.2933,140.6,143.7067,66.5791,36901162,,,,,,,,,,,,,,,,,,,,
5,RECLTD.NSE,2020-02-03,139.1467,155.5067,136.0933,155.0533,71.836,63681570,,,,,,,,,,,,,,,,,,,,
6,RECLTD.NSE,2020-02-10,156.0,156.5067,138.5467,139.6533,69.6833,50242327,1.0,156.5067,,,,,,,,,,,,,,,1.0,156.32,63.0,75.0
7,RECLTD.NSE,2020-02-17,139.8533,141.4,134.0933,139.9467,69.8297,15272422,,,,,,,,,,,,,,,,,,,,
8,RECLTD.NSE,2020-02-24,138.3467,141.0533,116.7067,117.8,58.7791,32004323,,,,,,,,,,,,,-1.0,134.0933,124.6,48.0,,,,
9,RECLTD.NSE,2020-03-02,120.9467,124.6,113.0,115.2933,57.5283,46679032,,,,,,,,,,,,,-1.0,116.7067,113.5067,25.0,,,,
10,RECLTD.NSE,2020-03-09,113.2,113.5067,84.0,100.8533,50.3232,48819951,,,,,,,,,,,,,-1.0,113.0,99.7467,12.0,,,,
11,RECLTD.NSE,2020-03-16,96.0,99.7467,83.4,91.6533,45.7326,60899252,,,,,,,,,,,,,,,,,,,,
12,RECLTD.NSE,2020-03-23,86.0,100.6533,78.7467,85.0,42.4128,53545842,-1.0,78.7467,,,,,,,,,,,,,,,-1.0,81.2,21.0,0.0
13,RECLTD.NSE,2020-03-30,83.0,91.2,80.6533,85.0533,42.4394,27509845,,,,,,,,,,,,,,,,,,,,
14,RECLTD.NSE,2020-04-07,88.0,91.6533,84.5067,89.0,44.4087,28841018,,,,,,,,,,,,,,,,,,,,
15,RECLTD.NSE,2020-04-13,89.0,99.0,85.6,95.5067,47.6553,36867076,,,,,,,,,,,,,,,,,,,,
16,RECLTD.NSE,2020-04-20,96.9067,98.1467,89.0,89.3467,44.5816,35447173,,,,,,,,,,,,,,,,,,,,
17,RECLTD.NSE,2020-04-27,90.3467,96.2533,88.3467,95.5467,47.6753,37770784,,,,,,,,,,,,,,,,,,,,
18,RECLTD.NSE,2020-05-04,92.9467,92.9467,86.9067,87.5467,43.6835,47555538,,,,,,,,,,,,,,,,,,,,
19,RECLTD.NSE,2020-05-11,88.9067,104.8,87.2533,97.9067,48.8528,106341984,1.0,104.8,1.0,,104.8,23.0,,,,,,,,,,,,,,
20,RECLTD.NSE,2020-05-18,98.0,98.5467,85.5067,85.9067,42.8652,50260096,,,,,,,,,,,,,,,,,,,,
21,RECLTD.NSE,2020-05-26,85.0533,91.6,83.6533,88.5467,44.1825,45837178,-1.0,83.6533,,,,,1.0,91.6,83.6533,216662740.0,0.0,26.832739,,,,,,,,
22,RECLTD.NSE,2020-06-01,90.5067,102.0,89.8,99.8,49.7976,56552799,,,,,,,,,,,,,1.0,96.0,91.6,38.0,,,,
23,RECLTD.NSE,2020-06-08,101.4533,107.0,96.0,106.0533,52.9178,114272764,,,,,,,,,,,,,1.0,102.1467,102.0,28.0,,,,
24,RECLTD.NSE,2020-06-15,105.9067,110.4533,102.1467,106.6,53.1906,102433723,,,,,,,,,,,,,1.0,107.3467,107.0,26.0,,,,
25,RECLTD.NSE,2020-06-22,107.5067,117.4,107.3467,112.6533,56.211,67178117,1.0,117.4,,,,,,,,,,,,,,,1.0,116.95335,33.0,47.0
26,RECLTD.NSE,2020-06-29,112.6533,112.8533,106.6,108.2933,54.0355,40348286,,,,,,,,,,,,,,,,,,,,
27,RECLTD.NSE,2020-07-06,108.9467,112.4,104.0933,104.7467,52.2658,37530863,,,,,,,,,,,,,-1.0,106.6,105.6,29.0,,,,
28,RECLTD.NSE,2020-07-13,105.2533,105.6,99.8,104.6,52.1926,27705497,,,,,,,,,,,,,,,,,,,,
29,RECLTD.NSE,2020-07-20,105.0,110.2533,104.2933,106.4533,53.1174,41323314,,,,,,,,,,,,,,,,,,,,
30,RECLTD.NSE,2020-07-27,106.0,106.6533,98.5067,100.1467,49.9705,52531834,-1.0,98.5067,-1.0,,98.5067,40.0,,,,,,,,,,,,,,
31,RECLTD.NSE,2020-08-03,100.6533,108.7067,99.3467,105.7467,52.7648,59901488,,,,,,,,,,,,,,,,,,,,
32,RECLTD.NSE,2020-08-10,111.9067,111.9067,104.6,108.0,53.8892,66458026,,,,,,,,,,,,,,,,,,,,
33,RECLTD.NSE,2020-08-17,109.4533,116.5067,107.8,112.7067,56.2377,70667721,1.0,116.5067,,1.0,116.5067,47.0,,,,,,,,,,,,,,
34,RECLTD.NSE,2020-08-24,113.0,114.7067,109.2933,111.5467,55.6588,44356199,,,,,,,,,,,,,,,,,,,,
35,RECLTD.NSE,2020-08-31,112.9067,114.0933,105.5067,109.9467,54.8605,67261088,,,,,,,,,,,,,,,,,,,,
36,RECLTD.NSE,2020-09-07,111.0,111.5067,104.6,107.3467,53.5632,43258677,,,,,,,,,,,,,,,,,,,,
37,RECLTD.NSE,2020-09-14,108.9067,110.7467,106.5067,108.0,53.8892,39541068,,,,,,,,,,,,,,,,,,,,
38,RECLTD.NSE,2020-09-21,107.7467,107.7467,95.0,99.0533,49.425,38816192,,,,,,,,,,,,,-1.0,106.5067,103.0933,40.0,,,,
39,RECLTD.NSE,2020-09-28,99.9467,103.0933,98.1467,102.4533,51.1215,24405410,,,,,,,,,,,,,,,,,,,,
40,RECLTD.NSE,2020-10-05,103.0933,103.8,97.5467,98.0533,48.926,47223081,,,,,,,,,,,,,,,,,,,,
41,RECLTD.NSE,2020-10-12,98.5067,99.0533,91.8,94.0,46.9035,44519303,-1.0,91.8,,,,,,,,,,,,,,,-1.0,91.425,146.0,0.0
42,RECLTD.NSE,2020-10-19,94.2933,101.9067,93.6,100.3467,50.0703,34467123,,,,,,,,,,,,,,,,,,,,
43,RECLTD.NSE,2020-10-26,100.0,105.4533,98.0933,102.8533,51.3211,50833778,,,,,,,,,,,,,1.0,102.2,101.9067,142.0,,,,
44,RECLTD.NSE,2020-11-02,103.5067,109.8,102.2,108.1467,53.9623,36709368,,,,,,,,,,,,,1.0,107.5067,105.4533,137.0,,,,
45,RECLTD.NSE,2020-11-09,110.8533,119.4533,107.5067,114.2933,60.0682,79855933,,,,,,,,,,,,,1.0,112.0533,109.8,128.0,,,,
46,RECLTD.NSE,2020-11-17,114.2933,118.0,112.0533,113.5467,59.6758,47600855,,,,,,,,,,,,,,,,,,,,
47,RECLTD.NSE,2020-11-23,113.6,123.6,113.6,121.4533,63.8313,75779231,,,,,,,,,,,,,1.0,119.0,118.0,112.0,,,,
48,RECLTD.NSE,2020-12-01,121.5067,128.2533,119.0,127.2533,66.8795,42515704,,,,,,,,,,,,,1.0,125.5067,123.6,51.0,,,,
49,RECLTD.NSE,2020-12-07,127.2533,138.3467,125.5067,136.1467,71.5535,78901924,,,,,,,,,,,,,1.0,134.8533,128.2533,51.0,,,,
50,RECLTD.NSE,2020-12-14,136.2533,143.5067,134.8533,137.7467,72.3944,53802549,,,,,,,,,,,,,,,,,,,,
51,RECLTD.NSE,2020-12-21,136.0533,137.7467,125.2933,133.9067,70.3763,28339940,,,,,,,,,,,,,,,,,,,,
52,RECLTD.NSE,2020-12-28,135.0,137.0933,131.3467,134.7067,70.7967,23424634,,,,,,,,,,,,,,,,,,,,
53,RECLTD.NSE,2021-01-04,136.4533,146.2,134.2,144.7467,76.0733,37909708,,,,,,,,,,,,,1.0,140.2933,137.0933,55.0,,,,
54,RECLTD.NSE,2021-01-11,144.8,147.9067,140.2933,145.4,76.4167,38725541,,,,,,,,,,,,,,,,,,,,
55,RECLTD.NSE,2021-01-18,145.0,148.4,138.8,140.0933,73.6277,35508300,,,,,,,,,,,,,,,,,,,,
56,RECLTD.NSE,2021-01-25,142.0933,142.8533,131.2533,132.5067,69.6405,30906537,,,,,,,,,,,,,,,,,,,,
57,RECLTD.NSE,2021-02-01,134.0933,155.0,131.5067,147.6,77.5729,50073829,,,,,,,,,,,,,1.0,145.2,142.8533,59.0,,,,
58,RECLTD.NSE,2021-02-08,147.9067,150.2933,145.2,147.2933,77.4118,26403512,,,,,,,,,,,,,,,,,,,,
59,RECLTD.NSE,2021-02-15,148.2,157.0,143.5067,145.7067,76.5779,42934432,1.0,157.0,,,,,,,,,,,,,,,,,,
60,RECLTD.NSE,2021-02-22,145.3467,145.6,131.2933,135.5067,71.2171,61402968,-1.0,131.2933,-1.0,,131.2933,64.0,,,,,,,,,,,,,,
61,RECLTD.NSE,2021-03-01,136.5467,150.7467,136.2933,143.0533,75.1834,67128548,,,,,,,,,,,,,,,,,,,,
62,RECLTD.NSE,2021-03-08,144.4533,154.4533,143.7067,151.0533,79.3879,44618779,,,,,,,,,,,,,,,,,,,,
63,RECLTD.NSE,2021-03-15,151.7467,155.4533,137.5467,143.1467,77.8063,56127848,1.0,155.4533,,1.0,155.4533,75.0,,,,,,,-1.0,143.7067,142.7467,71.0,,,,
64,RECLTD.NSE,2021-03-22,141.0,142.7467,129.0533,131.2933,71.3635,32633546,,,,,,,,,,,,,-1.0,137.5467,133.0933,66.0,,,,
65,RECLTD.NSE,2021-03-30,132.0,133.0933,127.8,132.7467,72.1535,17754710,,,,,,,,,,,,,,,,,,,,
66,RECLTD.NSE,2021-04-05,132.8533,135.5067,128.2,132.0933,71.7984,23858813,,,,,,,,,,,,,,,,,,,,
67,RECLTD.NSE,2021-04-12,130.4533,132.0933,122.1467,127.0933,69.0806,33379297,-1.0,122.1467,,,,,,,,,,,-1.0,128.2,128.0,69.0,-1.0,121.2978,112.0,123.0
68,RECLTD.NSE,2021-04-19,125.0,128.0,124.0533,126.3467,68.6748,18817885,,,,,,,,,,,,,,,,,,,,
69,RECLTD.NSE,2021-04-26,126.0533,132.9467,126.0533,128.0933,69.6242,22785773,,,,,,,,,,,,,,,,,,,,
70,RECLTD.NSE,2021-05-03,127.5067,132.4533,126.0933,131.2,71.3128,18333997,,,,,,,,,,,,,,,,,,,,
71,RECLTD.NSE,2021-05-10,132.0,144.9067,131.7067,139.0,75.5524,32577160,,,,,,,,,,,,,1.0,138.8,132.4533,98.0,,,,
72,RECLTD.NSE,2021-05-17,139.9467,145.6533,138.8,144.2,78.3788,23001912,,,,,,,,,,,,,,,,,,,,
73,RECLTD.NSE,2021-05-24,144.4,147.3467,140.0,146.1467,79.4369,26060351,,,,,,,,,,,,,,,,,,,,
74,RECLTD.NSE,2021-05-31,148.0,152.6533,143.7067,150.6533,81.8865,26998247,,,,,,,,,,,,,1.0,150.8,147.3467,76.0,,,,
75,RECLTD.NSE,2021-06-07,151.6533,167.8,150.8,161.4,87.7278,65546670,1.0,167.8,,,,,,,,,,,,,,,1.0,168.32664,93.0,186.0
76,RECLTD.NSE,2021-06-14,161.0533,161.2,145.0,147.0533,79.9298,37736084,,,,,,,,,,,,,-1.0,150.8,149.0,78.0,,,,
77,RECLTD.NSE,2021-06-21,145.0,149.0,140.5067,143.3467,77.915,24802882,-1.0,140.5067,,,,98.0,,,,,,,,,,,-1.0,139.88,86.0,99.0
78,RECLTD.NSE,2021-06-28,143.8533,150.9467,142.0533,144.4533,78.5165,52069498,,,,,,,,,,,,,,,,,,,,
79,RECLTD.NSE,2021-07-05,144.9067,147.4533,142.7467,145.3467,79.0021,17886432,,,,,,,,,,,,,,,,,,,,
80,RECLTD.NSE,2021-07-12,146.3467,153.0,145.5467,151.6533,82.43,24075528,,,,,,,,,,,,,1.0,149.0533,147.4533,82.0,,,,
81,RECLTD.NSE,2021-07-19,150.7467,154.8,149.0533,152.9067,83.1113,16412354,,,,,,,,,,,,,,,,,,,,
82,RECLTD.NSE,2021-07-26,152.7467,153.6533,143.2533,151.0933,82.1257,27920186,,,,,,,,,,,,,,,,,,,,
83,RECLTD.NSE,2021-08-02,152.4,160.5067,151.3467,156.4533,85.0391,33066358,1.0,160.5067,,1.0,160.5067,93.0,,,,,,,,,,,,,,
84,RECLTD.NSE,2021-08-09,156.4533,157.2933,145.7467,146.8533,80.8925,23963657,,,,,,,,,,,,,,,,,,,,
85,RECLTD.NSE,2021-08-16,146.9467,152.2533,143.0,143.9467,79.2914,24806248,,,,,,,,,,,,,,,,,,,,
86,RECLTD.NSE,2021-08-23,145.0,147.0933,139.2533,146.2933,80.584,19919739,-1.0,139.2533,,-1.0,139.2533,98.0,,,,,,,,,,,,,,
87,RECLTD.NSE,2021-08-30,147.4,155.8,147.3467,154.2533,84.9687,20262181,,,,,,,,,,,,,1.0,149.6,147.0933,90.0,,,,
88,RECLTD.NSE,2021-09-06,154.2533,159.7467,149.6,157.2933,86.6432,20652328,,,,,,,,,,,,,,,,,,,,
89,RECLTD.NSE,2021-09-13,157.2533,164.3467,152.4,157.0533,87.438,35680669,,,,,,,,,,,,,,,,,,,,
90,RECLTD.NSE,2021-09-20,155.0,157.2533,149.6,152.6,84.9587,14250867,,,,,,,,,,,,,,,,,,,,
91,RECLTD.NSE,2021-09-27,153.6,166.0,150.9067,156.0933,86.9035,50200098,,,,,,,,,,,,,,,,,,,,
92,RECLTD.NSE,2021-10-04,156.6,163.5067,156.0,157.7467,87.824,24977249,,,,,,,,,,,,,,,,,,,,
93,RECLTD.NSE,2021-10-11,160.2933,168.8533,157.0,164.7467,91.7212,45681235,1.0,168.8533,,,,,-1.0,168.8533,157.0,72279480.0,182.0,39.517082,,,,,,,,
94,RECLTD.NSE,2021-10-18,167.9467,168.2,149.3467,150.9467,84.0382,41835276,,,,,,,,,,,,,,,,,,,,
95,RECLTD.NSE,2021-10-25,151.6533,158.5067,146.6533,148.6533,82.7614,40769638,,,,,,,,,,,,,,,,,,,,
96,RECLTD.NSE,2021-11-01,150.8,155.6,147.0933,153.2933,85.3447,20472578,,,,,,,,,,,,,,,,,,,,
97,RECLTD.NSE,2021-11-08,153.6,155.6533,144.8,145.6533,82.4298,27480693,,,,,,,,,,,,,-1.0,147.0933,145.9067,179.0,,,,
98,RECLTD.NSE,2021-11-15,145.9067,145.9067,136.0933,136.2533,77.11,24326212,,,,,,,,,,,,,-1.0,144.8,136.9467,100.0,,,,
99,RECLTD.NSE,2021-11-22,136.7467,136.9467,129.4,130.0533,73.6013,44009541,,,,,,,,,,,,,,,,,,,,
100,RECLTD.NSE,2021-11-29,129.6,141.4,126.1467,132.5467,75.0123,186295684,,,,,,,,,,,,,,,,,,,,
101,RECLTD.NSE,2021-12-06,132.6,137.6,131.7467,136.2533,77.11,54605468,,,,,,,,,,,,,,,,,,,,
102,RECLTD.NSE,2021-12-13,136.2533,138.7067,129.7067,131.2933,74.303,49075341,,,,,,,,,,,,,,,,,,,,
103,RECLTD.NSE,2021-12-20,129.5467,133.4,125.1467,131.4,74.3634,30665562,-1.0,125.1467,-1.0,,125.1467,112.0,,,,,,,,,,,,,,
104,RECLTD.NSE,2021-12-27,130.7467,134.5067,129.4,133.8,75.7216,16243499,,,,,,,,,,,,,,,,,,,,
105,RECLTD.NSE,2022-01-03,134.4,138.2,133.2933,136.4,77.193,20664765,,,,,,,,,,,,,1.0,136.6533,134.5067,107.0,,,,
106,RECLTD.NSE,2022-01-10,136.6533,141.5067,136.6533,139.2,78.7776,20876551,,,,,,,,,,,,,,,,,,,,
107,RECLTD.NSE,2022-01-17,139.2,141.2,132.1467,132.9067,75.216,15809812,,,,,,,,,,,,,,,,,,,,
108,RECLTD.NSE,2022-01-24,133.7067,137.9467,127.8533,135.2,76.5139,23196240,,,,,,,,,,,,,,,,,,,,
109,RECLTD.NSE,2022-01-31,137.0933,143.2933,134.5067,140.6,79.5699,59951181,1.0,143.2933,,,,,-1.0,143.2933,134.5067,100469670.0,178.0,57.740612,,,,,1.0,140.88,174.0,179.0
110,RECLTD.NSE,2022-02-07,141.0,141.2933,133.4,138.9467,78.6343,36776709,,,,,,,,,,,,,,,,,,,,
111,RECLTD.NSE,2022-02-14,137.4533,137.7067,125.0533,126.2533,74.8066,36134175,,,,,,,,,,,,,-1.0,133.4,127.4533,118.0,,,,
112,RECLTD.NSE,2022-02-21,126.0,127.4533,116.6,120.5467,71.4253,27558790,-1.0,116.6,-1.0,,116.6,123.0,,,,,,,-1.0,125.0533,125.0,114.0,,,,
113,RECLTD.NSE,2022-02-28,118.0,125.0,117.9067,123.5467,73.2029,18191295,,,,,,,,,,,,,,,,,,,,
114,RECLTD.NSE,2022-03-07,122.0,126.0933,119.1467,125.7067,74.4827,25334463,,,,,,,,,,,,,,,,,,,,
115,RECLTD.NSE,2022-03-14,126.0,126.9467,121.4,125.7467,74.5064,21861902,,,,,,,,,,,,,,,,,,,,
116,RECLTD.NSE,2022-03-21,126.0,126.9067,123.6,124.2533,73.6216,15648878,,,,,,,,,,,,,,,,,,,,
117,RECLTD.NSE,2022-03-28,124.2533,127.2,121.9067,126.8533,75.1621,28998541,,,,,,,,,,,,,1.0,127.0933,126.9067,121.0,,,,
118,RECLTD.NSE,2022-04-04,127.0933,135.8,127.0933,133.8,79.2781,29991892,1.0,135.8,,,,,,,,,,,1.0,129.9067,127.2,120.0,,,,
119,RECLTD.NSE,2022-04-11,133.9067,134.6,129.9067,130.5067,77.3268,10236455,,,,,,,,,,,,,,,,,,,,
120,RECLTD.NSE,2022-04-18,130.8533,132.8,127.8533,128.5067,76.1417,14731172,,,,,,,,,,,,,-1.0,129.9067,129.7067,131.0,,,,
121,RECLTD.NSE,2022-04-25,128.0,129.7067,125.5067,127.0,75.249,15943763,,,,,,,,,,,,,-1.0,127.8533,127.6533,131.0,,,,
122,RECLTD.NSE,2022-05-02,125.9467,127.6533,120.3467,122.5467,72.6104,12596791,,,,,,,,,,,,,-1.0,125.5067,124.0933,130.0,,,,
123,RECLTD.NSE,2022-05-09,122.5067,124.0933,113.5067,114.0,67.5464,28949784,,,,,,,,,,,,,-1.0,120.3467,120.0533,125.0,,,,
124,RECLTD.NSE,2022-05-16,115.2533,120.0533,113.2533,117.7467,69.7663,19527462,-1.0,113.2533,-1.0,,113.2533,128.0,,,,,,,,,,,-1.0,111.4533,129.0,137.0
125,RECLTD.NSE,2022-05-23,118.9467,120.6533,114.7467,119.9467,71.0698,18290211,,,,,,,,,,,,,,,,,,,,
126,RECLTD.NSE,2022-05-30,121.0,121.8,118.5067,119.1467,70.5958,30296363,1.0,121.8,,1.0,121.8,130.0,,,,,,,,,,,,,,
127,RECLTD.NSE,2022-06-06,118.3467,119.4533,114.6533,117.8,69.7979,21272871,,,,,,,,,,,,,-1.0,118.5067,116.7467,129.0,,,,
128,RECLTD.NSE,2022-06-13,116.3467,116.7467,110.0,112.8,66.8353,22526070,,,,,,,,,,,,,,,,,,,,
129,RECLTD.NSE,2022-06-20,114.0,118.7067,109.6533,117.9467,69.8848,23043809,-1.0,109.6533,,-1.0,109.6533,137.0,,,,,,,1.0,118.5467,116.7467,137.0,,,,
130,RECLTD.NSE,2022-06-27,119.6,126.0,118.5467,125.7067,74.4827,46669723,,,,,,,,,,,,,1.0,125.6533,118.7067,132.0,,,,
131,RECLTD.NSE,2022-07-04,126.4533,131.2533,125.6533,130.8,77.5006,55516388,,,,,,,,,,,,,,,,,,,,
132,RECLTD.NSE,2022-07-11,130.6,131.5067,120.0933,121.6,74.8006,23271858,,,,,,,,,,,,,,,,,,,,
133,RECLTD.NSE,2022-07-18,122.5067,127.0,121.6533,126.1467,77.5974,18009017,,,,,,,,,,,,,,,,,,,,
134,RECLTD.NSE,2022-07-25,126.4,131.5467,126.2933,131.0,80.5829,19509111,,,,,,,,,,,,,1.0,131.4533,127.0,137.0,,,,
135,RECLTD.NSE,2022-08-01,132.0,134.8533,131.4533,133.5067,82.1248,17871247,,,,,,,,,,,,,1.0,132.2933,131.5467,137.0,,,,
136,RECLTD.NSE,2022-08-08,134.4,137.8533,132.2933,137.0933,84.3311,18979509,,,,,,,,,,,,,,,,,,,,
137,RECLTD.NSE,2022-08-16,138.5467,138.5467,102.8,104.9,86.0371,26154813,1.0,138.5467,,,,,,,,,,,-1.0,132.2933,109.7,151.0,,,,
138,RECLTD.NSE,2022-08-22,104.8,109.7,102.5,108.6,89.0718,20214290,,,,,,,,,,,,,,,,,,,,
139,RECLTD.NSE,2022-08-29,106.25,109.45,106.0,107.15,87.8825,24167408,,,,,,,,,,,,,,,,,,,,
140,RECLTD.NSE,2022-09-05,107.65,109.25,104.95,105.35,86.4062,21103968,,,,,,,,,,,,,,,,,,,,
