index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,RELIANCE.NSE,2020-01-01,1365.14,1386.4,1353.9,1381.32,675.7081,48643375,-1.0,1353.9,,,,,,,,,,,,,,,,,,
1,RELIANCE.NSE,2020-01-06,1366.94,1401.06,1347.16,1391.08,680.4825,78191810,,,,,,,,,,,,,,,,,,,,
2,RELIANCE.NSE,2020-01-13,1389.46,1425.34,1365.36,1421.8,695.51,85129714,,,,,,,,,,,,,,,,,,,,
3,RELIANCE.NSE,2020-01-20,1446.98,1446.98,1365.64,1370.58,670.4544,80920083,,,,,,,,,,,,,,,,,,,,
4,RELIANCE.NSE,2020-01-27,1362.36,1370.94,1233.04,1233.84,603.5645,132853010,,,,,,,,,,,,,-1.0,1365.64,1319.28,6.0,,,,
5,RELIANCE.NSE,2020-02-03,1231.96,1319.28,1225.8,1287.8,629.9604,94441145,,,,,,,,,,,,,,,,,,,,
6,RELIANCE.NSE,2020-02-10,1284.2,1350.26,1268.42,1336.22,653.6463,71506793,,,,,,,,,,,,,,,,,,,,
7,RELIANCE.NSE,2020-02-17,1339.06,1356.14,1310.64,1337.26,654.1551,51000327,1.0,1356.14,,1.0,1356.14,18.0,,,,,,,,,,,,,,
8,RELIANCE.NSE,2020-02-24,1321.74,1328.26,1191.58,1193.38,583.7725,131854177,,,,,,,,,,,,,-1.0,1310.64,1231.14,16.0,,,,
9,RELIANCE.NSE,2020-03-02,1218.64,1231.14,1116.12,1141.98,558.6288,132223573,,,,,,,,,,,,,-1.0,1191.58,1116.04,16.0,,,,
10,RELIANCE.NSE,2020-03-09,1115.18,1116.04,847.5,1004.48,491.3672,255717113,,,,,,,,,,,,,-1.0,1116.12,970.98,12.0,,,,
11,RELIANCE.NSE,2020-03-16,953.76,970.98,802.36,924.48,452.2331,233929531,,,,,,,,,,,,,,,,,,,,
12,RELIANCE.NSE,2020-03-23,823.94,1035.6,787.48,960.4,469.8043,227956193,-1.0,787.48,,,,,1.0,1035.6,787.48,885618200.0,0.0,84.89517,,,,,,,,
13,RELIANCE.NSE,2020-03-30,935.82,1020.22,917.28,978.44,478.629,145368923,,,,,,,,,,,,,,,,,,,,
14,RELIANCE.NSE,2020-04-07,991.12,1108.66,989.24,1095.12,535.7061,126723581,,,,,,,,,,,,,1.0,1027.9,1020.22,0.0,,,,
15,RELIANCE.NSE,2020-04-13,1082.72,1111.54,1027.9,1106.06,541.0576,119736779,,,,,,,,,,,,,,,,,,,,
16,RELIANCE.NSE,2020-04-20,1102.54,1344.42,1046.78,1282.22,627.2308,406634251,,,,,,,,,,,,,1.0,1251.96,1111.54,254.0,,,,
17,RELIANCE.NSE,2020-04-27,1289.6,1344.42,1251.96,1316.58,644.0389,226863079,,,,,,,,,,,,,,,,,,,,
18,RELIANCE.NSE,2020-05-04,1295.0,1420.8,1274.72,1402.42,686.0298,252120820,,,,,,,,,,,,,,,,,,,,
19,RELIANCE.NSE,2020-05-11,1420.9,1452.38,1284.72,1319.3,645.3695,319015138,,,,,,,,,,,,,,,,,,,,
20,RELIANCE.NSE,2020-05-18,1334.56,1345.44,1264.64,1300.96,636.398,219154454,,,,,,,,,,,,,,,,,,,,
21,RELIANCE.NSE,2020-05-26,1314.72,1343.4,1281.9,1334.56,652.8343,137565158,,,,,,,,,,,,,,,,,,,,
22,RELIANCE.NSE,2020-06-01,1343.64,1468.92,1339.96,1433.7,701.3312,142853760,,,,,,,,,,,,,1.0,1359.06,1343.4,252.0,,,,
23,RELIANCE.NSE,2020-06-08,1469.28,1469.28,1359.06,1442.32,705.5479,127690804,,,,,,,,,,,,,,,,,,,,
24,RELIANCE.NSE,2020-06-15,1420.8,1623.98,1417.26,1600.74,783.0431,269843052,,,,,,,,,,,,,1.0,1553.98,1469.28,26.0,,,,
25,RELIANCE.NSE,2020-06-22,1610.0,1637.96,1553.98,1588.76,777.1827,203389784,,,,,,,,,,,,,,,,,,,,
26,RELIANCE.NSE,2020-06-29,1568.82,1627.8,1539.32,1623.26,797.3473,131611268,,,,,,,,,,,,,,,,,,,,
27,RELIANCE.NSE,2020-07-06,1638.68,1710.96,1621.66,1706.96,838.4608,174069334,,,,,,,,,,,,,1.0,1632.34,1627.8,252.0,,,,
28,RELIANCE.NSE,2020-07-13,1727.98,1796.48,1632.34,1739.46,854.4249,357480228,,,,,,,,,,,,,1.0,1724.62,1710.96,44.0,,,,
29,RELIANCE.NSE,2020-07-20,1741.1,1963.7,1724.62,1950.44,958.0585,293027740,,,,,,,,,,,,,1.0,1863.66,1796.48,31.0,,,,
30,RELIANCE.NSE,2020-07-27,1978.04,1996.2,1863.66,1879.26,923.0948,328501638,1.0,1996.2,1.0,,1996.2,36.0,,,,,,,,,,,,,,
31,RELIANCE.NSE,2020-08-03,1862.3,1993.66,1815.94,1948.26,956.9877,272856716,,,,,,,,,,,,,,,,,,,,
32,RELIANCE.NSE,2020-08-10,1960.16,1965.52,1896.74,1917.4,941.8292,149627674,,,,,,,,,,,,,,,,,,,,
33,RELIANCE.NSE,2020-08-17,1911.04,1955.52,1879.36,1892.66,929.6769,132392276,,,,,,,,,,,,,,,,,,,,
34,RELIANCE.NSE,2020-08-24,1898.7,1951.9,1858.38,1921.02,943.6073,154355180,,,,,,,,,,,,,,,,,,,,
35,RELIANCE.NSE,2020-08-31,1973.68,1973.68,1870.5,1888.34,927.5549,161254568,,,,,,,,,,,,,,,,,,,,
36,RELIANCE.NSE,2020-09-07,1891.98,2128.88,1855.9,2101.7,1032.3576,280973130,-1.0,1855.9,,-1.0,1855.9,44.0,,,,,,,1.0,2066.78,1973.68,38.0,,,,
37,RELIANCE.NSE,2020-09-14,2110.78,2151.04,2066.78,2091.34,1027.2687,151463732,1.0,2151.04,,,,,,,,,,,,,,,,,,
38,RELIANCE.NSE,2020-09-21,2088.08,2120.76,1967.6,1996.24,980.5555,156554268,,,,,,,,,,,,,-1.0,2066.78,2058.12,40.0,,,,
39,RELIANCE.NSE,2020-09-28,2021.8,2058.12,2003.7,2023.66,994.0242,83773986,,,,,,,,,,,,,,,,,,,,
40,RELIANCE.NSE,2020-10-05,2037.24,2096.24,1998.78,2032.7,998.4647,120110234,,,,,,,,,,,,,,,,,,,,
41,RELIANCE.NSE,2020-10-12,2029.06,2091.7,1972.46,1977.32,971.262,97562530,,,,,,,,,,,,,,,,,,,,
42,RELIANCE.NSE,2020-10-19,1988.26,2023.34,1898.34,1917.4,941.8292,127366620,,,,,,,,,,,,,-1.0,1972.46,1908.28,55.0,,,,
43,RELIANCE.NSE,2020-10-26,1908.28,1908.28,1807.54,1874.14,920.5798,155438418,,,,,,,,,,,,,-1.0,1898.34,1852.04,45.0,,,,
44,RELIANCE.NSE,2020-11-02,1840.24,1852.04,1666.02,1838.42,903.0341,343464882,-1.0,1666.02,,,,,,,,,,,,,,,-1.0,1670.5667,56.0,252.0
45,RELIANCE.NSE,2020-11-09,1872.1,1901.96,1783.94,1817.12,892.5715,203206642,,,,,,,,,,,,,,,,,,,,
46,RELIANCE.NSE,2020-11-17,1892.88,1892.88,1720.4,1725.84,847.7347,149722034,,,,,,,,,,,,,,,,,,,,
47,RELIANCE.NSE,2020-11-23,1771.24,1809.32,1744.36,1761.7,865.3492,168057164,,,,,,,,,,,,,,,,,,,,
48,RELIANCE.NSE,2020-12-01,1761.56,1798.56,1752.22,1768.24,868.5616,81398880,,,,,,,,,,,,,,,,,,,,
49,RELIANCE.NSE,2020-12-07,1761.8,1850.22,1761.8,1815.18,891.6186,123525244,1.0,1850.22,1.0,,1850.22,55.0,,,,,,,,,,,,,,
50,RELIANCE.NSE,2020-12-14,1822.94,1829.34,1780.4,1814.0,891.039,85971630,,,,,,,,,,,,,,,,,,,,
51,RELIANCE.NSE,2020-12-21,1824.8,1835.7,1684.3,1809.32,888.7402,103887252,-1.0,1684.3,,-1.0,1684.3,56.0,,,,,,,,,,,,,,
52,RELIANCE.NSE,2020-12-28,1821.8,1832.06,1793.52,1804.82,886.5298,79999552,,,,,,,,,,,,,,,,,,,,
53,RELIANCE.NSE,2021-01-04,1811.26,1814.72,1729.6,1755.8,862.4511,142976526,,,,,,,,,,,,,-1.0,1793.52,1792.98,55.0,,,,
54,RELIANCE.NSE,2021-01-11,1760.16,1792.98,1718.12,1759.34,864.1899,132206174,,,,,,,,,,,,,,,,,,,,
55,RELIANCE.NSE,2021-01-18,1769.5,1924.66,1746.14,1859.24,913.2609,154742756,1.0,1924.66,,1.0,1924.66,61.0,,,,,,,,,,,,,,
56,RELIANCE.NSE,2021-01-25,1847.44,1847.44,1661.38,1674.96,822.7424,160931856,-1.0,1661.38,,,,,1.0,1847.44,1661.38,322406140.0,251.0,41.822006,,,,,,,,
57,RELIANCE.NSE,2021-02-01,1688.08,1772.14,1677.72,1747.0,858.1285,140136928,,,,,,,,,,,,,,,,,,,,
58,RELIANCE.NSE,2021-02-08,1754.94,1886.54,1749.72,1852.04,909.7243,124658496,,,,,,,,,,,,,1.0,1838.42,1772.14,60.0,,,,
59,RELIANCE.NSE,2021-02-15,1859.34,1914.12,1838.42,1888.34,927.5549,95074612,,,,,,,,,,,,,,,,,,,,
60,RELIANCE.NSE,2021-02-22,1888.34,1953.72,1811.14,1887.9,927.3388,122383312,,,,,,,,,,,,,,,,,,,,
61,RELIANCE.NSE,2021-03-01,1915.76,2015.36,1872.46,1974.18,969.7196,104948208,,,,,,,,,,,,,,,,,,,,
62,RELIANCE.NSE,2021-03-08,1968.7,2026.26,1928.2,1940.0,952.9303,58191102,1.0,2026.26,,,,,,,,,,,,,,,,,,
63,RELIANCE.NSE,2021-03-15,1942.86,1950.9,1800.1,1886.62,926.71,103576562,,,,,,,,,,,,,-1.0,1928.2,1915.32,74.0,,,,
64,RELIANCE.NSE,2021-03-22,1880.18,1915.32,1791.84,1810.28,889.2117,87683408,,,,,,,,,,,,,,,,,,,,
65,RELIANCE.NSE,2021-03-30,1822.98,1861.02,1808.04,1833.88,900.8041,44687794,,,,,,,,,,,,,,,,,,,,
66,RELIANCE.NSE,2021-04-05,1838.36,1858.3,1781.32,1800.7,884.506,76200750,,,,,,,,,,,,,-1.0,1808.04,1780.68,69.0,,,,
67,RELIANCE.NSE,2021-04-12,1778.5,1780.68,1725.16,1751.26,860.221,69864926,,,,,,,,,,,,,-1.0,1781.32,1742.18,69.0,,,,
68,RELIANCE.NSE,2021-04-19,1728.56,1742.18,1703.78,1727.98,848.7859,57228092,-1.0,1703.78,,,,,,,,,,,,,,,,,,
69,RELIANCE.NSE,2021-04-26,1743.08,1856.12,1735.38,1812.0,890.0566,87872446,1.0,1856.12,1.0,,1856.12,73.0,,,,,,,,,,,,,,
70,RELIANCE.NSE,2021-05-03,1784.86,1796.66,1730.92,1749.26,859.2386,78267456,,,,,,,,,,,,,,,,,,,,
71,RELIANCE.NSE,2021-05-10,1760.34,1767.42,1730.38,1758.52,863.7872,49739604,-1.0,1730.38,,,,,1.0,1767.42,1730.38,212708510.0,251.0,30.520916,,,,,,,,
72,RELIANCE.NSE,2021-05-17,1758.8,1830.66,1752.54,1815.36,891.707,57653456,,,,,,,,,,,,,1.0,1779.4,1767.42,252.0,,,,
73,RELIANCE.NSE,2021-05-24,1822.98,1911.04,1779.4,1901.46,933.9995,105315456,,,,,,,,,,,,,1.0,1892.94,1830.66,77.0,,,,
74,RELIANCE.NSE,2021-05-31,1908.32,2042.68,1892.94,1985.4,975.2309,138644742,,,,,,,,,,,,,1.0,1959.12,1911.04,77.0,,,,
75,RELIANCE.NSE,2021-06-07,1999.1,2035.42,1959.12,2011.64,991.6195,60307786,,,,,,,,,,,,,,,,,,,,
76,RELIANCE.NSE,2021-06-14,2010.9,2065.28,1979.04,2019.22,995.356,84379710,1.0,2065.28,1.0,,2065.28,87.0,,,,,,,,,,,,,,
77,RELIANCE.NSE,2021-06-21,2000.46,2052.66,1889.34,1910.58,941.8029,174012494,,,,,,,,,,,,,-1.0,1979.04,1936.38,79.0,,,,
78,RELIANCE.NSE,2021-06-28,1926.48,1936.38,1889.26,1935.14,953.9096,86581978,,,,,,,,,,,,,,,,,,,,
