index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,SBILIFE.NSE,2020-01-01,965.0,982.8,961.6,975.1,964.6548,1136233,1.0,982.8,,,,,,,,,,,,,,,,,,
1,SBILIFE.NSE,2020-01-06,966.1,1003.1,958.0,989.0,978.4059,2800304,,,,,,,,,,,,,,,,,,,,
2,SBILIFE.NSE,2020-01-13,993.0,1009.8,980.0,996.35,985.6771,2072651,,,,,,,,,,,,,,,,,,,,
3,SBILIFE.NSE,2020-01-20,1000.0,1020.0,970.2,999.8,989.0902,4536256,,,,,,,,,,,,,,,,,,,,
4,SBILIFE.NSE,2020-01-27,999.8,1017.0,975.75,994.1,983.4512,2863650,,,,,,,,,,,,,-1.0,970.2,955.45,6.0,,,,
5,SBILIFE.NSE,2020-02-03,895.0,955.45,856.65,947.3,937.1525,10216977,,,,,,,,,,,,,,,,,,,,
6,SBILIFE.NSE,2020-02-10,952.0,960.45,907.0,914.25,904.4566,3198549,,,,,,,,,,,,,,,,,,,,
7,SBILIFE.NSE,2020-02-17,915.5,945.0,904.0,928.75,918.8013,2828615,,,,,,,,,,,,,,,,,,,,
8,SBILIFE.NSE,2020-02-24,923.6,941.5,875.0,890.4,880.8621,3884711,,,,,,,,,,,,,,,,,,,,
9,SBILIFE.NSE,2020-03-02,895.15,914.0,848.3,853.95,844.8025,4465086,,,,,,,,,,,,,-1.0,875.0,861.9,27.0,,,,
10,SBILIFE.NSE,2020-03-09,836.2,861.9,625.1,761.95,753.788,6919348,,,,,,,,,,,,,-1.0,848.3,772.85,14.0,,,,
