index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,SBIN.NSE,2020-01-01,334.7,339.85,332.0,334.0,308.1963,59556764,1.0,339.85,,,,,,,,,,,,,,,,,,
1,SBIN.NSE,2020-01-06,331.7,337.95,311.0,332.45,306.766,213865881,,,,,,,,,,,,,,,,,,,,
2,SBIN.NSE,2020-01-13,334.0,335.45,310.1,318.0,293.4324,167586935,,,,,,,,,,,,,,,,,,,,
3,SBIN.NSE,2020-01-20,321.0,327.3,312.0,324.3,299.2457,142270074,,,,,,,,,,,,,,,,,,,,
4,SBIN.NSE,2020-01-27,320.9,322.65,296.3,302.8,279.4067,264012599,,,,,,,,,,,,,,,,,,,,
5,SBIN.NSE,2020-02-03,303.0,325.0,295.35,319.8,295.0933,237101025,-1.0,295.35,-1.0,,295.35,9.0,,,,,,,,,,,,,,
6,SBIN.NSE,2020-02-10,319.8,331.9,316.5,319.9,295.1856,204658006,1.0,331.9,,,,,-1.0,331.9,316.5,848117400.0,57.0,22.457506,,,,,,,,
7,SBIN.NSE,2020-02-17,320.95,329.2,309.4,327.9,302.5675,155536411,,,,,,,,,,,,,,,,,,,,
8,SBIN.NSE,2020-02-24,325.75,331.3,301.1,304.6,281.0676,234955312,,,,,,,,,,,,,,,,,,,,
9,SBIN.NSE,2020-03-02,311.0,312.0,253.95,269.8,248.9561,457625676,,,,,,,,,,,,,-1.0,301.1,262.75,48.0,,,,
10,SBIN.NSE,2020-03-09,260.05,262.75,184.65,244.25,225.3801,447615326,,,,,,,,,,,,,-1.0,253.95,231.4,35.0,,,,
11,SBIN.NSE,2020-03-16,227.9,231.4,198.15,208.85,192.7149,413333747,,,,,,,,,,,,,,,,,,,,
12,SBIN.NSE,2020-03-23,190.0,211.9,173.55,195.15,180.0734,422819674,,,,,,,,,,,,,,,,,,,,
13,SBIN.NSE,2020-03-30,190.0,198.5,175.0,176.0,162.4028,237037562,,,,,,,,,,,,,,,,,,,,
14,SBIN.NSE,2020-04-07,184.4,194.4,177.6,187.55,173.0605,214987691,,,,,,,,,,,,,,,,,,,,
15,SBIN.NSE,2020-04-13,186.8,198.0,180.15,192.9,177.9972,275061918,,,,,,,,,,,,,,,,,,,,
16,SBIN.NSE,2020-04-20,194.0,197.35,179.0,180.15,166.2322,312613314,,,,,,,,,,,,,,,,,,,,
17,SBIN.NSE,2020-04-27,183.5,195.9,180.5,190.2,175.5058,213133349,,,,,,,,,,,,,,,,,,,,
18,SBIN.NSE,2020-05-04,182.45,183.5,166.1,166.9,154.0059,321209784,,,,,,,,,,,,,-1.0,180.5,178.55,22.0,,,,
19,SBIN.NSE,2020-05-11,167.95,178.55,160.85,166.45,153.5906,290704879,,,,,,,,,,,,,,,,,,,,
20,SBIN.NSE,2020-05-18,166.4,166.4,149.45,151.1,139.4265,363272084,-1.0,149.45,,,,,,,,,,,,,,,,,,
21,SBIN.NSE,2020-05-26,152.4,162.4,150.2,161.3,148.8385,271826311,,,,,,,,,,,,,,,,,,,,
22,SBIN.NSE,2020-06-01,164.0,189.8,163.35,189.25,174.6292,561158147,,,,,,,,,,,,,1.0,169.8,162.4,24.0,,,,
23,SBIN.NSE,2020-06-08,197.0,197.5,169.8,178.85,165.0326,500234048,,,,,,,,,,,,,,,,,,,,
24,SBIN.NSE,2020-06-15,177.85,184.95,169.25,184.25,170.0155,336574613,,,,,,,,,,,,,,,,,,,,
25,SBIN.NSE,2020-06-22,185.0,194.9,180.4,184.65,170.3846,342988257,,,,,,,,,,,,,,,,,,,,
26,SBIN.NSE,2020-06-29,183.0,188.0,177.25,184.65,170.3846,238777515,,,,,,,,,,,,,,,,,,,,
27,SBIN.NSE,2020-07-06,186.6,202.5,184.05,195.5,180.3963,442948792,,,,,,,,,,,,,,,,,,,,
28,SBIN.NSE,2020-07-13,198.8,199.8,181.65,189.5,174.8599,276309010,,,,,,,,,,,,,,,,,,,,
29,SBIN.NSE,2020-07-20,190.0,199.1,188.75,191.95,177.1206,303311965,,,,,,,,,,,,,,,,,,,,
30,SBIN.NSE,2020-07-27,193.0,195.25,185.75,191.05,176.2901,370353470,,,,,,,,,,,,,,,,,,,,
31,SBIN.NSE,2020-08-03,192.0,196.85,189.55,190.85,176.1056,289776790,,,,,,,,,,,,,,,,,,,,
32,SBIN.NSE,2020-08-10,191.85,207.3,191.7,196.8,181.5959,377117630,,,,,,,,,,,,,,,,,,,,
33,SBIN.NSE,2020-08-17,198.45,201.5,191.5,198.1,182.7955,265939231,,,,,,,,,,,,,,,,,,,,
34,SBIN.NSE,2020-08-24,200.0,225.9,198.6,225.4,207.9863,402997907,,,,,,,,,,,,,1.0,205.9,201.5,36.0,,,,
35,SBIN.NSE,2020-08-31,231.55,231.55,205.9,207.5,191.4692,335679019,1.0,231.55,1.0,,231.55,46.0,,,,,,,,,,,,,,
36,SBIN.NSE,2020-09-07,207.5,209.65,192.5,203.7,187.9628,258830109,,,,,,,,,,,,,,,,,,,,
37,SBIN.NSE,2020-09-14,205.9,206.2,189.7,192.95,178.0433,264289169,,,,,,,,,,,,,,,,,,,,
38,SBIN.NSE,2020-09-21,193.05,193.5,175.5,182.25,168.17,245819030,-1.0,175.5,,,,,1.0,193.5,175.5,1242988400.0,0.0,56.992634,,,,,,,,
39,SBIN.NSE,2020-09-28,184.0,191.2,182.4,190.2,175.5058,158841941,,,,,,,,,,,,,,,,,,,,
40,SBIN.NSE,2020-10-05,192.0,198.8,187.05,198.55,183.2107,215632768,,,,,,,,,,,,,1.0,191.6,191.2,43.0,,,,
41,SBIN.NSE,2020-10-12,199.7,205.95,191.6,195.7,180.5809,230705428,,,,,,,,,,,,,,,,,,,,
42,SBIN.NSE,2020-10-19,196.2,207.3,196.05,202.45,186.8094,220487195,,,,,,,,,,,,,,,,,,,,
43,SBIN.NSE,2020-10-26,202.7,204.0,185.9,189.9,175.229,216079615,,,,,,,,,,,,,,,,,,,,
44,SBIN.NSE,2020-11-02,192.2,221.85,190.05,218.1,201.2503,451238907,,,,,,,,,,,,,1.0,217.05,204.0,0.0,,,,
45,SBIN.NSE,2020-11-09,222.5,239.35,217.05,228.05,210.4316,440038518,,,,,,,,,,,,,1.0,231.0,221.85,0.0,,,,
46,SBIN.NSE,2020-11-17,231.85,253.0,231.0,242.0,223.3039,351711050,,,,,,,,,,,,,,,,,,,,
47,SBIN.NSE,2020-11-23,243.5,249.9,238.1,244.2,225.3339,298546188,,,,,,,,,,,,,,,,,,,,
48,SBIN.NSE,2020-12-01,245.0,264.35,244.1,264.05,243.6504,252244821,,,,,,,,,,,,,1.0,263.0,249.9,51.0,,,,
49,SBIN.NSE,2020-12-07,263.8,276.25,263.0,272.5,251.4476,279098107,,,,,,,,,,,,,1.0,265.0,264.35,51.0,,,,
50,SBIN.NSE,2020-12-14,274.0,276.15,265.0,271.35,250.3864,147402530,,,,,,,,,,,,,,,,,,,,
51,SBIN.NSE,2020-12-21,268.45,269.0,248.25,266.85,246.2341,163992242,,,,,,,,,,,,,,,,,,,,
52,SBIN.NSE,2020-12-28,268.75,280.0,268.0,279.05,257.4915,166874419,,,,,,,,,,,,,1.0,277.0,269.0,56.0,,,,
53,SBIN.NSE,2021-01-04,281.85,291.8,277.0,285.9,263.8123,162699345,,,,,,,,,,,,,,,,,,,,
54,SBIN.NSE,2021-01-11,288.0,310.9,277.9,303.95,280.4678,227483550,,,,,,,,,,,,,,,,,,,,
55,SBIN.NSE,2021-01-18,303.5,308.65,282.4,284.4,262.4282,198968968,,,,,,,,,,,,,,,,,,,,
56,SBIN.NSE,2021-01-25,284.5,290.65,269.5,281.75,259.9829,164264018,,,,,,,,,,,,,,,,,,,,
57,SBIN.NSE,2021-02-01,285.1,408.35,282.75,395.0,364.4836,651427529,,,,,,,,,,,,,1.0,385.55,290.65,61.0,,,,
58,SBIN.NSE,2021-02-08,398.0,407.8,385.55,392.95,362.592,287405165,,,,,,,,,,,,,,,,,,,,
59,SBIN.NSE,2021-02-15,397.5,427.7,395.0,400.6,369.651,344445795,1.0,427.7,1.0,,427.7,74.0,,,,,,,,,,,,,,
60,SBIN.NSE,2021-02-22,400.6,414.9,385.65,391.25,361.0233,249069157,,,,,,,,,,,,,,,,,,,,
61,SBIN.NSE,2021-03-01,395.1,408.9,378.1,385.35,355.5791,222263331,,,,,,,,,,,,,,,,,,,,
62,SBIN.NSE,2021-03-08,388.45,394.9,377.5,381.1,351.6575,125215695,,,,,,,,,,,,,,,,,,,,
63,SBIN.NSE,2021-03-15,382.5,387.85,357.25,372.4,343.6296,213776675,,,,,,,,,,,,,,,,,,,,
64,SBIN.NSE,2021-03-22,372.0,377.95,345.2,358.5,330.8035,210027204,,,,,,,,,,,,,,,,,,,,
65,SBIN.NSE,2021-03-30,360.1,371.9,356.3,370.95,342.2916,109941974,,,,,,,,,,,,,,,,,,,,
66,SBIN.NSE,2021-04-05,367.5,369.2,347.6,352.95,325.6823,223758651,,,,,,,,,,,,,-1.0,356.3,347.55,69.0,,,,
67,SBIN.NSE,2021-04-12,344.0,347.55,322.55,339.55,313.3175,216034215,,,,,,,,,,,,,-1.0,347.6,339.9,69.0,,,,
68,SBIN.NSE,2021-04-19,327.15,339.9,321.3,335.4,309.4881,187930297,-1.0,321.3,,,,,1.0,339.9,321.3,1063329400.0,0.0,76.64543,,,,,,,,
69,SBIN.NSE,2021-04-26,339.25,369.95,339.25,352.3,325.0825,269460029,,,,,,,,,,,,,1.0,341.4,339.9,0.0,,,,
70,SBIN.NSE,2021-05-03,349.6,362.9,341.4,358.0,330.3421,216965713,,,,,,,,,,,,,,,,,,,,
71,SBIN.NSE,2021-05-10,360.5,373.5,354.75,360.6,332.7412,188790854,,,,,,,,,,,,,1.0,363.65,362.9,0.0,,,,
72,SBIN.NSE,2021-05-17,364.4,404.4,363.65,404.0,372.7883,461372459,,,,,,,,,,,,,1.0,405.3,373.5,76.0,,,,
73,SBIN.NSE,2021-05-24,417.0,433.65,405.3,422.0,389.3977,389900463,,,,,,,,,,,,,1.0,418.0,404.4,76.0,,,,
74,SBIN.NSE,2021-05-31,421.0,441.95,418.0,434.3,404.4478,212056464,1.0,441.95,1.0,,441.95,89.0,,,,,,,,,,,,,,
75,SBIN.NSE,2021-06-07,435.1,437.4,418.2,429.4,399.8846,133329490,,,,,,,,,,,,,,,,,,,,
76,SBIN.NSE,2021-06-14,427.0,432.8,402.65,414.5,386.0088,135017906,,,,,,,,,,,,,,,,,,,,
77,SBIN.NSE,2021-06-21,406.35,431.0,400.5,428.65,399.1861,138238116,-1.0,400.5,,,,,,,,,,,,,,,-1.0,400.875,86.0,0.0
78,SBIN.NSE,2021-06-28,430.7,433.15,417.15,424.8,395.6008,102569674,,,,,,,,,,,,,,,,,,,,
79,SBIN.NSE,2021-07-05,426.5,436.5,421.05,423.8,394.6695,89430350,,,,,,,,,,,,,,,,,,,,
80,SBIN.NSE,2021-07-12,426.5,432.95,424.6,430.6,401.0021,58229852,,,,,,,,,,,,,,,,,,,,
81,SBIN.NSE,2021-07-19,423.4,429.95,418.85,428.5,399.0464,58554429,,,,,,,,,,,,,,,,,,,,
82,SBIN.NSE,2021-07-26,427.8,444.4,421.05,432.2,402.4921,126254072,,,,,,,,,,,,,1.0,431.8,429.95,84.0,,,,
83,SBIN.NSE,2021-08-02,434.75,467.45,431.8,437.2,407.1484,284441850,1.0,467.45,1.0,,467.45,93.0,,,,,,,,,,,,,,
84,SBIN.NSE,2021-08-09,437.9,441.8,421.7,430.75,401.1418,111574737,,,,,,,,,,,,,,,,,,,,
85,SBIN.NSE,2021-08-16,430.0,434.0,405.15,406.0,378.093,83776934,,,,,,,,,,,,,-1.0,421.7,421.3,87.0,,,,
86,SBIN.NSE,2021-08-23,411.1,421.3,401.25,411.5,383.215,92971450,-1.0,401.25,,,,,1.0,421.3,401.25,284749900.0,0.0,63.82052,,,,,,,,
87,SBIN.NSE,2021-08-30,414.4,434.3,413.5,430.65,401.0487,93954174,,,,,,,,,,,,,1.0,425.1,421.3,114.0,,,,
88,SBIN.NSE,2021-09-06,432.0,435.4,425.1,432.2,402.4921,58102426,,,,,,,,,,,,,,,,,,,,
89,SBIN.NSE,2021-09-13,430.1,471.9,428.8,453.25,422.0952,125897977,,,,,,,,,,,,,,,,,,,,
90,SBIN.NSE,2021-09-20,449.4,453.5,432.65,440.65,410.3613,81225691,,,,,,,,,,,,,,,,,,,,
91,SBIN.NSE,2021-09-27,444.9,464.9,439.1,452.0,420.9311,110931678,,,,,,,,,,,,,,,,,,,,
92,SBIN.NSE,2021-10-04,453.8,471.0,451.6,460.05,428.4278,78296802,,,,,,,,,,,,,,,,,,,,
93,SBIN.NSE,2021-10-11,460.0,493.9,458.65,489.0,455.3879,95521399,,,,,,,,,,,,,1.0,483.1,471.0,99.0,,,,
94,SBIN.NSE,2021-10-18,494.0,508.7,483.1,502.5,467.9599,119698621,,,,,,,,,,,,,,,,,,,,
95,SBIN.NSE,2021-10-25,506.5,526.85,488.4,504.0,469.3568,145686198,,,,,,,,,,,,,,,,,,,,
96,SBIN.NSE,2021-11-01,508.5,542.3,501.0,530.8,494.3147,138049394,1.0,542.3,,,,140.0,,,,,,,,,,,1.0,545.9,135.0,140.0
97,SBIN.NSE,2021-11-08,534.45,534.45,502.7,510.95,475.8291,120982734,,,,,,,,,,,,,,,,,,,,
98,SBIN.NSE,2021-11-15,512.4,515.9,491.0,503.35,468.7515,75840952,,,,,,,,,,,,,,,,,,,,
99,SBIN.NSE,2021-11-22,506.0,506.0,467.1,470.0,437.6939,101964437,,,,,,,,,,,,,-1.0,491.0,481.5,101.0,,,,
100,SBIN.NSE,2021-11-29,470.0,481.5,454.3,471.95,439.5098,92207745,,,,,,,,,,,,,,,,,,,,
101,SBIN.NSE,2021-12-06,473.15,495.95,463.8,494.8,460.7892,74218280,,,,,,,,,,,,,,,,,,,,
102,SBIN.NSE,2021-12-13,497.75,500.45,466.5,468.3,436.1107,58086311,,,,,,,,,,,,,,,,,,,,
103,SBIN.NSE,2021-12-20,459.0,465.0,443.0,457.25,425.8203,79748650,-1.0,443.0,,-1.0,443.0,123.0,,,,,,,-1.0,466.5,462.9,105.0,,,,
104,SBIN.NSE,2021-12-27,453.7,462.9,448.5,460.2,428.5675,68331027,,,,,,,,,,,,,,,,,,,,
105,SBIN.NSE,2022-01-03,462.0,501.95,460.1,491.25,457.4832,102052522,,,,,,,,,,,,,1.0,492.5,462.9,108.0,,,,
106,SBIN.NSE,2022-01-10,493.35,513.5,492.5,507.75,472.8491,65605388,,,,,,,,,,,,,,,,,,,,
107,SBIN.NSE,2022-01-17,508.0,519.15,498.0,502.7,468.1462,80766757,,,,,,,,,,,,,,,,,,,,
108,SBIN.NSE,2022-01-24,502.4,536.4,488.0,523.3,487.3302,102150152,,,,,,,,,,,,,1.0,520.0,519.15,110.0,,,,
109,SBIN.NSE,2022-01-31,529.0,546.4,520.0,529.45,493.0575,130632023,,,,,,,,,,,,,,,,,,,,
110,SBIN.NSE,2022-02-07,531.9,549.0,519.0,528.25,491.94,126979711,1.0,549.0,,,,,,,,,,,,,,,,,,
111,SBIN.NSE,2022-02-14,515.0,528.0,497.1,515.0,479.6007,101289669,,,,,,,,,,,,,,,,,,,,
