index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,SHREECEM.NSE,2020-01-01,20375.0,21398.95,20287.05,21122.25,20656.8022,55720,-1.0,20287.05,,,,,,,,,,,,,,,,,,
1,SHREECEM.NSE,2020-01-06,21124.8,23409.5,20591.4,23345.4,22830.963,259817,,,,,,,,,,,,,1.0,23065.65,21398.95,3.0,,,,
2,SHREECEM.NSE,2020-01-13,23270.0,24263.05,23065.65,23325.9,22811.8927,193793,,,,,,,,,,,,,,,,,,,,
3,SHREECEM.NSE,2020-01-20,23333.2,23508.8,22831.55,23134.65,22624.8571,130576,,,,,,,,,,,,,,,,,,,,
4,SHREECEM.NSE,2020-01-27,23099.9,23990.0,22827.65,23006.9,22499.9222,106938,,,,,,,,,,,,,,,,,,,,
5,SHREECEM.NSE,2020-02-03,22416.1,25355.0,22410.05,24918.15,24369.0561,181812,1.0,25355.0,,,,,,,,,,,1.0,24178.65,23990.0,7.0,,,,
6,SHREECEM.NSE,2020-02-10,25000.0,25240.45,24178.65,24433.6,23895.1836,118208,,,,,,,,,,,,,,,,,,,,
7,SHREECEM.NSE,2020-02-17,24320.0,25199.9,23300.75,24407.4,23869.5609,242994,,,,,,,,,,,,,,,,,,,,
8,SHREECEM.NSE,2020-02-24,24100.0,24576.1,22463.95,22670.95,22274.1866,273687,,,,,,,,,,,,,,,,,,,,
9,SHREECEM.NSE,2020-03-02,22810.0,23896.5,22502.0,23110.45,22705.9949,209009,,,,,,,,,,,,,,,,,,,,
10,SHREECEM.NSE,2020-03-09,23000.5,23000.95,18250.5,21308.2,20935.286,260393,,,,,,,,,,,,,-1.0,22502.0,21388.0,22.0,,,,
11,SHREECEM.NSE,2020-03-16,20405.0,21388.0,16399.9,18903.65,18572.8179,873690,,,,,,,,,,,,,,,,,,,,
