index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,SIEMENS.NSE,2020-01-01,778.98,790.54,773.2,785.9,755.9265,815201,1.0,790.54,,,,,,,,,,,,,,,,,,
1,SIEMENS.NSE,2020-01-06,775.55,797.35,759.65,784.13,754.224,1580986,,,,,,,,,,,,,,,,,,,,
2,SIEMENS.NSE,2020-01-13,786.94,831.55,775.26,825.46,793.9778,2846909,,,,,,,,,,,,,1.0,814.79,797.35,4.0,,,,
3,SIEMENS.NSE,2020-01-20,830.09,847.27,814.79,846.28,814.0037,2301702,,,,,,,,,,,,,,,,,,,,
4,SIEMENS.NSE,2020-01-27,847.84,853.04,728.24,739.92,711.7002,3324989,,,,,,,,,,,,,-1.0,814.79,791.63,6.0,,,,
5,SIEMENS.NSE,2020-02-03,738.88,791.63,736.72,783.82,760.7515,1481293,,,,,,,,,,,,,,,,,,,,
6,SIEMENS.NSE,2020-02-10,783.82,792.15,725.01,726.05,704.6818,4543782,,,,,,,,,,,,,,,,,,,,
7,SIEMENS.NSE,2020-02-17,732.06,744.4,708.93,734.79,713.1645,1394975,,,,,,,,,,,,,,,,,,,,
8,SIEMENS.NSE,2020-02-24,731.25,738.67,669.55,679.73,659.725,2832289,,,,,,,,,,,,,,,,,,,,
9,SIEMENS.NSE,2020-03-02,687.02,712.52,671.69,695.86,675.3803,2303272,,,,,,,,,,,,,,,,,,,,
10,SIEMENS.NSE,2020-03-09,684.31,686.99,522.16,640.17,621.3293,2737621,,,,,,,,,,,,,-1.0,671.69,628.62,15.0,,,,
11,SIEMENS.NSE,2020-03-16,606.34,628.62,542.01,606.34,588.4949,2588638,,,,,,,,,,,,,,,,,,,,
12,SIEMENS.NSE,2020-03-23,564.71,607.28,493.35,552.03,535.7833,1675330,-1.0,493.35,,,,,,,,,,,,,,,-1.0,513.0133,24.0,0.0
13,SIEMENS.NSE,2020-03-30,540.48,594.89,531.21,549.09,532.9298,1776687,,,,,,,,,,,,,,,,,,,,
14,SIEMENS.NSE,2020-04-07,568.35,614.15,557.21,603.74,585.9714,1095621,,,,,,,,,,,,,,,,,,,,
15,SIEMENS.NSE,2020-04-13,608.95,652.38,585.52,622.48,604.1599,2520803,1.0,652.38,,,,,,,,,,,,,,,1.0,664.68,37.0,44.0
16,SIEMENS.NSE,2020-04-20,628.46,630.8,577.72,600.62,582.9433,2986018,,,,,,,,,,,,,,,,,,,,
17,SIEMENS.NSE,2020-04-27,604.26,618.7,579.33,591.77,574.3537,1951131,,,,,,,,,,,,,,,,,,,,
18,SIEMENS.NSE,2020-05-04,577.72,584.35,539.31,542.33,526.3688,2249163,,,,,,,,,,,,,-1.0,579.33,567.02,21.0,,,,
19,SIEMENS.NSE,2020-05-11,549.82,567.02,515.94,564.63,548.0125,4587802,,,,,,,,,,,,,,,,,,,,
20,SIEMENS.NSE,2020-05-18,564.63,564.71,515.26,527.86,512.3247,3583508,-1.0,515.26,,,,,,,,,,,,,,,,,,
21,SIEMENS.NSE,2020-05-26,530.88,571.89,525.93,571.08,554.2727,3180937,,,,,,,,,,,,,1.0,573.4,564.71,23.0,,,,
22,SIEMENS.NSE,2020-06-01,575.11,607.9,573.4,598.54,580.9245,3985721,,,,,,,,,,,,,,,,,,,,
23,SIEMENS.NSE,2020-06-08,608.74,611.42,533.66,554.3,537.9865,2250955,1.0,611.42,1.0,,611.42,32.0,,,,,,,-1.0,573.4,562.1,25.0,,,,
24,SIEMENS.NSE,2020-06-15,554.14,562.1,530.43,555.36,539.0153,2822016,-1.0,530.43,,,,,1.0,562.1,530.43,14936452.0,0.0,25.449272,,,,,,,,
25,SIEMENS.NSE,2020-06-22,555.34,589.17,555.34,580.84,563.7454,2893431,,,,,,,,,,,,,1.0,563.38,562.1,0.0,,,,
26,SIEMENS.NSE,2020-06-29,580.27,600.46,563.38,597.23,579.653,3726241,,,,,,,,,,,,,,,,,,,,
27,SIEMENS.NSE,2020-07-06,611.44,618.31,588.41,591.04,573.6452,5985162,,,,,,,,,,,,,,,,,,,,
28,SIEMENS.NSE,2020-07-13,595.1,609.99,583.81,602.57,584.8359,3745283,,,,,,,,,,,,,,,,,,,,
29,SIEMENS.NSE,2020-07-20,606.03,623.75,597.49,602.7,584.9621,3606801,,,,,,,,,,,,,,,,,,,,
30,SIEMENS.NSE,2020-07-27,601.74,606.34,581.93,605.51,587.6894,3030084,,,,,,,,,,,,,,,,,,,,
31,SIEMENS.NSE,2020-08-03,606.29,616.6,594.42,601.03,583.3412,2847055,,,,,,,,,,,,,,,,,,,,
32,SIEMENS.NSE,2020-08-10,594.89,658.91,583.34,630.8,612.235,9059313,1.0,658.91,1.0,,658.91,40.0,,,,,,,1.0,628.44,616.6,35.0,,,,
33,SIEMENS.NSE,2020-08-17,636.89,652.46,628.44,643.97,625.0174,4111335,,,,,,,,,,,,,,,,,,,,
34,SIEMENS.NSE,2020-08-24,647.28,657.35,630.93,635.23,616.5347,2794972,,,,,,,,,,,,,,,,,,,,
35,SIEMENS.NSE,2020-08-31,637.57,642.44,594.71,637.34,618.5826,3653684,-1.0,594.71,,,,,,,,,,,,,,,,,,
36,SIEMENS.NSE,2020-09-07,634.97,642.18,611.94,636.27,617.5441,2164616,,,,,,,,,,,,,,,,,,,,
37,SIEMENS.NSE,2020-09-14,642.78,682.75,632.47,654.77,635.4996,5659436,1.0,682.75,,,,,,,,,,,,,,,,,,
38,SIEMENS.NSE,2020-09-21,654.46,655.74,617.25,628.2,609.7116,3105828,,,,,,,1.0,655.74,617.25,7374586.0,0.0,45.63666,,,,,,,,
39,SIEMENS.NSE,2020-09-28,633.56,668.8,630.73,655.45,636.1596,2267223,,,,,,,,,,,,,1.0,655.79,655.74,41.0,,,,
40,SIEMENS.NSE,2020-10-05,660.37,676.09,655.79,668.1,648.4373,2671370,,,,,,,,,,,,,,,,,,,,
41,SIEMENS.NSE,2020-10-12,667.0,670.49,632.83,658.81,639.4207,2690571,,,,,,,,,,,,,,,,,,,,
42,SIEMENS.NSE,2020-10-19,660.99,679.16,654.07,666.2,646.5932,2310898,,,,,,,,,,,,,,,,,,,,
43,SIEMENS.NSE,2020-10-26,667.73,683.87,650.06,659.82,640.401,2924855,,,,,,,,,,,,,,,,,,,,
44,SIEMENS.NSE,2020-11-02,660.99,704.5,656.67,691.54,671.1874,2138833,,,,,,,,,,,,,1.0,690.63,683.87,0.0,,,,
45,SIEMENS.NSE,2020-11-09,691.18,735.94,690.63,710.62,689.7059,2587808,,,,,,,,,,,,,1.0,710.72,704.5,47.0,,,,
46,SIEMENS.NSE,2020-11-17,718.24,751.55,710.72,740.1,718.3183,2007795,,,,,,,,,,,,,,,,,,,,
47,SIEMENS.NSE,2020-11-23,745.46,798.81,706.79,787.88,764.6921,13914427,,,,,,,,,,,,,1.0,775.57,751.55,51.0,,,,
48,SIEMENS.NSE,2020-12-01,781.17,809.32,775.57,793.71,770.3505,2872439,,,,,,,,,,,,,,,,,,,,
49,SIEMENS.NSE,2020-12-07,795.53,826.99,790.35,799.12,775.6013,2687886,,,,,,,,,,,,,,,,,,,,
50,SIEMENS.NSE,2020-12-14,802.04,813.49,790.15,799.44,775.9118,2061969,,,,,,,,,,,,,,,,,,,,
51,SIEMENS.NSE,2020-12-21,802.97,816.61,750.07,806.72,782.9776,2141651,-1.0,750.07,,,,,,,,,,,,,,,,,,
52,SIEMENS.NSE,2020-12-28,808.02,843.26,801.62,833.34,808.8141,2008159,,,,,,,,,,,,,1.0,824.94,816.61,56.0,,,,
53,SIEMENS.NSE,2021-01-04,835.3,866.58,824.94,856.17,830.9722,1946576,,,,,,,,,,,,,,,,,,,,
54,SIEMENS.NSE,2021-01-11,861.32,870.74,837.17,840.03,815.3072,1336410,,,,,,,,,,,,,,,,,,,,
55,SIEMENS.NSE,2021-01-18,845.76,901.89,826.34,864.81,839.3579,2751375,,,,,,,,,,,,,,,,,,,,
56,SIEMENS.NSE,2021-01-25,866.84,889.48,818.61,827.8,810.1969,1297349,,,,,,,,,,,,,,,,,,,,
57,SIEMENS.NSE,2021-02-01,828.84,977.44,814.53,955.06,934.7508,3480771,,,,,,,,,,,,,1.0,947.27,889.48,59.0,,,,
58,SIEMENS.NSE,2021-02-08,956.38,988.89,947.27,947.27,927.1264,1536448,,,,,,,,,,,,,,,,,,,,
59,SIEMENS.NSE,2021-02-15,967.29,994.09,944.65,955.58,935.2597,2635018,,,,,,,,,,,,,,,,,,,,
60,SIEMENS.NSE,2021-02-22,955.58,1014.39,935.67,961.82,941.367,3191615,,,,,,,,,,,,,,,,,,,,
61,SIEMENS.NSE,2021-03-01,970.33,1021.15,961.9,992.01,970.915,1652179,,,,,,,,,,,,,,,,,,,,
62,SIEMENS.NSE,2021-03-08,993.57,1024.15,981.08,998.23,977.0028,1198459,1.0,1024.15,1.0,,1024.15,71.0,,,,,,,,,,,,,,
63,SIEMENS.NSE,2021-03-15,1001.64,1001.64,915.01,961.82,941.367,1971732,,,,,,,,,,,,,-1.0,981.08,976.91,66.0,,,,
64,SIEMENS.NSE,2021-03-22,962.86,976.91,925.15,947.25,927.1069,1865746,,,,,,,,,,,,,,,,,,,,
65,SIEMENS.NSE,2021-03-30,949.43,971.58,944.75,963.36,942.8743,522490,,,,,,,,,,,,,,,,,,,,
66,SIEMENS.NSE,2021-04-05,965.36,995.13,925.18,961.56,941.1126,2200538,,,,,,,,,,,,,,,,,,,,
67,SIEMENS.NSE,2021-04-12,941.58,974.94,894.06,958.2,937.824,1810784,-1.0,894.06,,,,,1.0,974.94,894.06,9231630.0,0.0,19.425028,,,,,,,,
68,SIEMENS.NSE,2021-04-19,932.23,952.35,921.35,939.44,919.4629,990492,,,,,,,,,,,,,,,,,,,,
69,SIEMENS.NSE,2021-04-26,939.96,998.25,937.33,976.78,956.0089,1501567,,,,,,,,,,,,,,,,,,,,
70,SIEMENS.NSE,2021-05-03,968.59,994.09,952.22,964.61,944.0977,1011269,,,,,,,,,,,,,,,,,,,,
71,SIEMENS.NSE,2021-05-10,970.67,1115.62,965.46,1033.91,1011.924,6718794,,,,,,,,,,,,,1.0,1022.79,994.09,76.0,,,,
72,SIEMENS.NSE,2021-05-17,1041.97,1083.61,1022.79,1031.56,1009.624,1985972,,,,,,,,,,,,,,,,,,,,
73,SIEMENS.NSE,2021-05-24,1035.73,1079.94,1027.92,1061.33,1038.761,2116733,,,,,,,,,,,,,,,,,,,,
74,SIEMENS.NSE,2021-05-31,1061.75,1133.57,1056.55,1101.83,1078.3997,3092997,1.0,1133.57,1.0,,1133.57,84.0,,,,,,,,,,,,,,
75,SIEMENS.NSE,2021-06-07,1110.15,1119.0,1077.94,1091.99,1068.769,1775890,,,,,,,,,,,,,,,,,,,,
76,SIEMENS.NSE,2021-06-14,1092.98,1099.41,1020.48,1054.72,1032.2915,1218374,,,,,,,,,,,,,,,,,,,,
77,SIEMENS.NSE,2021-06-21,1046.14,1091.94,1025.4,1047.93,1025.6459,2258801,,,,,,,,,,,,,,,,,,,,
78,SIEMENS.NSE,2021-06-28,1049.52,1064.35,1031.1,1052.95,1030.5592,1582076,,,,,,,,,,,,,,,,,,,,
79,SIEMENS.NSE,2021-07-05,1057.01,1069.56,1037.29,1042.31,1020.1454,1104627,,,,,,,,,,,,,,,,,,,,
80,SIEMENS.NSE,2021-07-12,1047.78,1072.06,1038.07,1047.44,1025.1663,2197175,,,,,,,,,,,,,,,,,,,,
81,SIEMENS.NSE,2021-07-19,1045.41,1045.41,1001.38,1026.52,1004.6912,1408297,,,,,,,,,,,,,-1.0,1038.07,1035.68,83.0,,,,
82,SIEMENS.NSE,2021-07-26,1028.44,1035.68,999.29,1014.57,992.9953,1455595,-1.0,999.29,,,,,1.0,1035.68,999.29,11385272.0,0.0,14.659037,,,,,,,,
83,SIEMENS.NSE,2021-08-02,1021.05,1090.38,1013.56,1087.77,1064.6387,2060313,,,,,,,,,,,,,,,,,,,,
84,SIEMENS.NSE,2021-08-09,1092.35,1184.01,1025.32,1168.65,1143.7988,7869364,,,,,,,,,,,,,1.0,1136.8,1090.38,86.0,,,,
85,SIEMENS.NSE,2021-08-16,1168.32,1195.93,1136.8,1147.19,1122.7952,1495183,,,,,,,,,,,,,,,,,,,,
86,SIEMENS.NSE,2021-08-23,1158.32,1171.05,1118.82,1157.0,1132.3966,1686701,,,,,,,,,,,,,,,,,,,,
87,SIEMENS.NSE,2021-08-30,1165.84,1206.44,1159.0,1182.45,1157.3054,1292769,1.0,1206.44,1.0,,1206.44,97.0,,,,,,,,,,,,,,
88,SIEMENS.NSE,2021-09-06,1183.54,1188.74,1130.97,1162.2,1137.486,1112487,,,,,,,,,,,,,,,,,,,,
89,SIEMENS.NSE,2021-09-13,1160.64,1171.49,1124.34,1135.97,1111.8138,744859,,,,,,,,,,,,,,,,,,,,
90,SIEMENS.NSE,2021-09-20,1134.62,1145.96,1096.52,1103.73,1080.2593,933441,,,,,,,,,,,,,-1.0,1124.34,1122.65,92.0,,,,
91,SIEMENS.NSE,2021-09-27,1103.65,1122.65,1078.41,1119.0,1095.2046,1183652,-1.0,1078.41,,,,,,,,,,,,,,,-1.0,1065.135,100.0,0.0
92,SIEMENS.NSE,2021-10-04,1121.6,1183.96,1113.82,1159.49,1134.8336,1556472,,,,,,,,,,,,,1.0,1152.83,1122.65,94.0,,,,
93,SIEMENS.NSE,2021-10-11,1157.52,1201.21,1152.83,1181.67,1156.542,943853,,,,,,,,,,,,,,,,,,,,
94,SIEMENS.NSE,2021-10-18,1190.83,1252.76,1116.92,1130.69,1106.646,2391781,,,,,,,,,,,,,,,,,,,,
95,SIEMENS.NSE,2021-10-25,1142.42,1154.97,1094.38,1144.19,1119.859,879128,,,,,,,,,,,,,,,,,,,,
96,SIEMENS.NSE,2021-11-01,1143.46,1215.29,1139.64,1198.11,1172.6324,885217,,,,,,,,,,,,,1.0,1198.48,1154.97,98.0,,,,
97,SIEMENS.NSE,2021-11-08,1200.12,1269.94,1198.48,1243.08,1216.6461,1521072,1.0,1269.94,,1.0,1269.94,101.0,,,,,,,,,,,,,,
98,SIEMENS.NSE,2021-11-15,1249.12,1261.87,1197.07,1203.73,1178.1329,876060,,,,,,,,,,,,,,,,,,,,
99,SIEMENS.NSE,2021-11-22,1202.28,1217.89,1084.86,1098.18,1074.8274,3456857,,,,,,,,,,,,,-1.0,1197.07,1154.91,101.0,,,,
100,SIEMENS.NSE,2021-11-29,1092.46,1154.91,1051.86,1140.86,1116.5998,1917230,-1.0,1051.86,,,,,1.0,1154.91,1051.86,10397033.0,0.0,49.809357,,,,,,,,
101,SIEMENS.NSE,2021-12-06,1134.62,1285.53,1128.37,1271.5,1244.4617,5022946,,,,,,,,,,,,,1.0,1250.37,1154.91,103.0,,,,
102,SIEMENS.NSE,2021-12-13,1282.95,1341.16,1250.37,1258.69,1231.9241,4211301,1.0,1341.16,,,,,,,,,,,,,,,1.0,1328.71,118.0,131.0
103,SIEMENS.NSE,2021-12-20,1247.56,1270.46,1207.48,1236.11,1209.8243,1719256,,,,,,,,,,,,,,,,,,,,
104,SIEMENS.NSE,2021-12-27,1235.95,1285.55,1217.79,1227.78,1201.6714,2759053,,,,,,,,,,,,,,,,,,,,
105,SIEMENS.NSE,2022-01-03,1231.45,1248.81,1177.76,1184.58,1159.3901,1459905,,,,,,,,,,,,,,,,,,,,
106,SIEMENS.NSE,2022-01-10,1181.46,1249.69,1167.95,1245.48,1218.995,2570298,,,,,,,,,,,,,,,,,,,,
107,SIEMENS.NSE,2022-01-17,1256.82,1277.22,1197.67,1219.95,1201.753,2356942,,,,,,,,,,,,,,,,,,,,
108,SIEMENS.NSE,2022-01-24,1217.32,1227.0,1132.66,1188.22,1170.4963,1123100,-1.0,1132.66,,,,,,,,,,,,,,,-1.0,1128.4266,123.0,0.0
109,SIEMENS.NSE,2022-01-31,1198.53,1284.77,1193.95,1257.45,1238.6936,1388849,,,,,,,,,,,,,,,,,,,,
110,SIEMENS.NSE,2022-02-07,1241.31,1300.12,1223.1,1248.99,1230.3598,2073796,,,,,,,,,,,,,,,,,,,,
111,SIEMENS.NSE,2022-02-14,1238.71,1303.77,1205.11,1276.03,1256.9965,1757730,1.0,1303.77,1.0,,1303.77,118.0,,,,,,,,,,,1.0,1296.34,126.0,131.0
112,SIEMENS.NSE,2022-02-21,1277.2,1288.47,1182.34,1238.71,1220.2332,1283668,,,,,,,,,,,,,,,,,,,,
113,SIEMENS.NSE,2022-02-28,1233.5,1268.87,1189.26,1191.11,1173.3432,1166776,,,,,,,,,,,,,,,,,,,,
114,SIEMENS.NSE,2022-03-07,1171.05,1231.19,1133.57,1229.86,1211.5152,906150,-1.0,1133.57,,,,,,,,,,,,,,,,,,
115,SIEMENS.NSE,2022-03-14,1228.3,1266.87,1197.62,1243.6,1225.0502,1090009,,,,,,,,,,,,,,,,,,,,
116,SIEMENS.NSE,2022-03-21,1249.12,1254.48,1171.57,1182.26,1164.6252,1493005,,,,,,,,,,,,,,,,,,,,
117,SIEMENS.NSE,2022-03-28,1181.98,1250.13,1165.84,1232.88,1214.4901,1195080,,,,,,,,,,,,,,,,,,,,
118,SIEMENS.NSE,2022-04-04,1238.6,1316.26,1236.13,1311.57,1292.0064,1442129,1.0,1316.26,,,,,,,,,,,1.0,1263.2,1250.13,120.0,,,,
119,SIEMENS.NSE,2022-04-11,1310.56,1314.98,1263.2,1280.87,1261.7643,542588,,,,,,,,,,,,,,,,,,,,
120,SIEMENS.NSE,2022-04-18,1281.8,1290.57,1212.69,1215.03,1196.9064,930340,,,,,,,,,,,,,-1.0,1263.2,1212.5,122.0,,,,
121,SIEMENS.NSE,2022-04-25,1210.08,1212.5,1157.75,1186.66,1168.9596,1365900,,,,,,,,,,,,,,,,,,,,
122,SIEMENS.NSE,2022-05-02,1176.25,1218.91,1140.99,1158.56,1141.2787,1939604,,,,,,,,,,,,,,,,,,,,
123,SIEMENS.NSE,2022-05-09,1150.23,1221.12,1119.05,1193.45,1175.6483,2975143,-1.0,1119.05,,,,,,,,,,,,,,,,,,
124,SIEMENS.NSE,2022-05-16,1204.88,1238.71,1183.02,1233.24,1214.8448,1263408,,,,,,,,,,,,,,,,,,,,
125,SIEMENS.NSE,2022-05-23,1238.71,1260.02,1192.57,1228.04,1209.7223,1166362,,,,,,,,,,,,,,,,,,,,
126,SIEMENS.NSE,2022-05-30,1245.48,1288.91,1219.27,1220.52,1202.3145,1006239,1.0,1288.91,1.0,,1288.91,131.0,,,,,,,,,,,,,,
127,SIEMENS.NSE,2022-06-06,1220.02,1246.72,1203.84,1236.24,1217.8,737895,,,,,,,,,,,,,,,,,,,,
128,SIEMENS.NSE,2022-06-13,1224.03,1262.13,1196.0,1216.8,1198.65,1696560,,,,,,,,,,,,,,,,,,,,
