index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,SUNPHARMA.NSE,2020-01-01,432.95,450.4,431.25,444.6,418.4077,16334700,1.0,450.4,,,,,,,,,,,,,,,,,,
1,SUNPHARMA.NSE,2020-01-06,440.9,449.0,435.1,443.6,417.4666,21449503,,,,,,,,,,,,,,,,,,,,
2,SUNPHARMA.NSE,2020-01-13,447.0,456.35,442.55,454.6,427.8186,18219590,,,,,,,,,,,,,,,,,,,,
3,SUNPHARMA.NSE,2020-01-20,454.2,456.2,445.0,447.8,421.4192,12840057,,,,,,,,,,,,,,,,,,,,
4,SUNPHARMA.NSE,2020-01-27,447.0,462.5,432.65,434.3,408.7145,23365443,,,,,,,,,,,,,-1.0,445.0,441.75,14.0,,,,
5,SUNPHARMA.NSE,2020-02-03,423.8,441.75,412.85,430.8,405.4207,27855773,,,,,,,,,,,,,,,,,,,,
6,SUNPHARMA.NSE,2020-02-10,428.55,432.75,412.0,418.55,393.8924,19548356,,,,,,,,,,,,,,,,,,,,
7,SUNPHARMA.NSE,2020-02-17,416.2,418.5,399.05,404.95,383.8448,16723400,,,,,,,,,,,,,,,,,,,,
8,SUNPHARMA.NSE,2020-02-24,406.5,414.65,369.45,372.9,353.4652,58469884,,,,,,,,,,,,,,,,,,,,
9,SUNPHARMA.NSE,2020-03-02,378.0,414.8,363.35,400.9,380.0059,64134240,,,,,,,,,,,,,,,,,,,,
10,SUNPHARMA.NSE,2020-03-09,396.05,403.9,325.0,384.2,364.1763,49744755,,,,,,,,,,,,,,,,,,,,
11,SUNPHARMA.NSE,2020-03-16,376.0,396.4,347.65,365.25,346.2139,59084906,,,,,,,,,,,,,,,,,,,,
12,SUNPHARMA.NSE,2020-03-23,345.0,368.0,315.05,338.25,320.6211,40017478,,,,,,,,,,,,,,,,,,,,
13,SUNPHARMA.NSE,2020-03-30,321.65,389.8,312.0,375.95,356.3562,56854972,-1.0,312.0,,,,,,,,,,,1.0,388.3,368.0,0.0,,,,
14,SUNPHARMA.NSE,2020-04-07,398.0,473.9,388.3,454.45,430.765,89348872,,,,,,,,,,,,,1.0,443.1,389.8,20.0,,,,
15,SUNPHARMA.NSE,2020-04-13,462.95,488.5,443.1,457.1,433.2769,99726228,,,,,,,,,,,,,,,,,,,,
16,SUNPHARMA.NSE,2020-04-20,457.35,497.0,450.55,485.55,460.2441,98393800,,,,,,,,,,,,,,,,,,,,
17,SUNPHARMA.NSE,2020-04-27,491.0,504.8,458.4,464.45,440.2438,60796238,1.0,504.8,,,,30.0,,,,,,,,,,,1.0,508.75,23.0,30.0
18,SUNPHARMA.NSE,2020-05-04,464.45,474.5,448.0,469.0,444.5567,59687294,,,,,,,,,,,,,,,,,,,,
19,SUNPHARMA.NSE,2020-05-11,473.7,475.55,445.55,448.6,425.2199,49441160,,,,,,,,,,,,,,,,,,,,
20,SUNPHARMA.NSE,2020-05-18,447.0,471.9,434.25,469.4,444.9358,46342637,-1.0,434.25,,,,,,,,,,,,,,,,,,
21,SUNPHARMA.NSE,2020-05-26,471.0,481.6,443.4,474.25,449.533,48350789,,,,,,,,,,,,,,,,,,,,
22,SUNPHARMA.NSE,2020-06-01,483.5,511.0,458.3,494.25,468.4907,79207485,,,,,,,,,,,,,,,,,,,,
23,SUNPHARMA.NSE,2020-06-08,498.75,512.7,455.0,480.1,455.0782,75741868,1.0,512.7,1.0,,512.7,30.0,,,,,,,,,,,,,,
24,SUNPHARMA.NSE,2020-06-15,481.0,493.5,472.7,488.1,462.6612,42389030,,,,,,,,,,,,,,,,,,,,
25,SUNPHARMA.NSE,2020-06-22,492.2,503.4,472.2,479.95,454.936,42947501,,,,,,,,,,,,,,,,,,,,
26,SUNPHARMA.NSE,2020-06-29,475.5,487.35,466.15,476.85,451.9975,28448735,-1.0,466.15,,,,,,,,,,,,,,,-1.0,459.2,43.0,0.0
27,SUNPHARMA.NSE,2020-07-06,478.0,498.9,471.4,493.9,468.1589,37151345,,,,,,,,,,,,,1.0,490.1,487.35,29.0,,,,
28,SUNPHARMA.NSE,2020-07-13,495.0,509.55,490.1,503.6,477.3534,40067284,,,,,,,,,,,,,,,,,,,,
29,SUNPHARMA.NSE,2020-07-20,501.9,501.9,471.6,485.6,460.2915,59658630,,,,,,,,,,,,,,,,,,,,
30,SUNPHARMA.NSE,2020-07-27,484.85,541.0,469.0,531.7,503.9889,79350070,,,,,,,,,,,,,1.0,516.8,501.9,35.0,,,,
31,SUNPHARMA.NSE,2020-08-03,534.1,541.45,516.8,525.95,498.5385,66422121,,,,,,,,,,,,,,,,,,,,
32,SUNPHARMA.NSE,2020-08-10,526.0,550.8,519.05,531.35,503.6571,51967726,,,,,,,,,,,,,,,,,,,,
33,SUNPHARMA.NSE,2020-08-17,536.1,538.7,521.05,532.35,505.5661,32347915,,,,,,,,,,,,,,,,,,,,
