index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,SWIGGY.NSE,2024-11-13,420.0,489.4,391.0,430.7,430.7,169101498,-1.0,391.0,,,,,,,,,,,,,,,,,,
1,SWIGGY.NSE,2024-11-18,416.1,438.7,402.0,416.6,416.6,56428528,,,,,,,,,,,,,,,,,,,,
2,SWIGGY.NSE,2024-11-25,418.8,517.0,417.2,470.75,470.75,98948256,,,,,,,,,,,,,1.0,464.35,438.7,9.0,,,,
3,SWIGGY.NSE,2024-12-02,472.0,576.7,464.35,544.7,544.7,117644217,,,,,,,,,,,,,,,,,,,,
4,SWIGGY.NSE,2024-12-09,545.65,567.9,501.0,532.35,532.35,60574456,,,,,,,,,,,,,,,,,,,,
5,SWIGGY.NSE,2024-12-16,538.0,613.4,533.0,597.45,597.45,147692443,,,,,,,,,,,,,,,,,,,,
6,SWIGGY.NSE,2024-12-23,605.3,617.3,541.25,545.95,545.95,46528572,1.0,617.3,,,,,-1.0,617.3,541.25,250091800.0,0.0,38.687527,,,,,,,,
7,SWIGGY.NSE,2024-12-30,548.0,568.0,535.2,541.45,541.45,30077610,,,,,,,,,,,,,,,,,,,,
8,SWIGGY.NSE,2025-01-06,544.4,546.55,486.2,492.3,492.3,49168698,,,,,,,,,,,,,-1.0,535.2,514.8,0.0,,,,
9,SWIGGY.NSE,2025-01-13,481.15,514.8,458.3,473.1,473.1,44567638,,,,,,,,,,,,,-1.0,486.2,483.75,0.0,,,,
10,SWIGGY.NSE,2025-01-20,475.7,483.75,413.6,449.05,449.05,69764263,,,,,,,,,,,,,-1.0,458.3,458.2,12.0,,,,
11,SWIGGY.NSE,2025-01-27,442.0,458.2,389.05,435.45,435.45,72410914,,,,,,,,,,,,,,,,,,,,
12,SWIGGY.NSE,2025-02-03,431.0,463.0,375.0,380.65,380.65,107916624,,,,,,,,,,,,,-1.0,389.05,378.25,14.0,,,,
13,SWIGGY.NSE,2025-02-10,378.0,378.25,325.3,340.75,340.75,147398331,,,,,,,,,,,,,,,,,,,,
14,SWIGGY.NSE,2025-02-17,337.5,386.75,328.4,360.55,360.55,90041346,,,,,,,,,,,,,,,,,,,,
15,SWIGGY.NSE,2025-02-24,354.0,368.0,331.05,334.65,334.65,39628935,,,,,,,,,,,,,,,,,,,,
16,SWIGGY.NSE,2025-03-03,342.25,377.3,317.0,360.95,360.95,63159335,,,,,,,,,,,,,,,,,,,,
17,SWIGGY.NSE,2025-03-10,368.8,368.8,343.7,353.2,353.2,22597951,,,,,,,,,,,,,,,,,,,,
18,SWIGGY.NSE,2025-03-17,356.0,369.7,348.15,350.65,350.65,30262866,,,,,,,,,,,,,,,,,,,,
19,SWIGGY.NSE,2025-03-24,353.1,357.25,312.65,330.2,330.2,46500620,,,,,,,,,,,,,,,,,,,,
20,SWIGGY.NSE,2025-04-01,328.7,351.4,325.5,337.35,337.35,23096763,,,,,,,,,,,,,,,,,,,,
21,SWIGGY.NSE,2025-04-07,310.0,347.1,306.95,333.0,333.0,27433237,,,,,,,,,,,,,,,,,,,,
22,SWIGGY.NSE,2025-04-15,338.0,350.7,329.45,340.8,340.8,18665838,,,,,,,,,,,,,,,,,,,,
23,SWIGGY.NSE,2025-04-21,342.45,351.45,320.0,321.4,321.4,27928815,,,,,,,,,,,,,-1.0,329.45,328.7,25.0,,,,
24,SWIGGY.NSE,2025-04-28,322.1,328.7,303.0,304.0,304.0,21068712,,,,,,,,,,,,,,,,,,,,
25,SWIGGY.NSE,2025-05-05,310.0,356.65,303.6,313.1,313.1,90970114,,,,,,,,,,,,,,,,,,,,
