index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,TATACONSUM.NSE,2020-01-01,321.35,327.45,317.0,318.2,303.7671,6324528,-1.0,317.0,,,,,,,,,,,,,,,,,,
1,TATACONSUM.NSE,2020-01-06,315.25,343.3,310.4,341.35,325.8671,19791683,,,,,,,,,,,,,1.0,342.05,327.45,8.0,,,,
2,TATACONSUM.NSE,2020-01-13,343.0,395.95,342.05,380.3,363.0504,94448438,,,,,,,,,,,,,1.0,377.1,343.3,5.0,,,,
3,TATACONSUM.NSE,2020-01-20,380.3,399.45,377.1,384.6,367.1554,34855570,,,,,,,,,,,,,,,,,,,,
4,TATACONSUM.NSE,2020-01-27,383.8,393.3,378.25,383.4,366.0098,17924479,,,,,,,,,,,,,,,,,,,,
5,TATACONSUM.NSE,2020-02-03,373.75,408.0,367.5,396.7,378.7065,48519318,1.0,408.0,,1.0,408.0,27.0,-1.0,408.0,367.5,59957890.0,27.0,38.7118,,,,,,,,
6,TATACONSUM.NSE,2020-02-10,398.45,400.0,388.35,396.9,378.8975,18929507,,,,,,,,,,,,,,,,,,,,
7,TATACONSUM.NSE,2020-02-17,397.7,401.9,373.2,380.5,363.2413,26404133,,,,,,,,,,,,,-1.0,388.35,379.85,21.0,,,,
8,TATACONSUM.NSE,2020-02-24,378.9,379.85,341.55,346.15,330.4494,15808139,,,,,,,,,,,,,-1.0,373.2,357.7,17.0,,,,
9,TATACONSUM.NSE,2020-03-02,351.05,357.7,333.6,344.5,328.8742,16733096,,,,,,,,,,,,,-1.0,341.55,340.85,17.0,,,,
10,TATACONSUM.NSE,2020-03-09,338.0,340.85,258.0,324.25,309.5427,21958712,,,,,,,,,,,,,-1.0,333.6,314.3,14.0,,,,
11,TATACONSUM.NSE,2020-03-16,305.3,314.3,232.25,264.2,252.2165,21266078,,,,,,,,,,,,,,,,,,,,
12,TATACONSUM.NSE,2020-03-23,240.0,294.95,213.7,284.75,271.8344,19252957,-1.0,213.7,,,,,1.0,294.95,213.7,47848324.0,0.0,41.6461,,,,,,,,
13,TATACONSUM.NSE,2020-03-30,282.5,304.0,264.0,267.15,255.0327,17694586,,,,,,,,,,,,,,,,,,,,
14,TATACONSUM.NSE,2020-04-07,280.0,319.0,271.0,309.05,295.0322,19522928,,,,,,,,,,,,,,,,,,,,
15,TATACONSUM.NSE,2020-04-13,315.0,336.4,301.1,324.5,309.7814,22478391,,,,,,,,,,,,,,,,,,,,
16,TATACONSUM.NSE,2020-04-20,324.6,339.8,310.0,326.1,311.3088,20915796,,,,,,,,,,,,,,,,,,,,
17,TATACONSUM.NSE,2020-04-27,331.95,361.4,331.25,351.6,335.6522,19607375,,,,,,,,,,,,,,,,,,,,
18,TATACONSUM.NSE,2020-05-04,340.0,355.5,325.65,348.75,332.9315,16714631,,,,,,,,,,,,,,,,,,,,
19,TATACONSUM.NSE,2020-05-11,353.85,375.0,346.65,352.2,336.225,31160386,,,,,,,,,,,,,,,,,,,,
20,TATACONSUM.NSE,2020-05-18,351.2,366.95,343.4,362.45,346.0101,21207181,,,,,,,,,,,,,,,,,,,,
21,TATACONSUM.NSE,2020-05-26,366.8,382.8,357.35,366.9,350.2582,78055013,,,,,,,,,,,,,,,,,,,,
22,TATACONSUM.NSE,2020-06-01,368.5,387.8,359.5,379.75,362.5254,23979561,,,,,,,,,,,,,,,,,,,,
23,TATACONSUM.NSE,2020-06-08,384.0,393.95,365.1,371.0,354.1722,13646410,,,,,,,,,,,,,,,,,,,,
24,TATACONSUM.NSE,2020-06-15,371.5,383.0,360.25,377.3,362.8371,13372277,,,,,,,,,,,,,,,,,,,,
25,TATACONSUM.NSE,2020-06-22,383.0,394.9,377.6,385.65,370.867,14068132,,,,,,,,,,,,,,,,,,,,
26,TATACONSUM.NSE,2020-06-29,387.05,402.3,380.5,396.45,381.253,12067048,,,,,,,,,,,,,1.0,397.3,394.9,0.0,,,,
27,TATACONSUM.NSE,2020-07-06,400.05,437.75,397.3,430.1,413.6131,21713144,,,,,,,,,,,,,1.0,407.15,402.3,29.0,,,,
28,TATACONSUM.NSE,2020-07-13,430.1,433.55,407.15,423.0,406.7853,12629012,,,,,,,,,,,,,,,,,,,,
29,TATACONSUM.NSE,2020-07-20,426.7,426.7,402.35,408.45,392.793,13169744,,,,,,,,,,,,,,,,,,,,
30,TATACONSUM.NSE,2020-07-27,408.45,434.0,404.3,428.05,411.6417,17552975,,,,,,,,,,,,,1.0,427.7,426.7,0.0,,,,
31,TATACONSUM.NSE,2020-08-03,428.95,529.95,427.7,518.6,498.7207,76353719,,,,,,,,,,,,,1.0,509.15,434.0,38.0,,,,
32,TATACONSUM.NSE,2020-08-10,520.95,544.5,509.15,537.5,516.8962,29205918,,,,,,,,,,,,,1.0,538.3,529.95,35.0,,,,
33,TATACONSUM.NSE,2020-08-17,541.15,556.95,538.3,545.8,524.878,19735707,,,,,,,,,,,,,,,,,,,,
34,TATACONSUM.NSE,2020-08-24,546.5,561.4,541.25,547.05,526.0801,15016608,,,,,,,,,,,,,,,,,,,,
35,TATACONSUM.NSE,2020-08-31,549.0,591.95,526.0,569.05,547.2368,31952932,1.0,591.95,1.0,,591.95,51.0,,,,,,,,,,,,,,
36,TATACONSUM.NSE,2020-09-07,570.0,572.0,529.15,548.4,527.3784,20775781,,,,,,,,,,,,,,,,,,,,
37,TATACONSUM.NSE,2020-09-14,552.0,555.2,533.15,540.6,519.8774,19870751,,,,,,,,,,,,,,,,,,,,
38,TATACONSUM.NSE,2020-09-21,540.6,542.3,478.0,509.8,490.258,28084449,,,,,,,,,,,,,-1.0,533.15,527.0,46.0,,,,
39,TATACONSUM.NSE,2020-09-28,514.0,527.0,495.55,509.1,489.5848,19794981,,,,,,,,,,,,,,,,,,,,
40,TATACONSUM.NSE,2020-10-05,513.4,513.5,470.05,471.25,453.1857,19295212,,,,,,,,,,,,,-1.0,495.55,494.2,43.0,,,,
41,TATACONSUM.NSE,2020-10-12,474.5,494.2,463.55,477.1,458.8115,23718340,,,,,,,,,,,,,,,,,,,,
42,TATACONSUM.NSE,2020-10-19,481.9,484.25,458.95,472.8,454.6763,16885888,-1.0,458.95,,,,,1.0,484.25,458.95,56378650.0,0.0,43.75783,,,,,,,,
43,TATACONSUM.NSE,2020-10-26,474.9,504.8,470.15,492.85,473.9577,30522080,,,,,,,,,,,,,1.0,488.3,484.25,0.0,,,,
44,TATACONSUM.NSE,2020-11-02,494.0,510.35,488.3,504.2,484.8727,27651977,,,,,,,,,,,,,,,,,,,,
45,TATACONSUM.NSE,2020-11-09,511.0,519.0,495.0,516.15,496.3646,19621139,,,,,,,,,,,,,1.0,512.25,510.35,47.0,,,,
46,TATACONSUM.NSE,2020-11-17,518.0,528.0,512.25,519.05,499.1534,12890922,,,,,,,,,,,,,,,,,,,,
47,TATACONSUM.NSE,2020-11-23,520.0,545.3,505.05,538.0,517.377,34746940,,,,,,,,,,,,,,,,,,,,
