index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,TATAMOTORS.NSE,2020-01-01,185.15,195.65,183.6,191.1,188.3012,130830948,1.0,195.65,,,,,,,,,,,,,,,1.0,192.225,48.0,54.0
1,TATAMOTORS.NSE,2020-01-06,191.0,199.0,180.2,196.35,193.4743,186534422,,,,,,,,,,,,,,,,,,,,
2,TATAMOTORS.NSE,2020-01-13,194.75,201.7,191.4,197.3,194.4104,155211693,,,,,,,,,,,,,,,,,,,,
3,TATAMOTORS.NSE,2020-01-20,198.0,201.45,183.8,186.5,183.7686,137611396,,,,,,,,,,,,,,,,,,,,
4,TATAMOTORS.NSE,2020-01-27,185.7,192.55,174.9,176.6,174.0135,276524154,,,,,,,,,,,,,,,,,,,,
5,TATAMOTORS.NSE,2020-02-03,163.5,184.95,159.55,173.6,171.0575,315649997,,,,,,,,,,,,,,,,,,,,
6,TATAMOTORS.NSE,2020-02-10,173.2,176.2,168.0,169.1,166.6234,192495321,,,,,,,,,,,,,,,,,,,,
7,TATAMOTORS.NSE,2020-02-17,170.4,171.35,153.05,158.5,156.1786,218879823,,,,,,,,,,,,,-1.0,168.0,155.9,46.0,,,,
8,TATAMOTORS.NSE,2020-02-24,154.0,155.9,127.05,128.95,127.0614,285829557,,,,,,,,,,,,,-1.0,153.05,133.9,34.0,,,,
9,TATAMOTORS.NSE,2020-03-02,133.0,133.9,112.8,114.2,112.5274,467665286,,,,,,,,,,,,,-1.0,127.05,109.85,22.0,,,,
10,TATAMOTORS.NSE,2020-03-09,109.0,109.85,78.05,89.75,88.4355,442398740,,,,,,,,,,,,,-1.0,112.8,87.65,17.0,,,,
11,TATAMOTORS.NSE,2020-03-16,85.6,87.65,68.75,77.3,76.1679,369816270,,,,,,,,,,,,,-1.0,78.05,75.9,14.0,,,,
12,TATAMOTORS.NSE,2020-03-23,70.0,75.9,63.5,70.7,69.6645,264085946,-1.0,63.5,,,,,,,,,,,,,,,,,,
13,TATAMOTORS.NSE,2020-03-30,68.8,71.65,64.8,65.3,64.3436,154930604,,,,,,,,,,,,,,,,,,,,
14,TATAMOTORS.NSE,2020-04-07,68.55,76.25,65.4,74.6,73.5074,236923045,,,,,,,,,,,,,,,,,,,,
15,TATAMOTORS.NSE,2020-04-13,76.0,78.7,71.0,76.85,75.7245,257774630,,,,,,,,,,,,,,,,,,,,
16,TATAMOTORS.NSE,2020-04-20,76.85,83.4,72.55,74.2,73.1133,330617267,,,,,,,,,,,,,,,,,,,,
17,TATAMOTORS.NSE,2020-04-27,75.9,93.75,74.8,93.25,91.8843,274079561,1.0,93.75,1.0,,93.75,22.0,,,,,,,,,,,,,,
18,TATAMOTORS.NSE,2020-05-04,87.0,87.2,80.35,81.05,79.863,268543594,,,,,,,,,,,,,,,,,,,,
19,TATAMOTORS.NSE,2020-05-11,81.45,92.5,81.4,84.35,83.1146,383158684,,,,,,,,,,,,,,,,,,,,
20,TATAMOTORS.NSE,2020-05-18,84.5,85.65,79.6,82.8,81.5873,212494026,-1.0,79.6,,,,,1.0,85.65,79.6,1031814600.0,0.0,25.935396,,,,,,,,
21,TATAMOTORS.NSE,2020-05-26,83.9,88.15,82.6,87.0,85.7258,272955984,,,,,,,,,,,,,1.0,88.0,85.65,0.0,,,,
22,TATAMOTORS.NSE,2020-06-01,88.9,112.45,88.0,110.75,109.128,546364605,,,,,,,,,,,,,1.0,98.0,88.15,24.0,,,,
23,TATAMOTORS.NSE,2020-06-08,114.0,119.15,98.0,105.3,103.7578,448930649,,,,,,,,,,,,,,,,,,,,
24,TATAMOTORS.NSE,2020-06-15,104.65,104.65,91.8,102.5,100.9988,590052206,,,,,,,,,,,,,,,,,,,,
