index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,TATAPOWER.NSE,2020-01-01,56.8,58.55,56.65,57.75,53.7473,25766600,1.0,58.55,,,,,,,,,,,,,,,,,,
1,TATAPOWER.NSE,2020-01-06,57.05,59.5,55.7,58.95,54.8641,27741194,,,,,,,,,,,,,1.0,58.85,58.55,4.0,,,,
2,TATAPOWER.NSE,2020-01-13,59.2,62.1,58.85,61.55,57.2839,38185112,,,,,,,,,,,,,,,,,,,,
3,TATAPOWER.NSE,2020-01-20,61.55,61.95,58.9,61.2,56.9582,38067483,,,,,,,,,,,,,,,,,,,,
4,TATAPOWER.NSE,2020-01-27,60.8,62.0,57.6,58.1,54.0731,43611781,,,,,,,,,,,,,-1.0,58.9,58.2,6.0,,,,
5,TATAPOWER.NSE,2020-02-03,55.1,58.2,54.6,58.0,53.98,24545268,,,,,,,,,,,,,,,,,,,,
6,TATAPOWER.NSE,2020-02-10,57.7,58.25,53.55,53.8,50.0711,24807790,,,,,,,,,,,,,-1.0,54.6,53.95,32.0,,,,
7,TATAPOWER.NSE,2020-02-17,53.9,53.95,50.6,51.6,48.0236,39792905,,,,,,,,,,,,,-1.0,53.55,52.95,27.0,,,,
8,TATAPOWER.NSE,2020-02-24,51.5,52.95,46.05,46.7,43.4632,80575992,,,,,,,,,,,,,-1.0,50.6,47.8,26.0,,,,
9,TATAPOWER.NSE,2020-03-02,47.1,47.8,41.45,43.05,40.0662,57512499,,,,,,,,,,,,,-1.0,46.05,42.8,22.0,,,,
10,TATAPOWER.NSE,2020-03-09,42.05,42.8,33.85,42.15,39.2286,103210729,,,,,,,,,,,,,,,,,,,,
11,TATAPOWER.NSE,2020-03-16,40.8,42.55,32.75,36.7,34.1563,57351337,,,,,,,,,,,,,,,,,,,,
12,TATAPOWER.NSE,2020-03-23,34.35,36.85,31.2,33.95,31.5969,46295009,,,,,,,,,,,,,,,,,,,,
13,TATAPOWER.NSE,2020-03-30,33.95,33.95,29.95,30.15,28.0603,32409362,-1.0,29.95,-1.0,,29.95,18.0,,,,,,,,,,,-1.0,28.475,19.0,0.0
14,TATAPOWER.NSE,2020-04-07,31.8,37.0,30.8,36.5,33.9702,32297594,,,,,,,,,,,,,1.0,34.05,33.95,16.0,,,,
15,TATAPOWER.NSE,2020-04-13,36.65,37.5,34.05,34.4,32.0157,34479844,1.0,37.5,,1.0,37.5,22.0,-1.0,37.5,34.05,231044770.0,22.0,43.39305,,,,,,,,
16,TATAPOWER.NSE,2020-04-20,34.65,34.65,30.8,31.05,28.8979,69917876,,,,,,,,,,,,,-1.0,34.05,32.15,19.0,,,,
17,TATAPOWER.NSE,2020-04-27,31.5,32.15,30.5,31.7,29.5029,67883577,,,,,,,,,,,,,,,,,,,,
18,TATAPOWER.NSE,2020-05-04,31.5,31.5,27.65,28.5,26.5246,93243310,,,,,,,,,,,,,,,,,,,,
19,TATAPOWER.NSE,2020-05-11,29.0,33.2,27.0,31.4,29.2236,223402050,-1.0,27.0,,,,,1.0,33.2,27.0,874317060.0,0.0,37.56664,,,,,,,,
20,TATAPOWER.NSE,2020-05-18,31.95,34.6,30.25,33.75,31.4108,238758105,,,,,,,,,,,,,1.0,33.6,33.2,0.0,,,,
21,TATAPOWER.NSE,2020-05-26,33.75,37.5,33.6,36.55,34.0167,288011921,,,,,,,,,,,,,1.0,37.2,34.6,0.0,,,,
22,TATAPOWER.NSE,2020-06-01,37.6,44.35,37.2,43.9,40.8573,347546999,,,,,,,,,,,,,1.0,37.8,37.5,0.0,,,,
23,TATAPOWER.NSE,2020-06-08,44.9,44.9,37.8,41.7,38.8098,164056582,,,,,,,,,,,,,,,,,,,,
24,TATAPOWER.NSE,2020-06-15,41.7,43.95,40.15,43.2,40.2058,153916309,,,,,,,,,,,,,,,,,,,,
25,TATAPOWER.NSE,2020-06-22,43.7,47.4,42.7,46.35,43.1375,180619234,,,,,,,,,,,,,1.0,44.05,43.95,0.0,,,,
26,TATAPOWER.NSE,2020-06-29,46.45,51.2,44.05,49.9,46.4414,259842083,,,,,,,,,,,,,1.0,49.7,47.4,28.0,,,,
27,TATAPOWER.NSE,2020-07-06,50.65,53.2,49.7,50.3,46.8137,180762366,,,,,,,,,,,,,,,,,,,,
28,TATAPOWER.NSE,2020-07-13,50.9,51.1,45.95,49.3,47.3615,120024292,,,,,,,,,,,,,,,,,,,,
29,TATAPOWER.NSE,2020-07-20,50.0,51.45,48.55,48.9,46.9773,93306313,,,,,,,,,,,,,,,,,,,,
30,TATAPOWER.NSE,2020-07-27,48.8,50.4,47.5,48.7,46.7851,107953986,,,,,,,,,,,,,,,,,,,,
31,TATAPOWER.NSE,2020-08-03,48.8,50.6,48.35,49.7,47.7458,93517226,,,,,,,,,,,,,,,,,,,,
32,TATAPOWER.NSE,2020-08-10,49.8,57.9,49.8,54.95,52.7894,226044533,,,,,,,,,,,,,1.0,54.85,50.6,36.0,,,,
33,TATAPOWER.NSE,2020-08-17,55.5,63.4,54.85,61.95,59.5142,277219532,1.0,63.4,,,,,,,,,,,1.0,59.05,57.9,35.0,,,,
34,TATAPOWER.NSE,2020-08-24,62.35,63.25,59.05,61.2,58.7936,206002225,,,,,,,,,,,,,,,,,,,,
35,TATAPOWER.NSE,2020-08-31,61.4,61.75,57.9,58.9,56.5841,149557112,,,,,,,,,,,,,,,,,,,,
36,TATAPOWER.NSE,2020-09-07,58.95,59.4,52.5,56.7,54.4706,139381350,,,,,,,,,,,,,,,,,,,,
37,TATAPOWER.NSE,2020-09-14,56.9,58.75,55.75,56.2,53.9902,102927569,,,,,,,,,,,,,,,,,,,,
38,TATAPOWER.NSE,2020-09-21,56.05,56.2,50.1,53.1,51.0121,132049759,-1.0,50.1,,,,,,,,,,,-1.0,55.75,54.65,40.0,-1.0,50.875,43.0,0.0
39,TATAPOWER.NSE,2020-09-28,53.6,54.65,53.0,54.45,52.3091,59292567,,,,,,,,,,,,,,,,,,,,
40,TATAPOWER.NSE,2020-10-05,54.5,56.9,53.6,54.45,52.3091,76667580,1.0,56.9,1.0,,56.9,46.0,,,,,,,,,,,,,,
41,TATAPOWER.NSE,2020-10-12,54.45,55.1,52.25,54.15,52.0208,95553992,,,,,,,,,,,,,,,,,,,,
42,TATAPOWER.NSE,2020-10-19,54.35,56.15,53.2,55.25,53.0776,82202112,,,,,,,,,,,,,,,,,,,,
