index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,TATASTEEL.NSE,2020-01-01,473.0,487.8,464.8,483.8,40.6042,467323540,1.0,487.8,,,,,,,,,,,,,,,,,,
1,TATASTEEL.NSE,2020-01-06,480.0,493.9,467.0,487.4,40.9064,621610230,,,,,,,,,,,,,,,,,,,,
2,TATASTEEL.NSE,2020-01-13,491.1,506.0,487.8,494.4,41.4939,548423490,,,,,,,,,,,,,,,,,,,,
3,TATASTEEL.NSE,2020-01-20,497.0,499.8,473.2,484.7,40.6798,409510020,,,,,,,,,,,,,-1.0,487.8,477.8,5.0,,,,
4,TATASTEEL.NSE,2020-01-27,477.8,477.8,420.1,422.6,35.4678,803661910,,,,,,,,,,,,,,,,,,,,
5,TATASTEEL.NSE,2020-02-03,418.0,487.3,416.6,470.3,39.4712,739461370,,,,,,,,,,,,,,,,,,,,
6,TATASTEEL.NSE,2020-02-10,460.3,463.3,433.4,434.5,36.4666,748563150,,,,,,,,,,,,,,,,,,,,
7,TATASTEEL.NSE,2020-02-17,435.5,447.7,421.3,443.5,37.2219,426725340,,,,,,,,,,,,,,,,,,,,
8,TATASTEEL.NSE,2020-02-24,434.9,434.9,375.0,381.0,31.9765,811112360,,,,,,,,,,,,,-1.0,421.3,394.0,31.0,,,,
9,TATASTEEL.NSE,2020-03-02,393.7,394.0,346.7,351.6,29.509,912835090,,,,,,,,,,,,,-1.0,375.0,337.7,22.0,,,,
10,TATASTEEL.NSE,2020-03-09,337.5,337.7,255.4,329.2,27.629,1267276080,,,,,,,,,,,,,-1.0,346.7,317.7,22.0,,,,
11,TATASTEEL.NSE,2020-03-16,304.0,317.7,260.5,296.0,24.8426,990648690,,,,,,,,,,,,,,,,,,,,
12,TATASTEEL.NSE,2020-03-23,268.0,295.5,253.6,276.0,23.164,571503710,,,,,,,,,,,,,,,,,,,,
13,TATASTEEL.NSE,2020-03-30,267.0,272.5,250.9,254.4,21.3512,561342330,-1.0,250.9,,,,,,,,,,,,,,,-1.0,256.7,20.0,134.0
14,TATASTEEL.NSE,2020-04-07,266.1,292.9,261.2,284.0,23.8355,502478170,,,,,,,,,,,,,1.0,273.9,272.5,16.0,,,,
15,TATASTEEL.NSE,2020-04-13,285.0,299.7,273.9,292.3,24.5321,712442310,,,,,,,,,,,,,,,,,,,,
16,TATASTEEL.NSE,2020-04-20,294.8,295.0,259.2,268.8,22.5598,715285970,,,,,,,,,,,,,,,,,,,,
17,TATASTEEL.NSE,2020-04-27,274.0,304.5,269.6,297.6,24.9769,644717240,1.0,304.5,1.0,,304.5,22.0,,,,,,,,,,,,,,
18,TATASTEEL.NSE,2020-05-04,285.0,286.2,270.1,272.9,22.9039,534188680,,,,,,,,,,,,,,,,,,,,
19,TATASTEEL.NSE,2020-05-11,275.6,288.0,264.5,273.2,22.929,664599070,,,,,,,,,,,,,,,,,,,,
20,TATASTEEL.NSE,2020-05-18,274.1,286.3,262.5,275.0,23.0801,666297020,-1.0,262.5,,,,,1.0,286.3,262.5,2159813600.0,133.0,44.612633,,,,,,,,
21,TATASTEEL.NSE,2020-05-26,277.5,298.6,277.0,294.1,24.6831,558467910,,,,,,,,,,,,,1.0,302.0,286.3,23.0,,,,
22,TATASTEEL.NSE,2020-06-01,302.0,343.7,302.0,339.7,28.5102,935048620,,,,,,,,,,,,,1.0,300.0,298.6,134.0,,,,
23,TATASTEEL.NSE,2020-06-08,347.7,350.8,300.0,319.6,26.8233,800925590,,,,,,,,,,,,,,,,,,,,
24,TATASTEEL.NSE,2020-06-15,313.8,325.9,301.3,320.3,26.882,799763360,,,,,,,,,,,,,,,,,,,,
25,TATASTEEL.NSE,2020-06-22,319.8,338.2,318.4,324.7,27.2513,654175580,,,,,,,,,,,,,,,,,,,,
26,TATASTEEL.NSE,2020-06-29,323.0,337.7,312.1,329.0,27.6122,815590360,,,,,,,,,,,,,,,,,,,,
27,TATASTEEL.NSE,2020-07-06,333.2,348.5,328.1,338.6,28.4179,834756120,,,,,,,,,,,,,,,,,,,,
28,TATASTEEL.NSE,2020-07-13,343.3,356.8,331.6,350.9,29.4502,651128350,,,,,,,,,,,,,,,,,,,,
29,TATASTEEL.NSE,2020-07-20,351.1,362.9,342.6,346.5,29.0809,572895460,,,,,,,,,,,,,,,,,,,,
30,TATASTEEL.NSE,2020-07-27,351.0,378.5,344.3,368.1,30.8938,720161160,,,,,,,,,,,,,,,,,,,,
31,TATASTEEL.NSE,2020-08-03,364.8,406.7,362.1,403.1,34.705,901814620,,,,,,,,,,,,,1.0,399.6,378.5,36.0,,,,
32,TATASTEEL.NSE,2020-08-10,405.8,431.0,399.6,417.9,35.9792,1096427640,,,,,,,,,,,,,1.0,414.3,406.7,35.0,,,,
33,TATASTEEL.NSE,2020-08-17,418.0,442.0,414.3,428.3,36.8746,766608810,,,,,,,,,,,,,,,,,,,,
34,TATASTEEL.NSE,2020-08-24,433.6,438.0,421.5,423.9,36.4958,523672700,,,,,,,,,,,,,,,,,,,,
35,TATASTEEL.NSE,2020-08-31,426.5,443.7,410.0,421.9,36.3236,623032910,1.0,443.7,1.0,,443.7,45.0,,,,,,,,,,,,,,
36,TATASTEEL.NSE,2020-09-07,423.7,428.4,386.5,406.3,34.9805,898735610,,,,,,,,,,,,,,,,,,,,
37,TATASTEEL.NSE,2020-09-14,410.0,414.1,393.2,396.6,34.1454,631015480,,,,,,,,,,,,,,,,,,,,
38,TATASTEEL.NSE,2020-09-21,396.0,399.2,342.8,350.8,30.2022,778748040,-1.0,342.8,,,,,1.0,399.2,342.8,2980918300.0,133.0,37.639923,-1.0,393.2,371.8,40.0,,,,
39,TATASTEEL.NSE,2020-09-28,360.0,371.8,355.7,364.9,31.4162,526811040,,,,,,,,,,,,,,,,,,,,
40,TATASTEEL.NSE,2020-10-05,370.1,387.3,367.1,371.4,31.9758,796888920,,,,,,,,,,,,,,,,,,,,
41,TATASTEEL.NSE,2020-10-12,373.5,395.9,362.5,393.8,33.9043,1030581630,,,,,,,,,,,,,1.0,389.6,387.3,134.0,,,,
42,TATASTEEL.NSE,2020-10-19,397.6,426.0,389.6,423.1,36.4269,1015089060,,,,,,,,,,,,,,,,,,,,
43,TATASTEEL.NSE,2020-10-26,423.4,423.4,395.2,408.7,35.1871,815181670,,,,,,,,,,,,,,,,,,,,
44,TATASTEEL.NSE,2020-11-02,410.0,432.9,398.7,424.9,36.5819,829314580,,,,,,,,,,,,,1.0,427.4,423.4,134.0,,,,
45,TATASTEEL.NSE,2020-11-09,433.0,499.5,427.4,491.0,42.2728,1336422070,,,,,,,,,,,,,1.0,501.7,432.9,134.0,,,,
46,TATASTEEL.NSE,2020-11-17,506.0,541.7,501.7,531.6,45.7682,1285901100,,,,,,,,,,,,,1.0,536.4,499.5,134.0,,,,
47,TATASTEEL.NSE,2020-11-23,538.0,582.4,536.4,574.9,49.4962,1165969730,,,,,,,,,,,,,1.0,577.0,541.7,134.0,,,,
48,TATASTEEL.NSE,2020-12-01,592.0,632.5,577.0,623.0,53.6373,846653980,,,,,,,,,,,,,1.0,593.5,582.4,51.0,,,,
49,TATASTEEL.NSE,2020-12-07,623.6,629.0,593.5,621.9,53.5426,815599310,,,,,,,,,,,,,,,,,,,,
50,TATASTEEL.NSE,2020-12-14,626.8,649.5,617.4,629.8,54.2228,803059750,,,,,,,,,,,,,,,,,,,,
51,TATASTEEL.NSE,2020-12-21,624.0,637.0,585.0,623.0,53.6373,622526160,,,,,,,,,,,,,,,,,,,,
52,TATASTEEL.NSE,2020-12-28,628.3,653.5,621.1,641.4,55.2215,585356790,,,,,,,,,,,,,1.0,646.5,637.0,55.0,,,,
53,TATASTEEL.NSE,2021-01-04,649.0,731.5,646.5,713.0,61.3859,1369022380,1.0,731.5,1.0,,731.5,61.0,,,,,,,1.0,688.2,653.5,55.0,,,,
54,TATASTEEL.NSE,2021-01-11,712.0,724.5,688.2,707.0,60.8693,931331590,,,,,,,,,,,,,,,,,,,,
55,TATASTEEL.NSE,2021-01-18,708.0,708.8,633.7,646.9,55.695,1194370260,,,,,,,,,,,,,-1.0,688.2,661.9,57.0,,,,
56,TATASTEEL.NSE,2021-01-25,651.0,661.9,596.0,602.9,51.9068,751848840,-1.0,596.0,,,,,1.0,661.9,596.0,3279963400.0,133.0,43.885296,,,,,,,,
57,TATASTEEL.NSE,2021-02-01,604.9,690.6,597.5,688.7,59.2938,978459150,,,,,,,,,,,,,1.0,678.5,661.9,59.0,,,,
58,TATASTEEL.NSE,2021-02-08,694.0,724.5,678.5,679.8,58.5276,1392433000,,,,,,,,,,,,,,,,,,,,
59,TATASTEEL.NSE,2021-02-15,687.1,711.0,656.0,669.4,57.6322,1000395260,,,,,,,,,,,,,,,,,,,,
60,TATASTEEL.NSE,2021-02-22,672.9,753.0,670.9,714.4,61.5064,1341861560,,,,,,,,,,,,,1.0,711.4,711.0,62.0,,,,
61,TATASTEEL.NSE,2021-03-01,724.0,782.5,711.4,735.3,63.3058,937706620,1.0,782.5,1.0,,782.5,65.0,,,,,,,,,,,,,,
62,TATASTEEL.NSE,2021-03-08,744.0,751.2,702.3,720.9,62.0661,659783030,,,,,,,,,,,,,,,,,,,,
63,TATASTEEL.NSE,2021-03-15,722.0,740.1,681.3,731.6,62.9873,776126530,-1.0,681.3,,,,,1.0,740.1,681.3,2972788700.0,133.0,35.332085,,,,,,,,
64,TATASTEEL.NSE,2021-03-22,731.1,774.9,688.4,765.3,65.8887,1262991960,,,,,,,,,,,,,1.0,777.9,740.1,134.0,,,,
