index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,TECHM.NSE,2020-01-01,766.0,779.9,760.35,775.1,631.0474,4001563,-1.0,760.35,,,,,,,,,,,,,,,,,,
1,TECHM.NSE,2020-01-06,774.85,784.9,760.6,776.25,631.9836,9052862,,,,,,,,,,,,,,,,,,,,
2,TECHM.NSE,2020-01-13,779.9,803.65,775.05,778.45,633.7748,6881008,,,,,,,,,,,,,,,,,,,,
3,TECHM.NSE,2020-01-20,778.5,790.45,763.3,787.3,640.98,8172302,,,,,,,,,,,,,,,,,,,,
4,TECHM.NSE,2020-01-27,786.0,807.95,779.65,796.6,648.5516,10822636,,,,,,,,,,,,,1.0,790.5,790.45,8.0,,,,
5,TECHM.NSE,2020-02-03,808.0,825.95,790.5,824.45,671.2257,9727900,,,,,,,,,,,,,1.0,811.05,807.95,8.0,,,,
6,TECHM.NSE,2020-02-10,827.0,838.0,811.05,834.15,679.1229,7518118,,,,,,,,,,,,,,,,,,,,
7,TECHM.NSE,2020-02-17,835.95,845.9,825.35,829.6,675.4185,4249248,1.0,845.9,,,,,,,,,,,,,,,,,,
8,TECHM.NSE,2020-02-24,828.95,843.9,732.05,744.4,606.053,15477435,,,,,,,,,,,,,-1.0,825.35,784.0,37.0,,,,
9,TECHM.NSE,2020-03-02,742.0,784.0,731.4,740.4,611.0044,12770810,,,,,,,,,,,,,-1.0,732.05,730.0,33.0,,,,
10,TECHM.NSE,2020-03-09,715.0,730.0,525.9,655.95,541.3132,16405777,,,,,,,,,,,,,-1.0,731.4,634.8,28.0,,,,
11,TECHM.NSE,2020-03-16,634.8,634.8,523.0,576.35,475.6245,24628366,,,,,,,,,,,,,,,,,,,,
12,TECHM.NSE,2020-03-23,540.0,564.9,471.4,504.1,416.0012,21311101,-1.0,471.4,,,,,,,,,,,,,,,,,,
13,TECHM.NSE,2020-03-30,494.0,575.25,485.65,520.9,429.8652,17731770,,,,,,,,,,,,,,,,,,,,
14,TECHM.NSE,2020-04-07,536.5,582.7,535.75,545.25,449.9597,13562032,1.0,582.7,1.0,,582.7,28.0,,,,,,,,,,,,,,
15,TECHM.NSE,2020-04-13,551.0,551.0,500.0,509.85,420.7463,27980093,,,,,,,,,,,,,-1.0,535.75,532.6,17.0,,,,
16,TECHM.NSE,2020-04-20,517.95,532.6,502.1,503.45,415.4648,20680491,,,,,,,,,,,,,,,,,,,,
17,TECHM.NSE,2020-04-27,511.7,552.9,506.5,546.25,450.7849,24298736,,,,,,,,,,,,,,,,,,,,
18,TECHM.NSE,2020-05-04,515.0,538.6,490.0,536.2,442.4913,37129634,-1.0,490.0,,,,,,,,,,,,,,,,,,
19,TECHM.NSE,2020-05-11,541.5,549.75,507.4,510.55,421.324,23037880,,,,,,,,,,,,,,,,,,,,
20,TECHM.NSE,2020-05-18,511.5,531.0,501.5,529.65,437.086,15893154,,,,,,,,,,,,,,,,,,,,
21,TECHM.NSE,2020-05-26,533.0,540.75,512.05,530.45,437.7462,12454583,,,,,,,,,,,,,,,,,,,,
22,TECHM.NSE,2020-06-01,538.5,593.55,537.05,579.85,478.5128,30856292,,,,,,,,,,,,,1.0,550.0,540.75,24.0,,,,
23,TECHM.NSE,2020-06-08,585.8,605.35,550.0,554.7,457.7581,20877629,1.0,605.35,1.0,,605.35,29.0,,,,,,,,,,,,,,
24,TECHM.NSE,2020-06-15,557.0,560.5,528.4,538.85,444.6782,22575272,-1.0,528.4,,,,,1.0,560.5,528.4,94519190.0,0.0,26.643116,,,,,,,,
25,TECHM.NSE,2020-06-22,541.9,574.95,538.3,560.85,462.8333,19967327,,,,,,,,,,,,,,,,,,,,
26,TECHM.NSE,2020-06-29,558.9,572.25,536.05,567.2,468.0736,19298702,,,,,,,,,,,,,,,,,,,,
27,TECHM.NSE,2020-07-06,574.95,593.9,561.35,569.0,469.559,19884899,,,,,,,,,,,,,,,,,,,,
28,TECHM.NSE,2020-07-13,571.95,638.95,570.5,599.7,494.8937,44758703,,,,,,,,,,,,,1.0,598.5,593.9,0.0,,,,
29,TECHM.NSE,2020-07-20,603.85,655.4,598.5,652.6,542.9418,29875588,,,,,,,,,,,,,1.0,642.8,638.95,31.0,,,,
30,TECHM.NSE,2020-07-27,657.0,702.75,642.8,681.65,567.1104,48496970,,,,,,,,,,,,,,,,,,,,
31,TECHM.NSE,2020-08-03,685.95,686.95,642.55,662.45,551.1367,26259264,,,,,,,,,,,,,,,,,,,,
32,TECHM.NSE,2020-08-10,668.0,711.0,662.7,695.9,578.966,27634903,,,,,,,,,,,,,1.0,698.65,686.95,0.0,,,,
33,TECHM.NSE,2020-08-17,704.8,736.65,698.65,732.6,609.4992,29734733,,,,,,,,,,,,,1.0,714.35,711.0,0.0,,,,
34,TECHM.NSE,2020-08-24,734.95,758.35,714.35,752.35,625.9305,17559301,,,,,,,,,,,,,,,,,,,,
35,TECHM.NSE,2020-08-31,759.7,774.7,722.7,748.2,622.4779,21816796,,,,,,,,,,,,,,,,,,,,
36,TECHM.NSE,2020-09-07,749.7,770.6,734.05,765.15,636.5797,20298919,,,,,,,,,,,,,,,,,,,,
37,TECHM.NSE,2020-09-14,770.15,811.45,770.0,804.65,669.4424,33513307,,,,,,,,,,,,,,,,,,,,
38,TECHM.NSE,2020-09-21,807.0,830.0,747.55,772.35,642.5699,38849984,,,,,,,,,,,,,,,,,,,,
39,TECHM.NSE,2020-09-28,779.35,825.35,764.0,822.5,684.293,26184364,,,,,,,,,,,,,,,,,,,,
40,TECHM.NSE,2020-10-05,822.55,887.55,821.85,854.15,710.6248,34102812,1.0,887.55,1.0,,887.55,48.0,,,,,,,,,,,,,,
41,TECHM.NSE,2020-10-12,861.0,879.9,798.8,822.75,684.501,32889390,,,,,,,,,,,,,,,,,,,,
42,TECHM.NSE,2020-10-19,828.0,857.45,817.6,848.25,705.7162,28079194,,,,,,,,,,,,,,,,,,,,
43,TECHM.NSE,2020-10-26,830.0,854.7,781.85,813.3,689.4979,34745813,-1.0,781.85,,,,,1.0,854.7,781.85,78828296.0,0.0,29.730112,,,,,,,,
44,TECHM.NSE,2020-11-02,821.4,854.0,804.3,851.15,721.5863,22444325,,,,,,,,,,,,,,,,,,,,
45,TECHM.NSE,2020-11-09,859.0,877.0,812.45,840.15,712.2607,22778293,,,,,,,,,,,,,,,,,,,,
46,TECHM.NSE,2020-11-17,848.55,856.5,820.0,837.55,710.0565,18064997,,,,,,,,,,,,,,,,,,,,
47,TECHM.NSE,2020-11-23,838.0,890.0,836.75,876.85,743.3742,39417272,,,,,,,,,,,,,1.0,871.65,856.5,0.0,,,,
48,TECHM.NSE,2020-12-01,900.0,929.3,871.65,923.1,782.5839,21346028,,,,,,,,,,,,,1.0,914.0,890.0,50.0,,,,
49,TECHM.NSE,2020-12-07,915.5,950.85,914.0,919.4,779.4471,17536822,,,,,,,,,,,,,,,,,,,,
50,TECHM.NSE,2020-12-14,924.0,947.0,898.45,933.8,791.6552,17799137,,,,,,,,,,,,,,,,,,,,
51,TECHM.NSE,2020-12-21,928.15,959.75,890.0,947.25,803.0578,17693086,,,,,,,,,,,,,,,,,,,,
52,TECHM.NSE,2020-12-28,947.25,986.4,943.85,977.95,829.0846,16780605,,,,,,,,,,,,,1.0,975.0,959.75,55.0,,,,
53,TECHM.NSE,2021-01-04,980.6,1060.0,975.0,1051.1,891.0995,24867825,,,,,,,,,,,,,1.0,1002.65,986.4,55.0,,,,
54,TECHM.NSE,2021-01-11,1062.1,1081.55,1002.65,1007.3,853.9668,26247729,1.0,1081.55,,,,,,,,,,,,,,,,,,
55,TECHM.NSE,2021-01-18,998.0,1033.35,975.0,980.85,831.5431,21597533,,,,,,,,,,,,,,,,,,,,
56,TECHM.NSE,2021-01-25,985.85,1004.9,956.0,961.4,815.0538,18427503,,,,,,,,,,,,,,,,,,,,
57,TECHM.NSE,2021-02-01,961.9,1000.0,921.15,959.4,813.3583,24243470,,,,,,,,,,,,,,,,,,,,
58,TECHM.NSE,2021-02-08,969.8,1009.0,957.6,991.2,840.3176,17510968,,,,,,,,,,,,,,,,,,,,
59,TECHM.NSE,2021-02-15,996.0,1019.2,971.4,993.95,842.649,19728276,,,,,,,,,,,,,,,,,,,,
