index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,TITAN.NSE,2020-01-01,1194.45,1199.0,1132.0,1139.7,1117.9899,9119309,-1.0,1132.0,,,,,,,,,,,,,,,,,,
1,TITAN.NSE,2020-01-06,1162.0,1173.85,1138.0,1154.05,1132.0665,12509938,,,,,,,,,,,,,,,,,,,,
2,TITAN.NSE,2020-01-13,1155.0,1196.85,1148.5,1188.75,1166.1055,7805208,,,,,,,,,,,,,,,,,,,,
3,TITAN.NSE,2020-01-20,1190.0,1230.0,1161.0,1227.85,1204.4607,7911097,,,,,,,,,,,,,,,,,,,,
4,TITAN.NSE,2020-01-27,1228.0,1240.35,1176.2,1187.75,1165.1246,9084582,,,,,,,,,,,,,,,,,,,,
5,TITAN.NSE,2020-02-03,1170.0,1297.7,1162.55,1275.0,1250.7126,21673121,,,,,,,,,,,,,1.0,1253.35,1240.35,8.0,,,,
6,TITAN.NSE,2020-02-10,1270.9,1310.7,1253.35,1293.45,1268.8111,9443729,,,,,,,,,,,,,,,,,,,,
7,TITAN.NSE,2020-02-17,1293.05,1341.05,1288.35,1322.85,1297.6511,7067885,1.0,1341.05,,,,,-1.0,1341.05,1288.35,35725396.0,46.0,47.49522,,,,,,,,
8,TITAN.NSE,2020-02-24,1310.0,1317.8,1235.65,1254.5,1230.6031,11504003,,,,,,,,,,,,,,,,,,,,
9,TITAN.NSE,2020-03-02,1275.0,1294.0,1217.3,1242.6,1218.9298,11675266,,,,,,,,,,,,,,,,,,,,
10,TITAN.NSE,2020-03-09,1225.0,1241.85,946.05,1084.35,1063.6942,12546127,,,,,,,,,,,,,-1.0,1217.3,1049.95,23.0,,,,
11,TITAN.NSE,2020-03-16,1049.95,1049.95,839.75,904.9,887.6626,21183815,,,,,,,,,,,,,,,,,,,,
12,TITAN.NSE,2020-03-23,839.65,965.0,720.9,937.05,919.2002,20565634,-1.0,720.9,,,,,,,,,,,,,,,,,,
13,TITAN.NSE,2020-03-30,861.0,971.7,855.95,862.8,846.3645,14601203,,,,,,,,,,,,,,,,,,,,
14,TITAN.NSE,2020-04-07,900.1,1044.0,892.3,1013.85,994.5372,18225423,1.0,1044.0,1.0,,1044.0,29.0,,,,,,,,,,,1.0,1047.0,23.0,29.0
