index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,TORNTPHARM.NSE,2020-01-01,1854.9,1919.8,1840.06,1900.1,888.2556,1226856,1.0,1919.8,,,,,,,,,,,,,,,,,,
1,TORNTPHARM.NSE,2020-01-06,1905.0,1912.0,1853.6,1899.06,887.7695,1396378,,,,,,,,,,,,,,,,,,,,
2,TORNTPHARM.NSE,2020-01-13,1907.0,2028.0,1870.26,2006.34,937.9205,3924570,,,,,,,,,,,,,1.0,1985.56,1912.0,4.0,,,,
3,TORNTPHARM.NSE,2020-01-20,2006.34,2073.64,1985.56,2036.94,952.2254,4545076,,,,,,,,,,,,,,,,,,,,
4,TORNTPHARM.NSE,2020-01-27,2036.94,2055.94,1900.6,1931.1,902.7475,6751330,,,,,,,,,,,,,,,,,,,,
5,TORNTPHARM.NSE,2020-02-03,1906.9,2040.0,1887.8,2020.8,944.6803,3369280,-1.0,1887.8,,-1.0,1887.8,12.0,,,,,,,,,,,,,,
6,TORNTPHARM.NSE,2020-02-10,2024.0,2120.0,1980.0,2112.5,987.548,3818826,,,,,,,,,,,,,1.0,2102.26,2040.0,9.0,,,,
7,TORNTPHARM.NSE,2020-02-17,2115.0,2287.26,2102.26,2238.94,1046.656,3249218,1.0,2287.26,,1.0,2287.26,14.0,,,,,,,1.0,2123.2,2120.0,9.0,,,,
8,TORNTPHARM.NSE,2020-02-24,2238.94,2284.0,2123.2,2150.3,1005.2187,3914988,,,,,,,,,,,,,,,,,,,,
9,TORNTPHARM.NSE,2020-03-02,2162.0,2245.0,2090.5,2196.1,1026.6292,4841814,,,,,,,,,,,,,,,,,,,,
10,TORNTPHARM.NSE,2020-03-09,2196.1,2197.5,1790.0,1978.5,924.9059,3774378,,,,,,,,,,,,,-1.0,2090.5,2026.56,13.0,,,,
11,TORNTPHARM.NSE,2020-03-16,1949.7,2026.56,1583.26,1893.9,893.0013,5140706,-1.0,1583.26,,,,,,,,,,,,,,,,,,
12,TORNTPHARM.NSE,2020-03-23,1707.0,1920.0,1707.0,1860.16,877.0924,3211634,,,,,,,,,,,,,,,,,,,,
13,TORNTPHARM.NSE,2020-03-30,1820.0,2113.0,1812.7,2077.0,979.3356,3779278,,,,,,,,,,,,,1.0,2112.3,1920.0,131.0,,,,
14,TORNTPHARM.NSE,2020-04-07,2159.76,2699.0,2112.3,2550.36,1202.5317,8962000,1.0,2699.0,,,,,,,,,,,1.0,2225.0,2113.0,131.0,,,,
15,TORNTPHARM.NSE,2020-04-13,2551.0,2584.0,2225.0,2246.8,1059.3988,8933814,,,,,,,,,,,,,,,,,,,,
16,TORNTPHARM.NSE,2020-04-20,2266.0,2549.0,2256.6,2430.5,1146.016,8556036,,,,,,,,,,,,,,,,,,,,
17,TORNTPHARM.NSE,2020-04-27,2475.0,2575.0,2320.44,2345.4,1105.8901,5445452,,,,,,,,,,,,,,,,,,,,
18,TORNTPHARM.NSE,2020-05-04,2340.0,2450.0,2296.44,2438.6,1149.8352,6229546,,,,,,,,,,,,,,,,,,,,
19,TORNTPHARM.NSE,2020-05-11,2455.0,2525.0,2358.0,2461.44,1160.6046,7403338,,,,,,,,,,,,,1.0,2466.0,2450.0,21.0,,,,
20,TORNTPHARM.NSE,2020-05-18,2470.0,2633.36,2466.0,2601.0,1226.4092,7158728,,,,,,,,,,,,,,,,,,,,
21,TORNTPHARM.NSE,2020-05-26,2620.0,2631.0,2281.2,2362.56,1113.9813,26781422,,,,,,,,,,,,,-1.0,2466.0,2407.5,23.0,,,,
22,TORNTPHARM.NSE,2020-06-01,2318.9,2407.5,2280.0,2367.76,1116.4331,9700080,-1.0,2280.0,,,,131.0,,,,,,,,,,,,,,
23,TORNTPHARM.NSE,2020-06-08,2389.0,2498.0,2330.0,2485.94,1172.1567,7899076,,,,,,,,,,,,,1.0,2440.26,2407.5,26.0,,,,
24,TORNTPHARM.NSE,2020-06-15,2499.0,2569.7,2440.26,2543.36,1199.2311,4237120,,,,,,,,,,,,,,,,,,,,
25,TORNTPHARM.NSE,2020-06-22,2533.0,2615.0,2448.94,2471.14,1165.1783,4254504,1.0,2615.0,,1.0,2615.0,30.0,,,,,,,,,,,,,,
26,TORNTPHARM.NSE,2020-06-29,2480.4,2510.0,2326.0,2395.2,1129.3715,4237416,,,,,,,,,,,,,-1.0,2448.94,2415.0,28.0,,,,
27,TORNTPHARM.NSE,2020-07-06,2413.0,2415.0,2304.4,2353.0,1109.4736,4477200,,,,,,,,,,,,,,,,,,,,
28,TORNTPHARM.NSE,2020-07-13,2370.0,2465.0,2340.5,2393.7,1128.6642,4396588,,,,,,,,,,,,,,,,,,,,
29,TORNTPHARM.NSE,2020-07-20,2416.8,2416.8,2316.0,2325.3,1096.4126,3424376,,,,,,,,,,,,,,,,,,,,
30,TORNTPHARM.NSE,2020-07-27,2343.3,2755.4,2231.86,2663.6,1255.926,18306292,-1.0,2231.86,,,,,,,,,,,1.0,2650.0,2416.8,35.0,,,,
31,TORNTPHARM.NSE,2020-08-03,2663.6,3001.5,2650.0,2941.06,1386.7524,16200700,,,,,,,,,,,,,1.0,2778.06,2755.4,33.0,,,,
32,TORNTPHARM.NSE,2020-08-10,2949.8,3031.2,2778.06,2838.94,1338.6013,10497006,1.0,3031.2,,,,,,,,,,,,,,,,,,
33,TORNTPHARM.NSE,2020-08-17,2869.0,2878.5,2770.56,2825.44,1332.2359,5449718,,,,,,,,,,,,,,,,,,,,
34,TORNTPHARM.NSE,2020-08-24,2844.4,2855.0,2704.0,2709.44,1277.5402,4590100,,,,,,,,,,,,,,,,,,,,
35,TORNTPHARM.NSE,2020-08-31,2726.64,2833.5,2617.3,2769.2,1305.7179,9325894,,,,,,,,,,,,,,,,,,,,
36,TORNTPHARM.NSE,2020-09-07,2783.4,2852.94,2720.06,2837.2,1337.7809,5596150,,,,,,,,,,,,,,,,,,,,
37,TORNTPHARM.NSE,2020-09-14,2846.0,2944.5,2781.14,2876.3,1356.2171,6737452,,,,,,,,,,,,,,,,,,,,
38,TORNTPHARM.NSE,2020-09-21,2890.0,2890.5,2455.0,2719.26,1282.1705,5763906,-1.0,2455.0,-1.0,,2455.0,60.0,,,,,,,,,,,,,,
39,TORNTPHARM.NSE,2020-09-28,2730.0,2849.0,2647.26,2817.2,1328.3506,7444090,,,,,,,,,,,,,,,,,,,,
40,TORNTPHARM.NSE,2020-10-05,2817.2,2934.0,2761.2,2799.7,1320.0991,6603612,1.0,2934.0,,,,,,,,,,,,,,,,,,
41,TORNTPHARM.NSE,2020-10-12,2820.0,2896.0,2682.5,2744.2,1293.9301,4336416,,,,,,,,,,,,,,,,,,,,
42,TORNTPHARM.NSE,2020-10-19,2739.8,2814.5,2649.0,2733.76,1289.0074,5508422,,,,,,,,,,,,,,,,,,,,
43,TORNTPHARM.NSE,2020-10-26,2752.9,2774.4,2499.06,2566.86,1210.3117,8106590,,,,,,,,,,,,,-1.0,2649.0,2634.5,45.0,,,,
44,TORNTPHARM.NSE,2020-11-02,2566.0,2634.5,2508.36,2556.5,1205.4268,3561884,,,,,,,,,,,,,,,,,,,,
45,TORNTPHARM.NSE,2020-11-09,2570.8,2755.9,2418.76,2728.06,1286.3198,8989138,-1.0,2418.76,-1.0,,2418.76,63.0,,,,,,,,,,,,,,
46,TORNTPHARM.NSE,2020-11-17,2720.06,2740.0,2593.0,2609.9,1230.6057,5650188,,,,,,,,,,,,,,,,,,,,
47,TORNTPHARM.NSE,2020-11-23,2609.9,2679.5,2565.0,2615.1,1233.0575,5015694,,,,,,,,,,,,,,,,,,,,
48,TORNTPHARM.NSE,2020-12-01,2630.0,2718.0,2609.7,2665.26,1256.7087,2711660,,,,,,,,,,,,,,,,,,,,
49,TORNTPHARM.NSE,2020-12-07,2660.26,2727.94,2611.94,2646.7,1247.9574,4327584,,,,,,,,,,,,,,,,,,,,
50,TORNTPHARM.NSE,2020-12-14,2643.7,2815.0,2641.36,2779.1,1310.3859,6075322,,,,,,,,,,,,,,,,,,,,
51,TORNTPHARM.NSE,2020-12-21,2778.0,2835.06,2583.4,2785.36,1313.3376,2689952,,,,,,,,,,,,,,,,,,,,
52,TORNTPHARM.NSE,2020-12-28,2798.86,2856.56,2736.0,2795.06,1317.9113,3060504,,,,,,,,,,,,,,,,,,,,
53,TORNTPHARM.NSE,2021-01-04,2817.64,2872.0,2765.0,2851.9,1344.7122,3066476,,,,,,,,,,,,,,,,,,,,
54,TORNTPHARM.NSE,2021-01-11,2880.0,2905.0,2670.0,2711.7,1278.6058,3800738,1.0,2905.0,,,,,,,,,,,,,,,,,,
55,TORNTPHARM.NSE,2021-01-18,2705.0,2799.9,2595.56,2690.36,1268.5437,3989272,,,,,,,,,,,,,,,,,,,,
56,TORNTPHARM.NSE,2021-01-25,2699.86,2711.3,2571.3,2608.14,1229.7758,3014450,,,,,,,,,,,,,,,,,,,,
57,TORNTPHARM.NSE,2021-02-01,2625.9,2765.0,2499.26,2752.06,1297.6362,5323654,,,,,,,,,,,,,,,,,,,,
58,TORNTPHARM.NSE,2021-02-08,2795.0,2802.9,2542.44,2601.86,1226.8147,9401932,,,,,,,,,,,,,,,,,,,,
59,TORNTPHARM.NSE,2021-02-15,2599.8,2622.9,2458.9,2497.0,1186.492,3037058,,,,,,,,,,,,,-1.0,2542.44,2523.0,65.0,,,,
60,TORNTPHARM.NSE,2021-02-22,2501.0,2523.0,2401.4,2428.2,1153.8005,3239116,,,,,,,,,,,,,,,,,,,,
61,TORNTPHARM.NSE,2021-03-01,2406.8,2515.0,2400.0,2481.7,1179.222,3318630,,,,,,,,,,,,,,,,,,,,
62,TORNTPHARM.NSE,2021-03-08,2481.7,2504.76,2412.0,2461.2,1169.481,2268524,,,,,,,,,,,,,,,,,,,,
63,TORNTPHARM.NSE,2021-03-15,2470.0,2480.8,2311.1,2414.2,1147.1482,2289156,-1.0,2311.1,,,,,,,,,,,,,,,,,,
64,TORNTPHARM.NSE,2021-03-22,2414.2,2489.1,2392.8,2459.76,1168.7968,1852528,,,,,,,,,,,,,,,,,,,,
65,TORNTPHARM.NSE,2021-03-30,2452.5,2556.94,2452.5,2548.26,1210.8491,1384968,,,,,,,,,,,,,1.0,2493.06,2489.1,69.0,,,,
66,TORNTPHARM.NSE,2021-04-05,2560.0,2606.4,2493.06,2574.76,1223.441,2725350,,,,,,,,,,,,,,,,,,,,
