index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,TRENT.NSE,2020-01-01,527.0,545.9,524.0,535.9,532.16,329912,-1.0,524.0,,,,,,,,,,,,,,,,,,
1,TRENT.NSE,2020-01-06,533.0,559.0,521.4,550.55,546.7,780442,,,,,,,,,,,,,,,,,,,,
2,TRENT.NSE,2020-01-13,551.0,600.0,541.0,591.4,587.27,1302386,,,,,,,,,,,,,1.0,576.1,559.0,4.0,,,,
3,TRENT.NSE,2020-01-20,595.0,611.95,576.1,583.3,579.23,961862,,,,,,,,,,,,,,,,,,,,
4,TRENT.NSE,2020-01-27,577.0,600.0,564.0,574.65,570.64,771362,,,,,,,,,,,,,,,,,,,,
5,TRENT.NSE,2020-02-03,580.1,678.4,579.85,662.55,657.92,3496750,,,,,,,,,,,,,1.0,642.15,600.0,10.0,,,,
6,TRENT.NSE,2020-02-10,665.0,764.0,642.15,758.3,753.0,5251456,,,,,,,,,,,,,1.0,715.8,678.4,8.0,,,,
7,TRENT.NSE,2020-02-17,753.0,794.0,715.8,776.05,770.63,3120396,,,,,,,,,,,,,,,,,,,,
8,TRENT.NSE,2020-02-24,775.9,804.7,680.0,737.2,732.05,2612475,1.0,804.7,,,,,,,,,,,,,,,1.0,794.2167,47.0,61.0
9,TRENT.NSE,2020-03-02,750.5,778.0,649.0,693.8,688.95,2201921,,,,,,,,,,,,,,,,,,,,
10,TRENT.NSE,2020-03-09,675.0,698.0,530.5,600.45,596.26,2751790,,,,,,,,,,,,,-1.0,649.0,588.0,23.0,,,,
11,TRENT.NSE,2020-03-16,570.0,588.0,422.1,505.25,501.72,3659549,,,,,,,,,,,,,-1.0,530.5,530.0,22.0,,,,
12,TRENT.NSE,2020-03-23,442.0,530.0,365.0,483.3,479.92,2707749,-1.0,365.0,,,,,,,,,,,,,,,-1.0,383.025,20.0,0.0
13,TRENT.NSE,2020-03-30,480.0,495.0,431.5,450.25,447.1,1997040,,,,,,,,,,,,,,,,,,,,
14,TRENT.NSE,2020-04-07,472.0,496.5,451.15,464.6,461.35,2093570,,,,,,,,,,,,,,,,,,,,
15,TRENT.NSE,2020-04-13,467.05,502.0,433.05,488.65,485.24,4003377,,,,,,,,,,,,,,,,,,,,
