index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,TVSMOTOR.NSE,2020-01-01,469.9,471.75,447.0,451.0,436.2767,4267337,1.0,471.75,,,,,,,,,,,,,,,1.0,480.825,39.0,48.0
1,TVSMOTOR.NSE,2020-01-06,450.0,471.5,438.5,471.05,455.6722,6475520,,,,,,,,,,,,,,,,,,,,
2,TVSMOTOR.NSE,2020-01-13,471.0,499.5,464.1,485.05,469.2152,7237830,,,,,,,,,,,,,,,,,,,,
3,TVSMOTOR.NSE,2020-01-20,485.5,486.9,455.45,467.7,452.4316,6187618,,,,,,,,,,,,,,,,,,,,
4,TVSMOTOR.NSE,2020-01-27,468.9,476.85,452.4,460.55,445.515,7386149,,,,,,,,,,,,,,,,,,,,
5,TVSMOTOR.NSE,2020-02-03,457.0,483.0,450.0,465.15,449.9648,13166153,,,,,,,,,,,,,,,,,,,,
6,TVSMOTOR.NSE,2020-02-10,466.2,467.8,437.1,438.0,425.6658,4494951,,,,,,,,,,,,,-1.0,450.0,447.9,8.0,,,,
7,TVSMOTOR.NSE,2020-02-17,436.0,447.9,424.0,445.65,433.1003,5407869,,,,,,,,,,,,,,,,,,,,
8,TVSMOTOR.NSE,2020-02-24,446.4,448.45,409.45,433.1,420.9037,16146271,,,,,,,,,,,,,,,,,,,,
9,TVSMOTOR.NSE,2020-03-02,435.55,446.7,396.25,411.3,399.7176,9076806,,,,,,,,,,,,,-1.0,409.45,409.4,27.0,,,,
10,TVSMOTOR.NSE,2020-03-09,402.15,409.4,349.4,404.15,392.769,6403317,,,,,,,,,,,,,,,,,,,,
11,TVSMOTOR.NSE,2020-03-16,383.5,400.8,341.0,375.3,366.0832,7455011,,,,,,,,,,,,,,,,,,,,
12,TVSMOTOR.NSE,2020-03-23,345.0,370.0,298.0,304.0,296.5342,14282227,,,,,,,,,,,,,-1.0,341.0,302.9,14.0,,,,
13,TVSMOTOR.NSE,2020-03-30,295.0,302.9,251.5,251.5,245.3235,8749981,,,,,,,,,,,,,,,,,,,,
14,TVSMOTOR.NSE,2020-04-07,254.0,313.2,240.1,307.0,299.4605,18402447,-1.0,240.1,,,,,,,,,,,,,,,,,,
15,TVSMOTOR.NSE,2020-04-13,307.0,307.0,265.2,300.05,292.6812,23392800,,,,,,,,,,,,,,,,,,,,
16,TVSMOTOR.NSE,2020-04-20,321.95,321.95,289.05,295.0,287.7552,24815731,,,,,,,,,,,,,,,,,,,,
17,TVSMOTOR.NSE,2020-04-27,298.4,334.1,291.35,326.5,318.4816,19144501,,,,,,,,,,,,,,,,,,,,
18,TVSMOTOR.NSE,2020-05-04,307.0,330.0,301.55,313.0,305.3132,16210056,,,,,,,,,,,,,,,,,,,,
19,TVSMOTOR.NSE,2020-05-11,319.3,360.0,315.0,336.0,327.7483,20749465,,,,,,,,,,,,,,,,,,,,
20,TVSMOTOR.NSE,2020-05-18,341.0,341.0,300.55,314.2,306.4837,17832030,,,,,,,,,,,,,,,,,,,,
21,TVSMOTOR.NSE,2020-05-26,316.95,344.0,308.25,336.05,327.7971,20432419,,,,,,,,,,,,,1.0,341.05,341.0,23.0,,,,
22,TVSMOTOR.NSE,2020-06-01,342.0,372.95,341.05,358.1,349.3056,19552826,,,,,,,,,,,,,,,,,,,,
23,TVSMOTOR.NSE,2020-06-08,364.85,368.35,307.2,344.15,335.6982,15754256,,,,,,,,,,,,,,,,,,,,
24,TVSMOTOR.NSE,2020-06-15,340.35,374.0,336.5,367.1,358.0845,14206572,,,,,,,,,,,,,,,,,,,,
25,TVSMOTOR.NSE,2020-06-22,367.1,392.8,367.1,381.8,372.4235,12935732,,,,,,,,,,,,,,,,,,,,
26,TVSMOTOR.NSE,2020-06-29,380.9,397.7,374.0,396.65,386.9088,9820543,,,,,,,,,,,,,,,,,,,,
27,TVSMOTOR.NSE,2020-07-06,399.95,412.3,381.5,386.0,376.5204,13769134,,,,,,,,,,,,,,,,,,,,
28,TVSMOTOR.NSE,2020-07-13,387.6,400.5,377.0,390.4,380.8123,10190239,,,,,,,,,,,,,,,,,,,,
29,TVSMOTOR.NSE,2020-07-20,388.4,410.95,387.25,397.4,387.6404,11958507,,,,,,,,,,,,,,,,,,,,
30,TVSMOTOR.NSE,2020-07-27,398.15,414.5,383.7,389.0,379.4467,14577252,,,,,,,,,,,,,,,,,,,,
31,TVSMOTOR.NSE,2020-08-03,392.0,429.9,388.05,421.15,410.8072,18828200,,,,,,,,,,,,,,,,,,,,
32,TVSMOTOR.NSE,2020-08-10,425.0,436.4,409.05,417.05,406.8078,16696243,,,,,,,,,,,,,,,,,,,,
33,TVSMOTOR.NSE,2020-08-17,430.0,461.5,415.05,452.65,441.5336,12783292,,,,,,,,,,,,,1.0,441.75,436.4,35.0,,,,
34,TVSMOTOR.NSE,2020-08-24,456.0,477.0,441.75,451.0,439.9241,27092468,,,,,,,,,,,,,,,,,,,,
35,TVSMOTOR.NSE,2020-08-31,453.0,454.9,423.4,433.35,422.7075,14954848,,,,,,,,,,,,,,,,,,,,
36,TVSMOTOR.NSE,2020-09-07,434.9,446.95,425.6,444.4,433.4862,11206338,,,,,,,,,,,,,,,,,,,,
37,TVSMOTOR.NSE,2020-09-14,448.2,472.0,446.25,456.3,445.0939,12550184,,,,,,,,,,,,,,,,,,,,
38,TVSMOTOR.NSE,2020-09-21,457.3,459.75,426.0,447.0,436.0223,11474483,,,,,,,,,,,,,,,,,,,,
39,TVSMOTOR.NSE,2020-09-28,452.0,489.9,450.95,480.4,468.6021,14923790,1.0,489.9,1.0,,489.9,47.0,,,,,,,1.0,464.95,459.75,41.0,,,,
40,TVSMOTOR.NSE,2020-10-05,485.0,486.0,464.95,472.0,460.4083,15015795,,,,,,,,,,,,,,,,,,,,
41,TVSMOTOR.NSE,2020-10-12,474.5,478.5,454.0,464.05,452.6536,11395130,,,,,,,,,,,,,,,,,,,,
42,TVSMOTOR.NSE,2020-10-19,466.0,467.9,438.0,444.5,433.5837,10567416,,,,,,,,,,,,,,,,,,,,
43,TVSMOTOR.NSE,2020-10-26,448.95,464.55,421.15,454.95,443.7771,31408411,-1.0,421.15,,,,,1.0,464.55,421.15,36717624.0,0.0,38.21133,,,,,-1.0,433.325,51.0,0.0
44,TVSMOTOR.NSE,2020-11-02,459.5,481.75,447.0,479.2,467.4315,11766659,,,,,,,,,,,,,1.0,473.6,464.55,46.0,,,,
45,TVSMOTOR.NSE,2020-11-09,480.5,490.8,473.6,477.9,466.1635,10151334,,,,,,,,,,,,,,,,,,,,
46,TVSMOTOR.NSE,2020-11-17,479.5,490.0,469.3,476.7,464.9929,10186365,,,,,,,,,,,,,,,,,,,,
47,TVSMOTOR.NSE,2020-11-23,478.1,504.8,467.75,498.0,485.7698,16379926,,,,,,,,,,,,,,,,,,,,
48,TVSMOTOR.NSE,2020-12-01,502.0,508.9,485.15,496.1,483.9165,12203963,,,,,,,,,,,,,,,,,,,,
49,TVSMOTOR.NSE,2020-12-07,501.0,519.5,478.6,482.0,470.1628,20838945,1.0,519.5,1.0,,519.5,55.0,,,,,,,,,,,,,,
50,TVSMOTOR.NSE,2020-12-14,489.8,500.05,477.5,490.4,478.3565,11044116,,,,,,,,,,,,,,,,,,,,
51,TVSMOTOR.NSE,2020-12-21,489.0,495.0,445.5,478.55,466.7975,7757686,-1.0,445.5,,,,,1.0,495.0,445.5,46245016.0,0.0,35.286495,,,,,,,,
52,TVSMOTOR.NSE,2020-12-28,483.7,494.0,479.75,491.0,478.9417,7821953,,,,,,,,,,,,,,,,,,,,
53,TVSMOTOR.NSE,2021-01-04,497.5,517.0,481.8,513.5,500.8892,12061991,,,,,,,,,,,,,1.0,498.3,494.0,55.0,,,,
54,TVSMOTOR.NSE,2021-01-11,513.9,533.85,498.3,508.15,495.6706,15258440,,,,,,,,,,,,,,,,,,,,
55,TVSMOTOR.NSE,2021-01-18,506.8,535.0,488.6,522.55,509.7169,18924585,,,,,,,,,,,,,,,,,,,,
56,TVSMOTOR.NSE,2021-01-25,532.95,589.75,519.35,557.1,543.4184,56562602,,,,,,,,,,,,,1.0,552.85,535.0,64.0,,,,
57,TVSMOTOR.NSE,2021-02-01,560.65,658.0,552.85,628.7,615.2663,35520341,,,,,,,,,,,,,1.0,629.1,589.75,59.0,,,,
58,TVSMOTOR.NSE,2021-02-08,629.1,659.9,629.1,642.5,628.7714,13038355,1.0,659.9,,,,95.0,,,,,,,,,,,1.0,663.3,73.0,96.0
59,TVSMOTOR.NSE,2021-02-15,641.0,642.55,598.7,608.0,595.0086,9341703,,,,,,,,,,,,,-1.0,629.1,609.8,61.0,,,,
60,TVSMOTOR.NSE,2021-02-22,609.8,609.8,580.5,594.6,581.8949,10165621,,,,,,,,,,,,,,,,,,,,
61,TVSMOTOR.NSE,2021-03-01,610.0,635.7,595.6,620.0,606.7522,13919962,,,,,,,,,,,,,,,,,,,,
62,TVSMOTOR.NSE,2021-03-08,620.8,626.2,580.5,585.2,572.6958,9493674,,,,,,,,,,,,,,,,,,,,
63,TVSMOTOR.NSE,2021-03-15,587.6,598.5,561.45,587.0,574.4573,7754785,,,,,,,,,,,,,,,,,,,,
64,TVSMOTOR.NSE,2021-03-22,585.8,590.4,541.15,572.05,559.8268,6902568,,,,,,,,,,,,,,,,,,,,
65,TVSMOTOR.NSE,2021-03-30,578.0,593.0,563.7,587.0,575.8619,4959738,,,,,,,,,,,,,,,,,,,,
66,TVSMOTOR.NSE,2021-04-05,590.6,593.05,557.5,568.35,557.5658,7988218,,,,,,,,,,,,,-1.0,563.7,559.8,69.0,,,,
67,TVSMOTOR.NSE,2021-04-12,559.8,559.8,532.15,550.5,540.0545,5286386,,,,,,,,,,,,,-1.0,557.5,547.55,69.0,,,,
68,TVSMOTOR.NSE,2021-04-19,542.2,547.55,523.65,532.75,522.6413,5198580,-1.0,523.65,,,,,,,,,,,,,,,-1.0,510.55,114.0,0.0
69,TVSMOTOR.NSE,2021-04-26,533.0,664.0,530.25,630.95,618.9779,55109677,1.0,664.0,,,,96.0,,,,,,,1.0,602.6,547.55,71.0,,,,
