index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ULTRACEMCO.NSE,2020-01-01,4060.0,4258.0,4045.0,4218.25,4091.3435,2258260,1.0,4258.0,,,,,,,,,,,,,,,,,,
1,ULTRACEMCO.NSE,2020-01-06,4191.0,4464.05,4131.0,4457.0,4322.9107,3453797,,,,,,,,,,,,,1.0,4410.0,4258.0,4.0,,,,
2,ULTRACEMCO.NSE,2020-01-13,4457.55,4554.9,4410.0,4495.0,4359.7675,2088174,,,,,,,,,,,,,,,,,,,,
3,ULTRACEMCO.NSE,2020-01-20,4500.0,4679.7,4440.0,4643.0,4503.3149,3375389,,,,,,,,,,,,,,,,,,,,
4,ULTRACEMCO.NSE,2020-01-27,4624.9,4754.1,4194.7,4247.0,4119.2286,3975140,,,,,,,,,,,,,,,,,,,,
5,ULTRACEMCO.NSE,2020-02-03,4265.0,4547.0,4236.15,4465.2,4330.864,2380240,,,,,,,,,,,,,,,,,,,,
6,ULTRACEMCO.NSE,2020-02-10,4487.0,4538.95,4390.75,4437.65,4304.1429,1743781,,,,,,,,,,,,,,,,,,,,
7,ULTRACEMCO.NSE,2020-02-17,4443.9,4530.0,4370.1,4430.0,4296.723,1663957,,,,,,,,,,,,,,,,,,,,
8,ULTRACEMCO.NSE,2020-02-24,4415.0,4455.0,4200.0,4216.0,4089.1612,2322154,,,,,,,,,,,,,-1.0,4370.1,4329.0,40.0,,,,
9,ULTRACEMCO.NSE,2020-03-02,4255.0,4329.0,4010.0,4168.0,4042.6053,2772233,,,,,,,,,,,,,-1.0,4200.0,4164.55,30.0,,,,
10,ULTRACEMCO.NSE,2020-03-09,4070.0,4164.55,3114.0,3786.9,3672.9707,3735397,,,,,,,,,,,,,-1.0,4010.0,3660.0,15.0,,,,
11,ULTRACEMCO.NSE,2020-03-16,3650.0,3660.0,2955.6,3561.0,3453.867,3946562,,,,,,,,,,,,,,,,,,,,
12,ULTRACEMCO.NSE,2020-03-23,3220.0,3390.0,2910.0,3143.6,3049.0245,4267016,-1.0,2910.0,,,,,,,,,,,,,,,,,,
13,ULTRACEMCO.NSE,2020-03-30,3116.0,3279.05,3025.0,3032.95,2941.7034,1941850,,,,,,,,,,,,,,,,,,,,
14,ULTRACEMCO.NSE,2020-04-07,3184.95,3389.8,3080.25,3347.1,3246.4022,1795708,,,,,,,,,,,,,1.0,3290.6,3279.05,18.0,,,,
15,ULTRACEMCO.NSE,2020-04-13,3347.1,3674.0,3290.6,3537.7,3431.268,3739776,1.0,3674.0,1.0,,3674.0,21.0,,,,,,,,,,,,,,
16,ULTRACEMCO.NSE,2020-04-20,3570.0,3570.0,3292.8,3300.0,3200.7192,3470414,,,,,,,,,,,,,,,,,,,,
17,ULTRACEMCO.NSE,2020-04-27,3336.0,3565.95,3316.35,3532.0,3425.7394,2459988,,,,,,,,,,,,,,,,,,,,
18,ULTRACEMCO.NSE,2020-05-04,3431.0,3461.7,3231.0,3320.0,3220.1175,2176182,-1.0,3231.0,,,,,1.0,3461.7,3231.0,13276831.0,0.0,41.38981,,,,,,,,
19,ULTRACEMCO.NSE,2020-05-11,3355.0,3633.8,3275.55,3571.5,3464.0511,3886599,,,,,,,,,,,,,,,,,,,,
20,ULTRACEMCO.NSE,2020-05-18,3584.4,3668.0,3281.1,3645.5,3535.8248,4603781,,,,,,,,,,,,,1.0,3657.4,3633.8,23.0,,,,
