index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,UNITDSPR.NSE,2020-01-01,601.0,602.7,580.1,583.05,575.7,2001149,-1.0,580.1,,,,,,,,,,,,,,,,,,
1,UNITDSPR.NSE,2020-01-06,581.25,596.35,557.5,586.1,578.72,8375137,,,,,,,,,,,,,,,,,,,,
2,UNITDSPR.NSE,2020-01-13,588.0,592.2,574.55,581.85,574.52,4047458,,,,,,,,,,,,,,,,,,,,
3,UNITDSPR.NSE,2020-01-20,583.0,590.75,570.2,578.1,570.82,6032672,,,,,,,,,,,,,,,,,,,,
4,UNITDSPR.NSE,2020-01-27,575.0,663.3,572.65,622.85,615.0,46542607,,,,,,,,,,,,,1.0,611.65,590.75,10.0,,,,
5,UNITDSPR.NSE,2020-02-03,624.0,691.9,611.65,676.65,668.12,18327489,,,,,,,,,,,,,1.0,663.8,663.3,8.0,,,,
6,UNITDSPR.NSE,2020-02-10,672.1,715.45,663.8,703.55,694.69,13866563,,,,,,,,,,,,,,,,,,,,
7,UNITDSPR.NSE,2020-02-17,703.65,742.7,690.0,723.15,714.04,8183217,1.0,742.7,,,,,,,,,,,,,,,,,,
8,UNITDSPR.NSE,2020-02-24,719.95,723.9,657.05,686.35,677.7,12902878,,,,,,,,,,,,,,,,,,,,
9,UNITDSPR.NSE,2020-03-02,696.9,702.75,629.95,645.1,636.97,9039014,,,,,,,,,,,,,-1.0,657.05,640.35,25.0,,,,
10,UNITDSPR.NSE,2020-03-09,638.0,640.35,506.0,564.9,557.78,8758273,,,,,,,,,,,,,-1.0,629.95,561.0,14.0,,,,
11,UNITDSPR.NSE,2020-03-16,539.9,561.0,476.45,517.15,510.63,10062213,,,,,,,,,,,,,,,,,,,,
12,UNITDSPR.NSE,2020-03-23,485.0,518.95,442.65,470.4,464.47,13387989,-1.0,442.65,,,,,,,,,,,,,,,,,,
13,UNITDSPR.NSE,2020-03-30,465.0,503.8,458.4,465.8,459.93,9208398,,,,,,,,,,,,,,,,,,,,
14,UNITDSPR.NSE,2020-04-07,483.8,564.0,477.55,550.9,543.96,11918219,,,,,,,,,,,,,1.0,520.55,503.8,16.0,,,,
15,UNITDSPR.NSE,2020-04-13,555.3,580.5,520.55,530.05,523.37,19011206,1.0,580.5,1.0,,580.5,20.0,,,,,,,,,,,,,,
16,UNITDSPR.NSE,2020-04-20,532.15,549.15,509.85,519.5,512.95,11377161,,,,,,,,,,,,,,,,,,,,
17,UNITDSPR.NSE,2020-04-27,520.75,545.5,516.5,536.65,529.89,8674996,,,,,,,,,,,,,,,,,,,,
18,UNITDSPR.NSE,2020-05-04,550.0,558.0,478.5,501.35,495.03,45145356,-1.0,478.5,,,,,1.0,558.0,478.5,119602460.0,0.0,60.632706,,,,,,,,
19,UNITDSPR.NSE,2020-05-11,505.5,561.0,487.7,540.85,534.04,36424062,,,,,,,,,,,,,,,,,,,,
20,UNITDSPR.NSE,2020-05-18,542.1,615.75,530.05,589.25,581.83,38033042,,,,,,,,,,,,,,,,,,,,
21,UNITDSPR.NSE,2020-05-26,591.5,601.6,557.0,594.1,586.61,21680852,,,,,,,,,,,,,,,,,,,,
22,UNITDSPR.NSE,2020-06-01,602.0,607.0,569.95,586.05,578.67,20356362,,,,,,,,,,,,,,,,,,,,
23,UNITDSPR.NSE,2020-06-08,597.75,622.4,570.0,617.45,609.67,30528863,,,,,,,,,,,,,,,,,,,,
24,UNITDSPR.NSE,2020-06-15,621.9,631.4,586.75,618.05,610.26,18366212,,,,,,,,,,,,,,,,,,,,
25,UNITDSPR.NSE,2020-06-22,621.0,642.35,589.0,591.45,584.0,16595353,,,,,,,,,,,,,,,,,,,,
26,UNITDSPR.NSE,2020-06-29,589.0,606.9,581.05,588.55,581.13,14834383,,,,,,,,,,,,,,,,,,,,
27,UNITDSPR.NSE,2020-07-06,590.2,639.0,585.2,636.1,628.09,25174490,,,,,,,,,,,,,,,,,,,,
28,UNITDSPR.NSE,2020-07-13,641.0,645.0,590.7,604.75,597.13,13430794,1.0,645.0,,,,,,,,,,,,,,,,,,
29,UNITDSPR.NSE,2020-07-20,604.55,614.3,590.0,610.95,603.25,10887900,,,,,,,,,,,,,,,,,,,,
30,UNITDSPR.NSE,2020-07-27,600.8,601.0,570.25,581.5,574.17,14175852,-1.0,570.25,-1.0,,570.25,35.0,,,,,,,,,,,,,,
31,UNITDSPR.NSE,2020-08-03,582.7,593.6,572.1,587.55,580.15,8006929,,,,,,,,,,,,,,,,,,,,
32,UNITDSPR.NSE,2020-08-10,590.9,601.0,580.1,592.5,585.03,7879607,1.0,601.0,,,,53.0,,,,,,,,,,,1.0,602.85,49.0,53.0
33,UNITDSPR.NSE,2020-08-17,588.0,597.9,577.9,584.35,576.99,7812656,,,,,,,,,,,,,,,,,,,,
34,UNITDSPR.NSE,2020-08-24,587.45,588.6,569.0,585.15,577.78,9996005,,,,,,,,,,,,,,,,,,,,
35,UNITDSPR.NSE,2020-08-31,591.9,591.9,537.1,568.25,561.09,15638863,,,,,,,,,,,,,,,,,,,,
36,UNITDSPR.NSE,2020-09-07,570.5,573.75,542.95,547.0,540.11,8355270,,,,,,,,,,,,,,,,,,,,
37,UNITDSPR.NSE,2020-09-14,550.0,561.2,534.15,543.7,536.85,13819180,,,,,,,,,,,,,,,,,,,,
38,UNITDSPR.NSE,2020-09-21,544.75,545.0,494.0,511.55,505.1,10747020,-1.0,494.0,,,,,,,,,,,,,,,,,,
39,UNITDSPR.NSE,2020-09-28,517.5,537.85,506.05,522.8,516.21,8663147,,,,,,,,,,,,,,,,,,,,
40,UNITDSPR.NSE,2020-10-05,523.0,535.7,517.4,521.35,514.78,7331496,,,,,,,,,,,,,,,,,,,,
41,UNITDSPR.NSE,2020-10-12,523.15,536.65,500.8,510.05,503.62,7286491,,,,,,,,,,,,,,,,,,,,
42,UNITDSPR.NSE,2020-10-19,513.9,529.85,510.75,526.65,520.01,9189203,,,,,,,,,,,,,,,,,,,,
43,UNITDSPR.NSE,2020-10-26,528.0,529.45,501.0,504.3,497.95,5066279,,,,,,,,,,,,,,,,,,,,
44,UNITDSPR.NSE,2020-11-02,508.0,553.1,500.1,544.2,537.34,17616020,,,,,,,,,,,,,1.0,544.85,529.45,47.0,,,,
45,UNITDSPR.NSE,2020-11-09,549.0,575.75,544.85,555.8,548.8,14699398,,,,,,,,,,,,,1.0,554.0,553.1,47.0,,,,
46,UNITDSPR.NSE,2020-11-17,558.0,587.0,554.0,571.4,564.2,10803063,,,,,,,,,,,,,,,,,,,,
47,UNITDSPR.NSE,2020-11-23,576.0,577.8,537.25,548.4,541.49,12664895,,,,,,,,,,,,,,,,,,,,
48,UNITDSPR.NSE,2020-12-01,554.0,581.65,547.0,579.6,572.3,8529664,,,,,,,,,,,,,1.0,579.5,577.8,50.0,,,,
49,UNITDSPR.NSE,2020-12-07,585.0,604.7,579.5,593.4,585.92,11706791,1.0,604.7,1.0,,604.7,53.0,,,,,,,,,,,,,,
50,UNITDSPR.NSE,2020-12-14,596.9,603.0,579.45,588.45,581.04,8165543,,,,,,,,,,,,,,,,,,,,
51,UNITDSPR.NSE,2020-12-21,589.0,594.25,544.15,569.35,562.18,8573651,-1.0,544.15,,-1.0,544.15,60.0,,,,,,,,,,,,,,
52,UNITDSPR.NSE,2020-12-28,571.0,584.7,567.35,581.5,574.17,8086514,,,,,,,,,,,,,,,,,,,,
