index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,VBL.NSE,2020-01-01,706.05,713.5875,697.95,702.45,61.4637,3021839,1.0,713.5875,,,,,,,,,,,,,,,,,,
1,VBL.NSE,2020-01-06,702.0,744.975,684.7875,734.85,64.2987,8991031,,,,,,,,,,,,,1.0,720.0,713.5875,10.0,,,,
2,VBL.NSE,2020-01-13,741.375,763.9875,720.0,751.725,65.7752,7781579,,,,,,,,,,,,,1.0,745.5375,744.975,9.0,,,,
3,VBL.NSE,2020-01-20,751.05,853.875,745.5375,849.7125,74.349,20529573,,,,,,,,,,,,,,,,,,,,
4,VBL.NSE,2020-01-27,847.9125,869.9625,746.325,767.1375,67.1238,12202649,,,,,,,,,,,,,,,,,,,,
5,VBL.NSE,2020-02-03,760.05,850.05,759.9375,843.3,73.7879,28288945,,,,,,,,,,,,,,,,,,,,
6,VBL.NSE,2020-02-10,843.3,862.9875,803.025,819.45,71.7011,10126697,,,,,,,,,,,,,,,,,,,,
7,VBL.NSE,2020-02-17,824.85,836.6625,781.0875,819.0,71.6617,8139206,,,,,,,,,,,,,,,,,,,,
8,VBL.NSE,2020-02-24,814.8375,859.05,790.0875,813.15,71.1498,19730193,,,,,,,,,,,,,,,,,,,,
9,VBL.NSE,2020-03-02,820.0125,832.95,742.05,784.9125,68.6791,19343270,,,,,,,,,,,,,,,,,,,,
10,VBL.NSE,2020-03-09,751.275,796.6125,605.1375,775.35,67.8424,16092516,,,,,,,,,,,,,,,,,,,,
11,VBL.NSE,2020-03-16,744.975,747.9,545.2875,602.775,52.7422,14455788,,,,,,,,,,,,,,,,,,,,
12,VBL.NSE,2020-03-23,482.175,625.8375,482.175,567.0,49.6119,12061091,-1.0,482.175,,,,,,,,,,,,,,,,,,
13,VBL.NSE,2020-03-30,538.65,580.05,499.95,537.525,47.0329,9395447,,,,,,,,,,,,,,,,,,,,
