index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,VEDL.NSE,2020-01-01,152.8,160.9,151.45,157.75,67.4894,43513108,1.0,160.9,,,,,,,,,,,,,,,,,,
1,VEDL.NSE,2020-01-06,156.9,163.3,150.05,159.95,68.4306,86452869,,,,,,,,,,,,,,,,,,,,
2,VEDL.NSE,2020-01-13,160.5,166.1,158.25,159.5,68.2381,62202850,,,,,,,,,,,,,,,,,,,,
3,VEDL.NSE,2020-01-20,159.35,159.9,152.35,155.9,66.6979,54028447,,,,,,,,,,,,,-1.0,158.25,153.4,50.0,,,,
4,VEDL.NSE,2020-01-27,153.4,153.4,137.5,137.9,58.9971,78005124,,,,,,,,,,,,,-1.0,152.35,146.8,49.0,,,,
5,VEDL.NSE,2020-02-03,134.35,146.8,132.85,144.6,61.8635,67741703,,,,,,,,,,,,,,,,,,,,
6,VEDL.NSE,2020-02-10,143.7,143.9,139.55,141.1,60.3661,41554781,,,,,,,,,,,,,,,,,,,,
7,VEDL.NSE,2020-02-17,141.3,144.75,137.5,142.35,60.9009,41741181,,,,,,,,,,,,,,,,,,,,
8,VEDL.NSE,2020-02-24,139.85,139.95,112.1,114.0,48.7721,124825917,,,,,,,,,,,,,-1.0,137.5,122.2,31.0,,,,
9,VEDL.NSE,2020-03-02,117.55,122.2,108.1,111.05,49.1149,151171435,,,,,,,,,,,,,-1.0,112.1,105.45,22.0,,,,
10,VEDL.NSE,2020-03-09,104.0,105.45,68.9,84.05,37.1734,156003544,,,,,,,,,,,,,-1.0,108.1,80.7,15.0,,,,
11,VEDL.NSE,2020-03-16,78.0,80.7,67.8,75.45,33.3698,158255329,,,,,,,,,,,,,,,,,,,,
12,VEDL.NSE,2020-03-23,67.95,71.3,61.65,63.75,28.1952,138967761,,,,,,,,,,,,,-1.0,67.8,67.0,14.0,,,,
13,VEDL.NSE,2020-03-30,61.8,67.0,60.2,62.8,27.775,109807658,-1.0,60.2,,,,,,,,,,,,,,,,,,
14,VEDL.NSE,2020-04-07,66.3,77.3,65.0,76.8,33.9669,136731579,,,,,,,,,,,,,1.0,73.65,67.0,16.0,,,,
15,VEDL.NSE,2020-04-13,77.6,87.0,73.65,84.1,37.1955,165714813,,,,,,,,,,,,,,,,,,,,
16,VEDL.NSE,2020-04-20,86.45,86.45,73.35,77.95,34.4755,172431794,,,,,,,,,,,,,,,,,,,,
17,VEDL.NSE,2020-04-27,78.8,91.0,75.8,89.55,39.6059,141229457,,,,,,,,,,,,,,,,,,,,
18,VEDL.NSE,2020-05-04,82.65,83.7,77.05,77.4,34.2323,114878315,,,,,,,,,,,,,,,,,,,,
19,VEDL.NSE,2020-05-11,78.85,97.95,78.0,92.95,41.1097,406008178,,,,,,,,,,,,,1.0,88.15,83.7,21.0,,,,
20,VEDL.NSE,2020-05-18,93.95,95.65,88.15,89.1,39.4069,192825216,,,,,,,,,,,,,,,,,,,,
21,VEDL.NSE,2020-05-26,89.5,92.7,86.25,92.2,40.778,91462026,,,,,,,,,,,,,,,,,,,,
22,VEDL.NSE,2020-06-01,93.3,106.25,92.75,105.3,46.5718,173415292,,,,,,,,,,,,,1.0,96.9,92.7,41.0,,,,
23,VEDL.NSE,2020-06-08,102.0,111.15,96.9,103.3,45.6873,161491167,,,,,,,,,,,,,,,,,,,,
24,VEDL.NSE,2020-06-15,104.0,109.4,101.5,105.25,46.5497,115964954,,,,,,,,,,,,,,,,,,,,
25,VEDL.NSE,2020-06-22,105.35,113.5,104.75,109.95,48.6284,127643876,,,,,,,,,,,,,,,,,,,,
26,VEDL.NSE,2020-06-29,110.0,110.4,103.65,106.45,47.0804,78073680,,,,,,,,,,,,,,,,,,,,
27,VEDL.NSE,2020-07-06,107.0,114.45,106.25,110.35,48.8053,98174590,,,,,,,,,,,,,,,,,,,,
28,VEDL.NSE,2020-07-13,111.2,114.2,105.8,109.15,48.2746,72059643,,,,,,,,,,,,,,,,,,,,
29,VEDL.NSE,2020-07-20,109.35,117.9,107.65,112.05,49.5572,110203189,,,,,,,,,,,,,,,,,,,,
30,VEDL.NSE,2020-07-27,112.55,115.2,108.8,113.8,50.3312,153915679,,,,,,,,,,,,,,,,,,,,
31,VEDL.NSE,2020-08-03,113.1,126.65,112.7,122.8,54.3117,116413422,,,,,,,,,,,,,1.0,121.2,115.2,33.0,,,,
32,VEDL.NSE,2020-08-10,122.0,128.1,121.2,122.65,54.2453,56810290,,,,,,,,,,,,,,,,,,,,
33,VEDL.NSE,2020-08-17,124.0,132.35,120.1,130.7,57.8057,86339403,,,,,,,,,,,,,,,,,,,,
34,VEDL.NSE,2020-08-24,130.85,131.5,126.1,128.85,56.9874,86260553,,,,,,,,,,,,,,,,,,,,
35,VEDL.NSE,2020-08-31,129.9,134.65,125.1,125.95,55.7048,124280075,,,,,,,,,,,,,,,,,,,,
36,VEDL.NSE,2020-09-07,126.7,132.5,122.6,131.9,58.3364,85714803,,,,,,,,,,,,,,,,,,,,
37,VEDL.NSE,2020-09-14,132.0,136.0,128.5,130.95,57.9162,62892477,,,,,,,,,,,,,,,,,,,,
38,VEDL.NSE,2020-09-21,131.4,138.4,126.25,137.05,60.6141,98034485,,,,,,,,,,,,,1.0,136.05,136.0,40.0,,,,
39,VEDL.NSE,2020-09-28,139.8,141.5,136.05,137.45,60.791,66391104,1.0,141.5,1.0,,141.5,49.0,,,,,,,,,,,,,,
40,VEDL.NSE,2020-10-05,139.85,140.2,111.1,121.85,53.8915,422767939,,,,,,,,,,,,,-1.0,136.05,109.7,46.0,,,,
41,VEDL.NSE,2020-10-12,109.7,109.7,92.15,94.9,41.9721,365622329,,,,,,,,,,,,,-1.0,111.1,107.75,45.0,,,,
42,VEDL.NSE,2020-10-19,95.45,107.75,92.75,104.75,46.3286,265303678,,,,,,,,,,,,,,,,,,,,
43,VEDL.NSE,2020-10-26,104.7,106.9,93.3,95.75,46.6739,173685491,,,,,,,,,,,,,,,,,,,,
44,VEDL.NSE,2020-11-02,95.75,96.4,91.2,94.75,46.1865,99684455,-1.0,91.2,,,,,1.0,96.4,91.2,458789860.0,0.0,50.28112,,,,,,,,
45,VEDL.NSE,2020-11-09,94.75,108.5,94.55,108.05,52.6697,188723590,,,,,,,,,,,,,1.0,106.05,96.4,0.0,,,,
46,VEDL.NSE,2020-11-17,108.5,116.85,106.05,111.05,54.132,129510863,,,,,,,,,,,,,1.0,110.75,108.5,0.0,,,,
47,VEDL.NSE,2020-11-23,112.05,122.85,110.75,120.75,58.8604,153502103,,,,,,,,,,,,,1.0,120.0,116.85,0.0,,,,
48,VEDL.NSE,2020-12-01,122.3,129.7,120.0,128.95,62.8575,107717555,,,,,,,,,,,,,1.0,129.6,122.85,0.0,,,,
49,VEDL.NSE,2020-12-07,129.6,147.65,129.6,146.5,71.4124,197570197,,,,,,,,,,,,,1.0,142.85,129.7,51.0,,,,
50,VEDL.NSE,2020-12-14,147.95,153.5,142.85,147.4,71.8511,114572868,,,,,,,,,,,,,,,,,,,,
51,VEDL.NSE,2020-12-21,147.3,170.7,130.0,162.85,79.3823,426429922,,,,,,,,,,,,,1.0,156.1,153.5,0.0,,,,
52,VEDL.NSE,2020-12-28,162.45,165.35,156.1,160.4,78.188,116839584,,,,,,,,,,,,,,,,,,,,
53,VEDL.NSE,2021-01-04,161.6,189.75,161.0,182.05,88.7414,160152994,1.0,189.75,1.0,,189.75,59.0,,,,,,,1.0,173.35,165.35,55.0,,,,
54,VEDL.NSE,2021-01-11,179.25,184.2,173.35,175.6,85.5973,87436573,,,,,,,,,,,,,,,,,,,,
55,VEDL.NSE,2021-01-18,175.5,176.0,164.3,165.55,80.6984,64218969,,,,,,,,,,,,,-1.0,173.35,167.7,57.0,,,,
56,VEDL.NSE,2021-01-25,165.9,167.7,160.3,161.25,78.6023,47338071,-1.0,160.3,,,,,1.0,167.7,160.3,223385650.0,0.0,43.103344,,,,,,,,
57,VEDL.NSE,2021-02-01,161.05,180.0,161.0,174.45,85.0368,67284720,,,,,,,,,,,,,1.0,175.4,167.7,0.0,,,,
58,VEDL.NSE,2021-02-08,176.1,190.4,175.4,182.35,88.8877,73166795,,,,,,,,,,,,,1.0,182.2,180.0,0.0,,,,
59,VEDL.NSE,2021-02-15,183.0,198.7,182.2,190.8,93.0067,82934133,,,,,,,,,,,,,1.0,192.7,190.4,0.0,,,,
60,VEDL.NSE,2021-02-22,192.8,214.7,192.7,207.3,101.0497,134224069,,,,,,,,,,,,,1.0,205.15,198.7,0.0,,,,
61,VEDL.NSE,2021-03-01,209.25,222.4,205.15,219.25,106.8748,80281941,,,,,,,,,,,,,,,,,,,,
62,VEDL.NSE,2021-03-08,222.45,229.8,214.15,221.4,107.9228,84243539,,,,,,,,,,,,,,,,,,,,
63,VEDL.NSE,2021-03-15,222.1,231.7,218.25,222.2,108.3128,115669150,,,,,,,,,,,,,,,,,,,,
64,VEDL.NSE,2021-03-22,222.85,227.4,220.05,226.85,110.5795,102654889,,,,,,,,,,,,,,,,,,,,
65,VEDL.NSE,2021-03-30,228.9,231.8,226.9,231.25,112.7243,39010062,,,,,,,,,,,,,1.0,228.2,227.4,67.0,,,,
66,VEDL.NSE,2021-04-05,230.55,244.9,228.2,231.35,112.773,109975927,,,,,,,,,,,,,,,,,,,,
67,VEDL.NSE,2021-04-12,225.9,235.25,209.75,231.8,112.9924,46118130,,,,,,,,,,,,,,,,,,,,
68,VEDL.NSE,2021-04-19,225.8,234.0,222.55,228.0,111.14,33718807,,,,,,,,,,,,,,,,,,,,
69,VEDL.NSE,2021-04-26,229.6,266.2,229.6,257.25,125.3981,92952412,,,,,,,,,,,,,1.0,251.0,234.0,76.0,,,,
70,VEDL.NSE,2021-05-03,255.4,288.35,251.0,283.05,137.9745,185282785,,,,,,,,,,,,,1.0,268.3,266.2,73.0,,,,
71,VEDL.NSE,2021-05-10,289.0,296.3,268.3,272.4,132.7831,99155919,1.0,296.3,1.0,,296.3,82.0,,,,,,,,,,,,,,
72,VEDL.NSE,2021-05-17,276.0,288.15,270.0,273.65,133.3924,87438926,,,,,,,,,,,,,,,,,,,,
73,VEDL.NSE,2021-05-24,272.0,280.55,263.75,266.25,129.7852,71074060,,,,,,,,,,,,,,,,,,,,
74,VEDL.NSE,2021-05-31,266.5,282.35,264.65,280.85,136.9021,55694664,,,,,,,,,,,,,,,,,,,,
75,VEDL.NSE,2021-06-07,281.05,282.75,268.0,276.25,134.6598,52551847,,,,,,,,,,,,,,,,,,,,
76,VEDL.NSE,2021-06-14,276.95,277.45,242.5,251.65,122.6684,57772333,-1.0,242.5,,,,,,,,,,,-1.0,268.0,263.9,78.0,,,,
77,VEDL.NSE,2021-06-21,246.0,263.9,244.1,262.2,127.811,43086361,,,,,,,,,,,,,,,,,,,,
78,VEDL.NSE,2021-06-28,263.85,269.7,260.8,262.05,127.7379,29017960,,,,,,,,,,,,,,,,,,,,
79,VEDL.NSE,2021-07-05,263.4,274.4,262.65,271.55,132.3688,40322683,,,,,,,,,,,,,,,,,,,,
80,VEDL.NSE,2021-07-12,275.0,276.15,268.3,272.5,132.8319,23495820,,,,,,,,,,,,,,,,,,,,
81,VEDL.NSE,2021-07-19,269.5,271.15,255.0,267.8,130.5408,22703620,,,,,,,,,,,,,,,,,,,,
82,VEDL.NSE,2021-07-26,268.6,306.35,261.0,301.85,147.1387,92443991,,,,,,,,,,,,,1.0,300.0,271.15,85.0,,,,
83,VEDL.NSE,2021-08-02,303.1,319.55,300.0,314.15,153.1344,75836531,,,,,,,,,,,,,,,,,,,,
84,VEDL.NSE,2021-08-09,315.75,333.0,301.55,328.65,160.2025,81000836,,,,,,,,,,,,,,,,,,,,
85,VEDL.NSE,2021-08-16,329.8,341.45,266.65,269.25,131.2476,177434739,1.0,341.45,,,,,,,,,,,-1.0,301.55,295.3,87.0,,,,
86,VEDL.NSE,2021-08-23,275.2,295.3,261.0,292.6,142.6297,113309128,-1.0,261.0,,,,,,,,,,,,,,,,,,
87,VEDL.NSE,2021-08-30,300.0,311.0,294.0,308.3,150.2828,125832818,,,,,,,,,,,,,,,,,,,,
88,VEDL.NSE,2021-09-06,311.2,317.25,294.0,301.85,156.4148,49576846,1.0,317.25,1.0,,317.25,93.0,,,,,,,,,,,,,,
89,VEDL.NSE,2021-09-13,302.4,311.9,296.7,302.0,156.4925,54223276,,,,,,,,,,,,,,,,,,,,
90,VEDL.NSE,2021-09-20,294.1,302.4,282.95,293.1,151.8806,47730015,-1.0,282.95,,,,,,,,,,,-1.0,296.7,295.15,92.0,,,,
91,VEDL.NSE,2021-09-27,293.9,295.15,283.15,285.85,148.1238,37678454,,,,,,,,,,,,,,,,,,,,
92,VEDL.NSE,2021-10-04,288.1,308.0,286.15,294.05,152.3729,45430468,,,,,,,,,,,,,,,,,,,,
