index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,WIPRO.NSE,2020-01-01,246.5,252.7,246.2,251.0,118.2066,12478472,-1.0,246.2,,,,,,,,,,,,,,,,,,
1,WIPRO.NSE,2020-01-06,251.0,256.5,250.16,251.96,118.6588,32630984,,,,,,,,,,,,,,,,,,,,
2,WIPRO.NSE,2020-01-13,254.0,258.36,246.6,250.86,118.1407,74706962,,,,,,,,,,,,,,,,,,,,
3,WIPRO.NSE,2020-01-20,250.8,251.96,245.36,247.76,117.1514,20448540,,,,,,,,,,,,,,,,,,,,
4,WIPRO.NSE,2020-01-27,247.9,247.9,234.3,237.16,112.1392,31192066,,,,,,,,,,,,,,,,,,,,
5,WIPRO.NSE,2020-02-03,237.7,247.0,235.26,243.56,115.1654,34175798,,,,,,,,,,,,,,,,,,,,
6,WIPRO.NSE,2020-02-10,245.4,247.16,239.46,243.5,115.137,25266908,,,,,,,,,,,,,,,,,,,,
7,WIPRO.NSE,2020-02-17,242.9,248.56,241.26,245.86,116.253,12353212,1.0,248.56,,,,,,,,,,,,,,,,,,
8,WIPRO.NSE,2020-02-24,245.0,247.8,219.7,222.4,105.1601,41100156,,,,,,,,,,,,,-1.0,241.26,233.9,28.0,,,,
9,WIPRO.NSE,2020-03-02,225.8,233.9,218.4,223.26,105.5667,42725054,,,,,,,,,,,,,,,,,,,,
10,WIPRO.NSE,2020-03-09,220.2,221.0,169.26,199.0,94.0956,53539968,,,,,,,,,,,,,-1.0,218.4,193.96,13.0,,,,
11,WIPRO.NSE,2020-03-16,193.96,193.96,159.4,178.0,84.1659,68412744,-1.0,159.4,,,,,,,,,,,,,,,,,,
12,WIPRO.NSE,2020-03-23,165.0,189.5,165.0,184.66,87.315,60036906,,,,,,,,,,,,,,,,,,,,
13,WIPRO.NSE,2020-03-30,181.1,199.8,177.76,180.16,85.1872,40974108,,,,,,,,,,,,,,,,,,,,
14,WIPRO.NSE,2020-04-07,188.26,202.96,183.06,196.6,92.9608,26769858,1.0,202.96,1.0,,202.96,21.0,,,,,,,,,,,,,,
15,WIPRO.NSE,2020-04-13,198.0,198.0,180.0,187.2,88.516,91633464,,,,,,,,,,,,,,,,,,,,
16,WIPRO.NSE,2020-04-20,189.0,189.0,173.8,178.2,84.2605,65306364,-1.0,173.8,,,,,1.0,189.0,173.8,242295060.0,0.0,21.915752,,,,,,,,
17,WIPRO.NSE,2020-04-27,180.0,192.6,175.5,191.16,90.3885,59342768,,,,,,,,,,,,,,,,,,,,
18,WIPRO.NSE,2020-05-04,184.5,194.0,181.0,183.86,86.9367,61521196,,,,,,,,,,,,,,,,,,,,
19,WIPRO.NSE,2020-05-11,185.0,191.5,182.6,183.6,86.8138,43555312,,,,,,,,,,,,,,,,,,,,
20,WIPRO.NSE,2020-05-18,182.06,191.7,178.0,189.5,89.6036,64794424,,,,,,,,,,,,,,,,,,,,
21,WIPRO.NSE,2020-05-26,189.0,214.9,185.7,211.9,100.1952,133945314,,,,,,,,,,,,,1.0,210.16,191.7,23.0,,,,
22,WIPRO.NSE,2020-06-01,215.5,221.0,210.16,218.8,103.4578,85695492,,,,,,,,,,,,,,,,,,,,
23,WIPRO.NSE,2020-06-08,219.0,227.3,206.3,208.1,98.3984,79823356,,,,,,,,,,,,,,,,,,,,
24,WIPRO.NSE,2020-06-15,211.96,224.1,208.16,222.9,105.3965,107228636,,,,,,,,,,,,,,,,,,,,
25,WIPRO.NSE,2020-06-22,221.16,230.0,213.0,225.36,106.5597,92887820,,,,,,,,,,,,,,,,,,,,
26,WIPRO.NSE,2020-06-29,222.06,228.5,218.0,224.5,106.153,57485218,,,,,,,,,,,,,,,,,,,,
27,WIPRO.NSE,2020-07-06,225.9,228.4,219.5,222.0,104.9709,70079188,,,,,,,,,,,,,,,,,,,,
28,WIPRO.NSE,2020-07-13,223.96,268.7,222.56,261.66,123.7239,455577872,,,,,,,,,,,,,1.0,259.0,228.4,272.0,,,,
29,WIPRO.NSE,2020-07-20,261.36,281.6,259.0,270.06,127.6957,198938454,,,,,,,,,,,,,,,,,,,,
30,WIPRO.NSE,2020-07-27,270.56,290.8,267.16,280.16,132.4714,162733310,1.0,290.8,1.0,,290.8,36.0,,,,,,,,,,,,,,
31,WIPRO.NSE,2020-08-03,283.0,284.8,276.4,277.96,131.4312,83695568,,,,,,,,,,,,,,,,,,,,
32,WIPRO.NSE,2020-08-10,280.0,284.66,274.56,277.0,130.9773,83058130,,,,,,,,,,,,,,,,,,,,
33,WIPRO.NSE,2020-08-17,278.6,287.4,272.7,273.5,129.3223,107700844,,,,,,,,,,,,,,,,,,,,
34,WIPRO.NSE,2020-08-24,273.5,275.2,268.0,272.6,128.8968,74751610,-1.0,268.0,,,,,,,,,,,,,,,,,,
35,WIPRO.NSE,2020-08-31,274.0,287.86,268.0,276.7,130.8354,153799078,,,,,,,1.0,287.86,268.0,438292400.0,270.0,20.562094,,,,,,,,
36,WIPRO.NSE,2020-09-07,276.5,298.46,271.5,292.56,138.3347,209741742,,,,,,,,,,,,,1.0,293.16,287.86,257.0,,,,
37,WIPRO.NSE,2020-09-14,293.26,319.0,293.16,317.26,150.0139,253080614,,,,,,,,,,,,,1.0,302.46,298.46,257.0,,,,
38,WIPRO.NSE,2020-09-21,315.9,324.5,302.46,313.9,148.4251,216634194,,,,,,,,,,,,,,,,,,,,
39,WIPRO.NSE,2020-09-28,315.0,318.56,309.6,313.3,148.1414,97883912,,,,,,,,,,,,,,,,,,,,
40,WIPRO.NSE,2020-10-05,315.2,376.1,315.2,375.26,177.4387,493855936,,,,,,,,,,,,,1.0,338.6,318.56,43.0,,,,
41,WIPRO.NSE,2020-10-12,377.0,381.7,338.6,339.1,160.3407,454807136,1.0,381.7,1.0,,381.7,51.0,,,,,,,,,,,,,,
42,WIPRO.NSE,2020-10-19,342.46,350.1,338.66,342.46,161.9295,116054638,,,,,,,,,,,,,,,,,,,,
43,WIPRO.NSE,2020-10-26,343.7,345.0,331.06,341.0,161.2391,92653676,-1.0,331.06,,,,,1.0,345.0,331.06,346066880.0,256.0,41.913216,,,,,,,,
44,WIPRO.NSE,2020-11-02,341.76,351.56,332.66,348.06,164.5774,72062120,,,,,,,,,,,,,,,,,,,,
45,WIPRO.NSE,2020-11-09,350.0,352.8,341.16,345.9,163.5561,68772676,,,,,,,,,,,,,,,,,,,,
46,WIPRO.NSE,2020-11-17,347.0,352.36,341.6,347.0,164.0762,62599772,,,,,,,,,,,,,,,,,,,,
47,WIPRO.NSE,2020-11-23,348.0,361.4,346.0,350.96,165.9487,94013160,,,,,,,,,,,,,,,,,,,,
48,WIPRO.NSE,2020-12-01,352.7,364.0,346.26,361.0,170.696,76504164,,,,,,,,,,,,,,,,,,,,
49,WIPRO.NSE,2020-12-07,362.0,367.76,352.66,353.5,167.1497,102208770,,,,,,,,,,,,,,,,,,,,
50,WIPRO.NSE,2020-12-14,353.5,365.8,347.1,363.0,171.6417,93926688,,,,,,,,,,,,,,,,,,,,
51,WIPRO.NSE,2020-12-21,362.5,387.6,348.36,381.8,180.5311,149931414,,,,,,,,,,,,,1.0,381.2,365.8,145.0,,,,
52,WIPRO.NSE,2020-12-28,383.46,390.76,381.2,387.5,183.2263,69620762,,,,,,,,,,,,,1.0,387.8,387.6,143.0,,,,
53,WIPRO.NSE,2021-01-04,390.0,432.66,387.8,428.0,202.3764,221473506,,,,,,,,,,,,,1.0,430.0,390.76,55.0,,,,
