index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ZYDUSLIFE.NSE,2020-01-01,254.95,264.0,253.1,259.9,247.5002,2456575,-1.0,253.1,,,,,,,,,,,,,,,,,,
1,ZYDUSLIFE.NSE,2020-01-06,259.5,264.3,253.05,257.85,245.548,3927796,,,,,,,,,,,,,,,,,,,,
2,ZYDUSLIFE.NSE,2020-01-13,258.0,272.8,255.0,269.1,256.2612,8688605,,,,,,,,,,,,,1.0,264.6,264.3,4.0,,,,
3,ZYDUSLIFE.NSE,2020-01-20,269.1,276.5,264.6,271.8,258.8324,9575137,,,,,,,,,,,,,,,,,,,,
4,ZYDUSLIFE.NSE,2020-01-27,270.1,279.0,258.1,259.0,246.6431,10057668,,,,,,,,,,,,,,,,,,,,
5,ZYDUSLIFE.NSE,2020-02-03,258.8,288.6,254.25,275.15,262.0226,14300662,1.0,288.6,,1.0,288.6,14.0,,,,,,,,,,,,,,
6,ZYDUSLIFE.NSE,2020-02-10,275.5,282.9,265.85,269.9,257.0231,5758896,,,,,,,,,,,,,,,,,,,,
7,ZYDUSLIFE.NSE,2020-02-17,271.3,281.7,261.1,279.0,265.6889,6708992,,,,,,,,,,,,,,,,,,,,
8,ZYDUSLIFE.NSE,2020-02-24,277.0,280.45,254.25,259.0,246.6431,7213545,,,,,,,,,,,,,,,,,,,,
9,ZYDUSLIFE.NSE,2020-03-02,260.05,272.75,240.5,265.0,252.3568,14762223,,,,,,,,,,,,,,,,,,,,
10,ZYDUSLIFE.NSE,2020-03-09,264.9,267.25,202.0,253.0,240.9294,9188625,-1.0,202.0,,,,,1.0,267.25,202.0,96898370.0,0.0,20.287643,,,,,,,,
11,ZYDUSLIFE.NSE,2020-03-16,247.0,290.0,235.0,285.2,271.5931,16489964,,,,,,,,,,,,,,,,,,,,
12,ZYDUSLIFE.NSE,2020-03-23,288.05,305.9,248.65,252.0,242.9587,16342823,,,,,,,,,,,,,,,,,,,,
13,ZYDUSLIFE.NSE,2020-03-30,252.0,279.5,247.65,274.0,264.1694,11566331,,,,,,,,,,,,,,,,,,,,
14,ZYDUSLIFE.NSE,2020-04-07,302.05,374.0,290.0,352.05,339.4191,68989218,1.0,374.0,1.0,,374.0,23.0,,,,,,,1.0,329.15,279.5,16.0,1.0,378.8,24.0,30.0
15,ZYDUSLIFE.NSE,2020-04-13,364.9,364.9,329.15,333.6,321.631,41734961,,,,,,,,,,,,,,,,,,,,
16,ZYDUSLIFE.NSE,2020-04-20,340.0,349.9,326.35,336.05,323.9931,46754784,,,,,,,,,,,,,,,,,,,,
17,ZYDUSLIFE.NSE,2020-04-27,330.3,342.55,320.5,323.95,312.3272,24791247,,,,,,,,,,,,,,,,,,,,
18,ZYDUSLIFE.NSE,2020-05-04,323.95,342.5,318.0,321.05,309.5313,31533269,-1.0,318.0,,,,,1.0,342.5,318.0,67173864.0,0.0,30.86889,,,,,-1.0,318.5,123.0,0.0
19,ZYDUSLIFE.NSE,2020-05-11,332.8,343.0,321.1,331.8,319.8956,26757751,,,,,,,,,,,,,,,,,,,,
20,ZYDUSLIFE.NSE,2020-05-18,332.5,353.0,321.35,346.5,334.0682,24212861,,,,,,,,,,,,,,,,,,,,
21,ZYDUSLIFE.NSE,2020-05-26,348.0,352.5,333.0,343.6,331.2722,15844733,,,,,,,,,,,,,,,,,,,,
22,ZYDUSLIFE.NSE,2020-06-01,345.9,367.55,342.65,359.25,346.3607,26547029,,,,,,,,,,,,,,,,,,,,
23,ZYDUSLIFE.NSE,2020-06-08,360.0,378.25,351.2,375.5,362.0277,24782103,,,,,,,,,,,,,,,,,,,,
24,ZYDUSLIFE.NSE,2020-06-15,380.0,383.6,356.35,361.8,348.8192,27034396,1.0,383.6,1.0,,383.6,30.0,,,,,,,,,,,,,,
25,ZYDUSLIFE.NSE,2020-06-22,365.95,373.3,356.55,364.0,350.9403,16705559,,,,,,,,,,,,,,,,,,,,
26,ZYDUSLIFE.NSE,2020-06-29,365.2,380.0,347.05,364.9,351.808,21582305,-1.0,347.05,,,,,,,,,,,,,,,-1.0,352.525,36.0,114.0
27,ZYDUSLIFE.NSE,2020-07-06,374.0,374.0,354.5,356.8,343.9986,16143335,,,,,,,,,,,,,,,,,,,,
28,ZYDUSLIFE.NSE,2020-07-13,357.9,378.6,352.1,377.6,364.0524,20424384,,,,,,,,,,,,,,,,,,,,
29,ZYDUSLIFE.NSE,2020-07-20,381.0,384.5,361.5,363.15,350.1208,20202388,,,,,,,,,,,,,,,,,,,,
30,ZYDUSLIFE.NSE,2020-07-27,363.75,396.45,350.5,390.0,376.0075,26303001,,,,,,,,,,,,,,,,,,,,
31,ZYDUSLIFE.NSE,2020-08-03,396.0,411.5,384.2,390.9,376.8752,55401926,1.0,411.5,1.0,,411.5,40.0,,,,,,,,,,,,,,
32,ZYDUSLIFE.NSE,2020-08-10,393.2,409.8,381.25,396.7,382.4671,28119862,,,,,,,,,,,,,,,,,,,,
33,ZYDUSLIFE.NSE,2020-08-17,399.15,406.0,390.85,401.4,386.9985,17416049,,,,,,,,,,,,,,,,,,,,
34,ZYDUSLIFE.NSE,2020-08-24,403.1,403.85,385.1,390.0,376.0075,12624255,,,,,,,,,,,,,,,,,,,,
35,ZYDUSLIFE.NSE,2020-08-31,391.9,392.55,366.5,378.05,364.4862,15626203,,,,,,,,,,,,,-1.0,385.1,382.9,37.0,,,,
36,ZYDUSLIFE.NSE,2020-09-07,382.9,382.9,358.0,370.9,357.5927,18495265,-1.0,358.0,,,,,,,,,,,,,,,,,,
37,ZYDUSLIFE.NSE,2020-09-14,371.8,423.0,365.5,409.0,394.3258,38014056,,,,,,,,,,,,,,,,,,,,
38,ZYDUSLIFE.NSE,2020-09-21,412.9,416.95,374.15,385.5,371.6689,25089997,,,,,,,,,,,,,,,,,,,,
39,ZYDUSLIFE.NSE,2020-09-28,389.1,406.5,381.35,398.7,384.3953,19630778,,,,,,,,,,,,,,,,,,,,
40,ZYDUSLIFE.NSE,2020-10-05,401.0,447.9,395.8,435.5,419.875,39545240,,,,,,,,,,,,,1.0,411.3,406.5,43.0,,,,
41,ZYDUSLIFE.NSE,2020-10-12,438.0,446.3,411.3,429.9,414.4759,25021360,,,,,,,,,,,,,,,,,,,,
42,ZYDUSLIFE.NSE,2020-10-19,435.9,435.9,415.6,423.4,408.2091,19121219,,,,,,,,,,,,,,,,,,,,
43,ZYDUSLIFE.NSE,2020-10-26,425.5,430.0,407.5,418.0,403.0029,12655101,,,,,,,,,,,,,,,,,,,,
44,ZYDUSLIFE.NSE,2020-11-02,418.0,464.0,404.0,431.3,415.8257,49014655,1.0,464.0,1.0,,464.0,48.0,,,,,,,,,,,,,,
45,ZYDUSLIFE.NSE,2020-11-09,436.1,440.0,406.25,429.4,413.9939,32054697,,,,,,,,,,,,,,,,,,,,
46,ZYDUSLIFE.NSE,2020-11-17,432.0,438.85,423.7,425.55,410.282,13603027,,,,,,,,,,,,,,,,,,,,
