isin,tradingsymbol,category,margin,leverage
INE117A01022,ABB,fo,23.28,4.3
INE208C01025,AEGISLOG,non_fo,37.32,2.68
INE885A01032,ARE&M,non_fo,30.79,3.25
INE032A01023,BOMDYEING,non_fo,36.89,2.71
INE100A01010,ATUL,non_fo,29.04,3.44
INE193E01025,BAJAJELEC,non_fo,30.27,3.3
INE306A01021,BAJAJHIND,non_fo,36.61,2.73
INE451A01017,FORCEMOT,non_fo,41.15,2.43
INE296A01032,BAJFINANCE,fo,21.03,4.76
INE119A01028,BALRAMCHIN,non_fo,31.59,3.17
INE213C01025,BANCOINDIA,non_fo,41.51,2.41
INE055A01016,ABREL,non_fo,34.63,2.89
INE459A01010,BANARISUG,non_categorized,50,2
INE373A01013,BASF,non_fo,32.56,3.07
INE176A01028,BATAINDIA,non_fo,27.55,3.63
INE258A01016,BEML,non_fo,38.22,2.62
INE263A01024,BEL,fo,23.52,4.25
INE922A01025,BEPL,non_fo,33.29,3
INE472A01039,BLUESTARCO,fo,25.17,3.97
INE486A01021,CESC,non_fo,31.42,3.18
INE085A01013,CHAMBLFERT,non_fo,33.01,3.03
INE302A01020,EXIDEIND,fo,22.6,4.42
INE059A01026,CIPLA,fo,20,5
INE007A01025,CRISIL,non_fo,30.62,3.27
INE067A01029,CGPOWER,fo,25.14,3.98
INE016A01026,DABUR,fo,20,5
INE495A01022,DALMIASUG,non_fo,34.21,2.92
INE034A01011,ARVIND,non_fo,34.11,2.93
INE257A01026,BHEL,fo,26.66,3.75
INE094A01015,HINDPETRO,fo,24.44,4.09
INE039A01010,IFCI,non_fo,40.7,2.46
INE153A01019,MTNL,non_fo,41.15,2.43
INE103A01014,MRPL,non_fo,36.03,2.78
INE178A01016,CHENNPETRO,non_fo,36.91,2.71
INE062A01020,SBIN,fo,20,5
INE114A01011,SAIL,fo,26.05,3.84
INE280A01028,TITAN,fo,20,5
INE008A01015,IDBI,non_fo,34.54,2.9
INE500A01029,DCW,non_fo,36.01,2.78
INE041A01016,DHAMPURSUG,non_fo,32.82,3.05
INE089A01031,DRREDDY,fo,20,5
INE126A01031,EIDPARRY,non_fo,31.48,3.18
INE199A01012,PGHL,non_fo,26.96,3.71
INE086A01029,ELECTCAST,non_fo,37.26,2.68
INE284A01012,ESABINDIA,non_fo,28.83,3.47
INE255A01020,EPL,non_fo,32.27,3.1
INE778B01029,ESTER,non_categorized,50,2
INE235A01022,FINCABLES,non_fo,32.96,3.03
INE516A01017,UFLEX,non_fo,31.72,3.15
INE519A01011,FOSECOIND,non_categorized,50,2
INE388A01029,GANESHBE,non_categorized,50,2
INE260B01028,GODFRYPHLP,non_categorized,50,2
INE233A01035,GODREJIND,non_fo,33.59,2.98
INE531A01024,KANSAINER,non_fo,26.81,3.73
INE539A01019,GHCL,non_fo,31.67,3.16
INE040A01034,HDFCBANK,fo,20,5
INE158A01026,HEROMOTOCO,fo,20.94,4.78
INE548A01028,HFCL,fo,29.4,3.4
INE019C01026,HSCL,non_fo,34.26,2.92
INE345A01011,HINDOILEXP,non_fo,33.32,3
INE415A01038,AGI,non_fo,37.18,2.69
INE267A01025,HINDZINC,fo,25.54,3.92
INE560A01023,INDIAGLYCO,non_fo,36.49,2.74
INE009A01021,INFY,fo,20.37,4.91
INE177A01018,INGERRAND,non_fo,30.29,3.3
INE570A01022,IONEXCHANG,non_fo,32.85,3.04
INE209A01019,SUNDROP,non_categorized,50,2
INE175A01038,JISLJALEQS,non_fo,38.78,2.58
INE025A01027,CONSOFINVT,non_categorized,50,2
INE197D01010,JINDALPOLY,non_fo,35.57,2.81
INE019A01038,JSWSTEEL,fo,20.41,4.9
INE217B01036,KAJARIACER,non_fo,29.2,3.42
INE907A01026,KSL,non_fo,34.84,2.87
INE716A01013,WHIRLPOOL,non_fo,32.63,3.06
INE732A01036,KIRLOSBROS,non_fo,38.55,2.59
INE250A01039,KIRLOSIND,non_fo,33.64,2.97
INE237A01028,KOTAKBANK,fo,20,5
INE999A01023,KSB,non_fo,30.25,3.31
INE337A01034,LGBBROSLTD,non_fo,29.57,3.38
INE849A01020,TRENT,fo,26.26,3.81
INE269B01029,LMW,non_fo,28.79,3.47
INE115A01026,LICHSGFIN,fo,22.31,4.48
INE326A01037,LUPIN,fo,21.41,4.67
INE331A01037,RAMCOCEM,non_fo,27.83,3.59
INE271B01025,MAHSEAMLES,non_fo,32.61,3.07
INE288A01013,MAHSCOOTER,non_fo,32.24,3.1
INE201A01024,MANALIPETC,non_fo,35.04,2.85
INE180A01020,MFSL,fo,20.74,4.82
INE083A01026,MOREPENLAB,non_fo,37.79,2.65
INE883A01011,MRF,non_fo,26.5,3.77
INE578A01017,HEIDELBERG,non_fo,27.42,3.65
INE868B01028,NCC,fo,27.08,3.69
INE205A01025,VEDL,fo,23.46,4.26
INE047A01021,GRASIM,fo,20,5
INE140A01024,PEL,non_fo,32.37,3.09
INE161A01038,NIITLTD,non_fo,38.34,2.61
INE213A01029,ONGC,fo,21.68,4.61
INE750A01020,ORIENTHOT,non_fo,35.27,2.84
INE002A01018,RELIANCE,fo,20,5
INE301A01014,RAYMOND,non_categorized,50,2
INE318A01026,PIDILITIND,fo,20,5
INE751B01018,PIXTRANS,non_fo,37.6,2.66
INE340A01012,BIRLACORPN,non_fo,32.17,3.11
INE335A01020,SURYAROSNI,non_fo,37.19,2.69
INE032B01021,PRIMESECU,non_categorized,50,2
INE010A01011,PRSMJOHNSN,non_fo,33.4,2.99
INE855B01025,RAIN,non_fo,31.74,3.15
INE613A01020,RALLIS,non_fo,34.06,2.94
INE619A01035,PATANJALI,fo,22.15,4.51
INE324A01032,JINDALSAW,non_fo,36.08,2.77
INE786A01032,JKLAKSHMI,non_fo,29.67,3.37
INE070A01015,SHREECEM,fo,20,5
INE245A01021,TATAPOWER,fo,21.7,4.61
INE937A01023,SPMLINFRA,non_categorized,50,2
INE387A01021,SUNDRMFAST,non_fo,27.52,3.63
INE947A01014,SUNFLAG,non_categorized,50,2
INE663A01033,SPLPETRO,non_fo,31.99,3.13
INE277A01016,SWARAJENG,non_fo,32.48,3.08
INE670A01012,TATAELXSI,fo,22.63,4.42
INE012A01025,ACC,non_fo,27.51,3.64
INE152A01029,THERMAX,non_fo,33,3.03
INE338A01024,TIRUMALCHM,non_fo,35.52,2.82
INE332A01027,THOMASCOOK,non_fo,37.81,2.64
INE685A01028,TORNTPHARM,fo,20,5
INE079A01024,AMBUJACEM,fo,22.14,4.52
INE038A01020,HINDALCO,fo,21.96,4.55
INE976A01021,WSTCSTPAPR,non_fo,32.97,3.03
INE179A01014,PGHH,non_fo,26.5,3.77
INE304A01026,MUKANDLTD,non_categorized,50,2
