setup_type,time,entry_price,stop_loss,take_profit,outcome_8,initiation_date,returns,exit_time,ticker
LONG,04-06-2024 04:00,1012.849975,946.2375,1178.8525,Structure Break,06-05-2024,-0.065767366,04-06-2024 08:00,ADANIENSOL
SHORT,14-05-2024 04:00,3021.449951,3208.1475,2720.7375,SL,22-04-2024,-0.058194815,23-05-2024 04:00,ADANIENT
SHORT,18-11-2024 04:00,2836.350097,3072.07875,1974.375,Max_Hold,28-10-2024,0.20057147,06-05-2025 04:00,ADANIENT
LONG,24-07-2023 04:00,996.549987,914.98875,1214.47125,SL,03-07-2023,-0.081843598,07-08-2023 00:00,ADANIGREEN
SHORT,28-11-2023 00:00,1006.5,1055.69875,912.25875,SL,18-09-2023,-0.04660302,28-11-2023 04:00,ADANIGREEN
SHORT,04-08-2025 04:00,988.849975,1081.2725,880.9125,Max_Hold,14-07-2025,-0.040603452,19-09-2025 08:00,ADANIGREEN
LONG,28-08-2025 04:00,562.450012,515.23875,611.77125,Structure Break,16-06-2025,0.035558716,28-08-2025 08:00,AMBUJACEM
SHORT,01-08-2022 00:00,4232.350097,5026.24125,3441.75,Max_Hold,18-04-2022,-0.029221837,12-01-2023 08:00,APOLLOHOSP
LONG,08-07-2025 04:00,4205,3830.6775,4607.8875,Structure Break,09-06-2025,0.13562421,08-07-2025 08:00,DMART
LONG,07-09-2022 04:00,3846,3511.0725,4193.275,Structure Break,27-06-2022,0.012012468,07-09-2022 08:00,BAJAJ-AUTO
LONG,06-01-2025 04:00,11051,10385.115,12059.07375,Structure Break,16-12-2024,0.229300516,06-01-2025 08:00,BAJAJHLDNG
SHORT,31-01-2023 08:00,167.850006,192.3925,142.8375,SL,09-01-2023,-0.127564713,19-06-2023 00:00,BANKBARODA
LONG,12-10-2020 04:00,343.850006,284.505,412.1115,Structure Break,18-05-2020,0.272066265,12-10-2020 08:00,BPCL
LONG,25-01-2021 04:00,387.5,348.075,440.75,Structure Break,21-12-2020,0.181548403,25-01-2021 08:00,BPCL
LONG,08-08-2022 00:00,322.649993,296.556,350.0375,Structure Break,11-07-2022,0.071749557,08-08-2022 04:00,BPCL
SHORT,11-11-2020 04:00,396.100006,446.9,338.8125,SL,07-09-2020,-0.113671949,25-02-2021 00:00,BPCL
LONG,10-05-2023 00:00,294.399993,274.17,326.0525,Structure Break,03-04-2023,0.273097812,10-05-2023 04:00,CANBK
LONG,18-02-2022 00:00,908.599975,838.5,1001.78375,TP,17-01-2022,0.102557536,11-03-2022 04:00,CIPLA
SHORT,31-01-2025 04:00,1482.650024,1586.54625,1372.8,TP,30-12-2024,0.080018957,07-04-2025 00:00,CIPLA
