setup_type,time,entry_price,stop_loss,take_profit,outcome_6,outcome_8,initiation_date,returns,exit_time,ticker
LONG,04-06-2024 04:00,1012.849975,970.5,1150.1,SL,SL,06-05-2024,-0.041812683,05-06-2024 00:00,ADANIENSOL
SHORT,14-05-2024 04:00,3021.449951,3129.9,2790.5,Structure Break,SL,22-04-2024,-0.034649685,21-05-2024 04:00,ADANIENT
SHORT,18-11-2024 04:00,2836.350097,2997.15,2025,Structure Break,Structure Break,28-10-2024,0.160013899,05-05-2025 04:00,ADANIENT
LONG,24-07-2023 04:00,996.549987,938.45,1184.85,Structure Break,SL,03-07-2023,-0.058301127,07-08-2023 00:00,ADANIGREEN
SHORT,28-11-2023 00:00,1006.5,1031.6625,935.65,SL,SL,18-09-2023,-0.024390244,28-11-2023 04:00,ADANIGREEN
SHORT,04-08-2025 04:00,988.849975,1054.9,903.5,Structure Break,Structure Break,14-07-2025,-0.040603452,19-09-2025 08:00,ADANIGREEN
LONG,28-08-2025 04:00,562.450012,528.45,596.85,Structure Break,Structure Break,16-06-2025,0.035558716,19-09-2025 08:00,AMBUJACEM
SHORT,01-08-2022 00:00,4232.350097,4903.65,3530,Structure Break,Structure Break,18-04-2022,-0.052317488,10-01-2023 04:00,APOLLOHOSP
LONG,08-07-2025 04:00,4205,3928.9,4495.5,Structure Break,Structure Break,09-06-2025,0.13562421,19-09-2025 08:00,DMART
LONG,07-09-2022 04:00,3846,3601.1,4091,Structure Break,Structure Break,27-06-2022,0.012012468,17-02-2023 00:00,BAJAJ-AUTO
LONG,06-01-2025 04:00,11051,10651.4,11764.95,Structure Break,Structure Break,16-12-2024,0.229300516,20-06-2025 04:00,BAJAJHLDNG
SHORT,31-01-2023 08:00,167.850006,187.7,146.5,Structure Break,Structure Break,09-01-2023,-0.16116941,18-07-2023 00:00,BANKBARODA
LONG,12-10-2020 04:00,343.850006,291.8,402.06,Structure Break,Structure Break,18-05-2020,0.272066265,23-03-2021 00:00,BPCL
LONG,25-01-2021 04:00,387.5,357,430,Structure Break,Structure Break,21-12-2020,0.181548403,08-07-2021 04:00,BPCL
LONG,08-08-2022 00:00,322.649993,304.16,341.5,Structure Break,Structure Break,11-07-2022,0.071749557,18-01-2023 04:00,BPCL
SHORT,11-11-2020 04:00,396.100006,436,347.5,Structure Break,Structure Break,07-09-2020,-0.050461434,28-04-2021 08:00,BPCL
