setup_type,time,entry_price,stop_loss,take_profit,outcome_6,outcome_8,initiation_date,ticker,return
SHORT,2022-03-21 08:00:00,2091.449951,2239.0,1982.0,TP,TP,2022-02-28,ABB,0.0552219732593339
LONG,2021-04-01 08:00:00,999.200012,974.2200117,1150.1,TP,TP,2024-05-06,ADANIENSOL,0.1510208028300141
LONG,2021-04-05 04:00:00,1080.0,1017.799987,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0575926046296296
LONG,2021-04-08 00:00:00,1002.400024,977.3400234,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0249999999999999
LONG,2021-04-05 04:00:00,1080.0,1015.0,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0601851851851852
LONG,2021-04-05 04:00:00,1080.0,1002.0,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0722222222222221
LONG,2021-04-05 04:00:00,1080.0,1022.099975,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0536111342592592
LONG,2021-04-05 04:00:00,1080.0,1012.0,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.062962962962963
LONG,2021-04-05 04:00:00,1080.0,1032.0,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0444444444444444
LONG,2021-04-05 04:00:00,1080.0,1000.700012,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0734259148148147
LONG,2021-04-05 04:00:00,1080.0,1006.150024,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0683796074074073
LONG,2021-04-09 00:00:00,991.650024,966.8587734,1150.1,TP,TP,2024-05-06,ADANIENSOL,0.1597841699845508
LONG,2021-04-05 04:00:00,1080.0,1004.349975,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0700463194444445
LONG,2021-04-05 04:00:00,1080.0,1036.400024,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0403703481481481
LONG,2021-04-05 04:00:00,1080.0,1005.049987,1150.1,SL,SL,2024-05-06,ADANIENSOL,-0.0693981601851851
SHORT,2023-08-22 04:00:00,959.599975,983.589974375,825.0,TP,TP,2023-05-22,ADANIENSOL,0.1631514848484847
SHORT,2024-05-23 00:00:00,3165.050048,3244.1762992,3025.0,SL,SL,2024-04-22,ADANIENT,-0.0243902439024389
SHORT,2024-10-30 08:00:00,2969.300048,3211.0,2672.1,TP,TP,2024-10-07,ADANIENT,0.1112234003218444
LONG,2021-01-12 00:00:00,940.849975,917.328725625,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.0841260850328449
LONG,2020-11-12 04:00:00,942.0,918.45,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.0828025477707006
LONG,2020-11-12 00:00:00,942.400024,917.349975,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.0823429265956809
LONG,2020-11-12 00:00:00,942.400024,910.200012,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.0823429265956809
LONG,2020-11-10 00:00:00,902.900024,880.3275234,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.1296931807369183
LONG,2020-11-12 00:00:00,942.400024,910.0,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.0823429265956809
LONG,2020-11-12 00:00:00,942.400024,912.049987,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.0823429265956809
LONG,2020-11-10 04:00:00,860.950012,839.4262616999999,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.1847377731379833
LONG,2020-11-12 00:00:00,942.400024,909.799987,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.0823429265956809
LONG,2020-11-12 00:00:00,942.400024,914.400024,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.0823429265956809
LONG,2020-11-12 00:00:00,942.400024,911.400024,1020.0,TP,TP,2023-07-03,ADANIGREEN,0.0823429265956809
