Company Name,Symbol,Security Code
360 ONE WAM Ltd.,360ONE,542772
3M India Ltd.,3MINDIA,523395
ABB India Ltd.,ABB,500002
ACC Ltd.,ACC,500410
ACME Solar Holdings Ltd.,ACMESOLAR,544283
AIA Engineering Ltd.,AIAENG,532683
APL Apollo Tubes Ltd.,APLAPOLLO,533758
AU Small Finance Bank Ltd.,AUBANK,540611
AWL Agri Business Ltd.,AWL,543458
Aadhar Housing Finance Ltd.,AADHARHFC,544176
Aarti Industries Ltd.,AARTIIND,524208
Aavas Financiers Ltd.,AAVAS,541988
Abbott India Ltd.,ABBOTINDIA,500488
Action Construction Equipment Ltd.,ACE,532762
Adani Energy Solutions Ltd.,ADANIENSOL,539254
Adani Enterprises Ltd.,ADANIENT,512599
Adani Green Energy Ltd.,ADANIGREEN,541450
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,532921
Adani Power Ltd.,ADANIPOWER,533096
Adani Total Gas Ltd.,ATGL,542066
Aditya Birla Capital Ltd.,ABCAPITAL,540691
Aditya Birla Fashion and Retail Ltd.,ABFRL,535755
Aditya Birla Real Estate Ltd.,ABREL,500040
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,543374
Aegis Logistics Ltd.,AEGISLOG,500003
Afcons Infrastructure Ltd.,AFCONS,544280
Affle 3i Ltd.,AFFLE,542752
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,532331
Akums Drugs and Pharmaceuticals Ltd.,AKUMS,544222
Alembic Pharmaceuticals Ltd.,APLLTD,533573
Alivus Life Sciences Ltd.,ALIVUS,543322
Alkem Laboratories Ltd.,ALKEM,539523
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,506767
Alok Industries Ltd.,ALOKINDS,521070
Amara Raja Energy & Mobility Ltd.,ARE&M,500008
Amber Enterprises India Ltd.,AMBER,540902
Ambuja Cements Ltd.,AMBUJACEM,500425
Anand Rathi Wealth Ltd.,ANANDRATHI,543415
Anant Raj Ltd.,ANANTRAJ,515055
Angel One Ltd.,ANGELONE,543235
Apar Industries Ltd.,APARINDS,523377
Apar Industries Ltd.,APARINDS,532259
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,508869
Apollo Tyres Ltd.,APOLLOTYRE,500877
Aptus Value Housing Finance India Ltd.,APTUS,543335
Asahi India Glass Ltd.,ASAHIINDIA,515030
Ashok Leyland Ltd.,ASHOKLEY,500477
Asian Paints Ltd.,ASIANPAINT,500820
Aster DM Healthcare Ltd.,ASTERDM,540975
AstraZenca Pharma India Ltd.,ASTRAZEN,506820
Astral Ltd.,ASTRAL,532830
Atul Ltd.,ATUL,500027
Atul Ltd.,ATUL,544024
Aurobindo Pharma Ltd.,AUROPHARMA,524804
Authum Investment & Infrastructure Ltd.,AIIL,539177
Avenue Supermarts Ltd.,DMART,540376
Axis Bank Ltd.,AXISBANK,532215
BASF India Ltd.,BASF,500042
BEML Ltd.,BEML,500048
BLS International Services Ltd.,BLS,540073
