Company Name,symbol,series,ISIN,var_margin,mtf_margin,haircut
360 ONE WAM Ltd.,360ONE,EQ,INE466L01038,16.05,26.59,16.09
3M India Ltd.,3MINDIA,EQ,INE470A01017,9.83,27.35,9.85
ABB India Ltd.,ABB,EQ,INE117A01022,12.76,23.28,12.78
ACC Ltd.,ACC,EQ,INE012A01025,9.98,27.51,10.01
ACME Solar Holdings Ltd.,ACMESOLAR,EQ,INE622W01025,16.1,50.0,
AIA Engineering Ltd.,AIAENG,EQ,INE212H01026,9.08,26.6,9.1
APL Apollo Tubes Ltd.,APLAPOLLO,EQ,INE702C01027,12.04,22.57,12.07
AU Small Finance Bank Ltd.,AUBANK,EQ,INE949L01017,12.23,22.76,12.26
AWL Agri Business Ltd.,AWL,EQ,INE699H01024,15.13,32.67,15.17
Aadhar Housing Finance Ltd.,AADHARHFC,EQ,INE883F01010,12.05,29.58,12.08
Aarti Industries Ltd.,AARTIIND,EQ,INE769A01020,14.35,31.89,14.39
Aavas Financiers Ltd.,AAVAS,EQ,INE216P01012,12.31,29.8,12.3
Abbott India Ltd.,ABBOTINDIA,EQ,INE358A01014,9.59,27.11,9.61
Action Construction Equipment Ltd.,ACE,EQ,INE731H01025,17.87,35.42,17.92
Adani Energy Solutions Ltd.,ADANIENSOL,EQ,INE931S01010,19.64,30.19,19.69
Adani Enterprises Ltd.,ADANIENT,EQ,INE423A01024,17.05,27.59,17.09
Adani Green Energy Ltd.,ADANIGREEN,EQ,INE364U01010,19.97,30.52,20.02
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,EQ,INE742F01042,13.64,24.17,13.67
Adani Power Ltd.,ADANIPOWER,EQ,INE814H01011,17.23,34.77,17.27
Adani Total Gas Ltd.,ATGL,EQ,INE399L01023,18.02,35.57,18.07
Aditya Birla Capital Ltd.,ABCAPITAL,EQ,INE674K01013,13.7,24.23,13.73
Aditya Birla Fashion and Retail Ltd.,ABFRL,EQ,INE647O01011,15.0,32.54,15.04
Aditya Birla Real Estate Ltd.,ABREL,EQ,INE055A01016,17.08,34.63,17.13
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,EQ,INE404A01024,13.54,31.07,13.57
Aegis Logistics Ltd.,AEGISLOG,EQ,INE208C01025,19.94,37.32,19.82
Afcons Infrastructure Ltd.,AFCONS,EQ,INE101I01011,11.4,28.93,11.43
Affle 3i Ltd.,AFFLE,EQ,INE00WC01027,13.64,31.18,13.68
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,EQ,INE031B01049,13.15,30.68,13.18
Akums Drugs and Pharmaceuticals Ltd.,AKUMS,EQ,INE09XN01023,14.48,32.02,14.52
Alembic Pharmaceuticals Ltd.,APLLTD,EQ,INE901L01018,14.34,31.87,14.37
Alivus Life Sciences Ltd.,ALIVUS,EQ,INE03Q201024,15.31,32.84,
Alkem Laboratories Ltd.,ALKEM,EQ,INE540L01014,9.52,20.04,9.54
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,EQ,INE150B01039,13.51,31.03,13.53
Alok Industries Ltd.,ALOKINDS,EQ,INE270A01029,18.89,36.43,18.93
Amara Raja Energy & Mobility Ltd.,ARE&M,EQ,INE885A01032,13.26,30.79,13.29
Amber Enterprises India Ltd.,AMBER,EQ,INE371P01015,19.51,30.05,19.55
Ambuja Cements Ltd.,AMBUJACEM,EQ,INE079A01024,11.62,22.14,11.64
Anand Rathi Wealth Ltd.,ANANDRATHI,EQ,INE463V01026,13.26,30.76,13.26
Anant Raj Ltd.,ANANTRAJ,EQ,INE242C01024,22.09,39.22,21.72
Angel One Ltd.,ANGELONE,EQ,INE732I01013,19.74,30.28,19.78
Apar Industries Ltd.,APARINDS,EQ,INE372A01015,19.95,37.51,20.01
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,EQ,INE437A01024,9.0,20.0,9.0
Apollo Tyres Ltd.,APOLLOTYRE,EQ,INE438A01022,11.08,28.61,11.11
Aptus Value Housing Finance India Ltd.,APTUS,EQ,INE852O01025,12.78,30.3,12.8
Asahi India Glass Ltd.,ASAHIINDIA,EQ,INE439A01020,14.55,32.05,14.55
Ashok Leyland Ltd.,ASHOKLEY,EQ,INE208A01029,12.0,22.53,12.03
Asian Paints Ltd.,ASIANPAINT,EQ,INE021A01026,9.0,20.0,9.0
Aster DM Healthcare Ltd.,ASTERDM,EQ,INE914M01019,13.33,30.86,13.36
AstraZenca Pharma India Ltd.,ASTRAZEN,EQ,INE203A01020,15.99,33.53,16.03
Astral Ltd.,ASTRAL,EQ,INE006I01046,11.36,21.89,11.39
Atul Ltd.,ATUL,EQ,INE100A01010,11.52,29.04,11.54
Aurobindo Pharma Ltd.,AUROPHARMA,EQ,INE406A01037,11.65,22.16,11.66
Authum Investment & Infrastructure Ltd.,AIIL,EQ,INE206F01022,21.95,39.49,21.99
Avenue Supermarts Ltd.,DMART,EQ,INE192R01011,11.19,21.72,11.22
Axis Bank Ltd.,AXISBANK,EQ,INE238A01034,9.0,20.0,9.0
BASF India Ltd.,BASF,EQ,INE373A01013,15.02,32.56,15.06
BEML Ltd.,BEML,EQ,INE258A01016,20.67,38.22,20.72
BLS International Services Ltd.,BLS,EQ,INE153T01027,17.16,34.71,17.21
BSE Ltd.,BSE,EQ,INE118H01025,22.82,33.38,22.88
Bajaj Auto Ltd.,BAJAJ-AUTO,EQ,INE917I01010,10.42,20.95,10.45
Bajaj Finance Ltd.,BAJFINANCE,EQ,INE296A01032,10.51,21.03,10.53
Bajaj Finserv Ltd.,BAJAJFINSV,EQ,INE918I01026,9.5,20.02,9.52
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,EQ,INE118A01012,13.38,30.92,13.42
Bajaj Housing Finance Ltd.,BAJAJHFL,EQ,INE377Y01014,10.2,27.71,10.21
Balkrishna Industries Ltd.,BALKRISIND,EQ,INE787D01026,11.06,28.58,11.08
Balrampur Chini Mills Ltd.,BALRAMCHIN,EQ,INE119A01028,14.05,31.59,14.09
Bandhan Bank Ltd.,BANDHANBNK,EQ,INE545U01014,14.3,24.83,14.33
Bank of Baroda,BANKBARODA,EQ,INE028A01039,11.98,22.51,12.01
Bank of India,BANKINDIA,EQ,INE084A01016,13.4,23.94,13.44
Bank of Maharashtra,MAHABANK,EQ,INE457A01014,14.53,32.07,14.57
Bata India Ltd.,BATAINDIA,EQ,INE176A01028,10.03,27.55,10.05
Bayer Cropscience Ltd.,BAYERCROP,EQ,INE462A01022,11.64,29.17,11.67
Berger Paints India Ltd.,BERGEPAINT,EQ,INE463A01038,10.06,27.59,10.09
Bharat Dynamics Ltd.,BDL,EQ,INE171Z01026,18.74,29.28,18.78
Bharat Electronics Ltd.,BEL,EQ,INE263A01024,12.98,23.52,13.02
Bharat Forge Ltd.,BHARATFORG,EQ,INE465A01025,12.9,23.44,12.94
Bharat Heavy Electricals Ltd.,BHEL,EQ,INE257A01026,16.13,26.66,16.16
Bharat Petroleum Corporation Ltd.,BPCL,EQ,INE029A01011,11.28,21.81,11.31
Bharti Airtel Ltd.,BHARTIARTL,EQ,INE397D01024,9.0,20.0,9.0
Bharti Hexacom Ltd.,BHARTIHEXA,EQ,INE343G01021,14.25,31.79,14.29
Bikaji Foods International Ltd.,BIKAJI,EQ,INE00E101023,13.94,31.46,13.96
Biocon Ltd.,BIOCON,EQ,INE376G01013,13.4,23.92,13.42
Birlasoft Ltd.,BSOFT,EQ,INE836A01035,13.51,31.04,13.54
Blue Dart Express Ltd.,BLUEDART,EQ,INE233B01017,12.13,29.66,12.16
Blue Star Ltd.,BLUESTARCO,EQ,INE472A01039,14.63,25.17,14.67
Bombay Burmah Trading Corporation Ltd.,BBTC,EQ,INE050A01025,15.89,33.41,15.91
Bosch Ltd.,BOSCHLTD,EQ,INE323A01026,9.77,20.29,9.79
Brainbees Solutions Ltd.,FIRSTCRY,EQ,INE02RE01045,19.35,36.9,19.4
Brigade Enterprises Ltd.,BRIGADE,EQ,INE791I01019,14.64,32.18,14.68
Britannia Industries Ltd.,BRITANNIA,EQ,INE216A01030,9.0,20.0,9.0
C.E. Info Systems Ltd.,MAPMYINDIA,EQ,INE0BV301023,13.93,31.46,13.96
CCL Products (I) Ltd.,CCL,EQ,INE421D01022,15.48,32.99,15.49
CESC Ltd.,CESC,EQ,INE486A01021,14.06,31.42,13.92
CG Power and Industrial Solutions Ltd.,CGPOWER,EQ,INE067A01029,14.6,25.14,14.64
CRISIL Ltd.,CRISIL,EQ,INE007A01025,13.08,30.62,13.12
Campus Activewear Ltd.,CAMPUS,EQ,INE278Y01022,13.36,30.9,13.4
Can Fin Homes Ltd.,CANFINHOME,EQ,INE477A01020,11.63,29.16,11.66
Canara Bank,CANBK,EQ,INE476A01022,12.63,23.16,12.66
Caplin Point Laboratories Ltd.,CAPLIPOINT,EQ,INE475E01026,17.33,34.86,17.36
Capri Global Capital Ltd.,CGCL,EQ,INE180C01042,19.46,37.0,19.5
Carborundum Universal Ltd.,CARBORUNIV,EQ,INE120A01034,13.29,30.81,13.31
Castrol India Ltd.,CASTROLIND,EQ,INE172A01027,14.03,31.57,14.07
Ceat Ltd.,CEATLTD,EQ,INE482A01020,14.52,32.06,14.56
Central Bank of India,CENTRALBK,EQ,INE483A01010,16.44,33.98,16.48
Central Depository Services (India) Ltd.,CDSL,EQ,INE736A01011,16.26,26.8,16.3
Century Plyboards (India) Ltd.,CENTURYPLY,EQ,INE348B01021,12.29,29.82,12.32
Cera Sanitaryware Ltd,CERA,EQ,INE739E01017,12.9,30.43,12.93
Chalet Hotels Ltd.,CHALET,EQ,INE427F01016,13.15,30.68,13.18
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,EQ,INE085A01013,15.47,33.01,15.51
Chennai Petroleum Corporation Ltd.,CHENNPETRO,EQ,INE178A01016,19.38,36.91,19.41
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,EQ,INE149A01033,15.46,33.0,15.5
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,EQ,INE121A01024,13.08,23.61,13.11
Cipla Ltd.,CIPLA,EQ,INE059A01026,9.0,20.0,9.0
City Union Bank Ltd.,CUB,EQ,INE491A01021,12.17,29.7,12.2
Clean Science and Technology Ltd.,CLEAN,EQ,INE227W01023,13.19,30.73,13.23
Coal India Ltd.,COALINDIA,EQ,INE522F01014,9.81,20.31,9.81
Cochin Shipyard Ltd.,COCHINSHIP,EQ,INE704P01025,21.12,38.65,21.15
Coforge Ltd.,COFORGE,EQ,INE591G01025,14.61,25.14,14.64
Cohance Lifesciences Ltd.,COHANCE,EQ,INE03QK01018,14.92,32.46,14.96
Colgate Palmolive (India) Ltd.,COLPAL,EQ,INE259A01022,9.59,20.11,9.61
Computer Age Management Services Ltd.,CAMS,EQ,INE596I01012,14.82,25.36,14.86
Concord Biotech Ltd.,CONCORDBIO,EQ,INE338H01029,17.74,35.28,17.78
Container Corporation of India Ltd.,CONCOR,EQ,INE111A01025,12.51,23.03,12.53
Coromandel International Ltd.,COROMANDEL,EQ,INE169A01031,13.65,31.19,13.69
Craftsman Automation Ltd.,CRAFTSMAN,EQ,INE00LO01017,15.4,32.91,15.41
CreditAccess Grameen Ltd.,CREDITACC,EQ,INE741K01010,17.69,35.23,17.73
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,EQ,INE299U01018,11.08,21.61,11.11
Cummins India Ltd.,CUMMINSIND,EQ,INE298A01020,12.11,22.63,12.13
Cyient Ltd.,CYIENT,EQ,INE136B01020,15.17,25.71,15.21
DCM Shriram Ltd.,DCMSHRIRAM,EQ,INE499A01024,14.96,32.5,15.0
DLF Ltd.,DLF,EQ,INE271C01023,12.67,23.2,12.7
DOMS Industries Ltd.,DOMS,EQ,INE321T01012,15.26,32.79,15.29
Dabur India Ltd.,DABUR,EQ,INE016A01026,9.0,20.0,9.0
Dalmia Bharat Ltd.,DALBHARAT,EQ,INE00R701025,10.13,20.65,10.15
Data Patterns (India) Ltd.,DATAPATTNS,EQ,INE0IX101010,21.37,38.93,21.43
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,EQ,INE501A01019,18.48,36.03,18.53
Deepak Nitrite Ltd.,DEEPAKNTR,EQ,INE288B01029,12.4,29.94,12.44
Delhivery Ltd.,DELHIVERY,EQ,INE148O01028,13.58,24.1,13.6
Devyani International Ltd.,DEVYANI,EQ,INE872J01023,13.71,31.22,13.72
Divi's Laboratories Ltd.,DIVISLAB,EQ,INE361B01024,10.38,20.91,10.41
Dixon Technologies (India) Ltd.,DIXON,EQ,INE935N01020,15.53,26.07,15.57
Dr. Lal Path Labs Ltd.,LALPATHLAB,EQ,INE600L01024,10.89,28.4,10.9
Dr. Reddy's Laboratories Ltd.,DRREDDY,EQ,INE089A01031,9.0,20.0,9.0
Dummy Valor Estate Ltd.,DUMMYDBRLT,BE,DUM879I01012,,,
